Net counts

Spectrum                                    Si     P    Ar    Ni     Zn     Ga    Rh
------------------------------------------------------------------------------------
20230531_CVD_3076_60s_10x10ptsdet_1_0_0 142129 47643    84  1044      0 208446  8415
20230531_CVD_3076_60s_10x10ptsdet_1_0_1 142761 47955    86  1021      0 208049  8249
20230531_CVD_3076_60s_10x10ptsdet_1_0_2 141721 47639    55   928      0 207763  7896
20230531_CVD_3076_60s_10x10ptsdet_1_0_3 142122 47879    63   923      0 208765  8107
20230531_CVD_3076_60s_10x10ptsdet_1_0_4 142233 47440    64   988      0 207446  7733
20230531_CVD_3076_60s_10x10ptsdet_1_0_5 142117 47371    81  1028      0 207956  8106
20230531_CVD_3076_60s_10x10ptsdet_1_0_6 143038 47334    97  1069      0 207961  7815
20230531_CVD_3076_60s_10x10ptsdet_1_0_7 142160 47228    99   956      0 207312  7447
20230531_CVD_3076_60s_10x10ptsdet_1_0_8 143290 47769   111   982      0 207379  8014
20230531_CVD_3076_60s_10x10ptsdet_1_0_9 143221 46796    29   932      0 208267  8001
20230531_CVD_3076_60s_10x10ptsdet_1_1_0 143348 47737    62  1062      0 208884  8695
20230531_CVD_3076_60s_10x10ptsdet_1_1_1 142787 47447   100  1017      3 208701  7970
20230531_CVD_3076_60s_10x10ptsdet_1_1_2 143188 47765    49   933      0 208916  8221
20230531_CVD_3076_60s_10x10ptsdet_1_1_3 142557 47662    33   949      0 208132  8217
20230531_CVD_3076_60s_10x10ptsdet_1_1_4 143316 47343    74   990      0 208300  7539
20230531_CVD_3076_60s_10x10ptsdet_1_1_5 143017 47401    62   953      0 208553  7970
20230531_CVD_3076_60s_10x10ptsdet_1_1_6 142940 47728    83   845      0 208542  8094
20230531_CVD_3076_60s_10x10ptsdet_1_1_7 143132 47012    73  1031      0 207776  8207
20230531_CVD_3076_60s_10x10ptsdet_1_1_8 143278 47197    67   889      0 207993  7965
20230531_CVD_3076_60s_10x10ptsdet_1_1_9 142996 47221    74   892      0 208634  7989
20230531_CVD_3076_60s_10x10ptsdet_1_2_0 142164 47338    61   882      0 207748  8954
20230531_CVD_3076_60s_10x10ptsdet_1_2_1 142555 47480   100   858      0 208125  8391
20230531_CVD_3076_60s_10x10ptsdet_1_2_2 142941 47362    80   983      0 209030  7796
20230531_CVD_3076_60s_10x10ptsdet_1_2_3 143417 47207    74   976      0 208937  7971
20230531_CVD_3076_60s_10x10ptsdet_1_2_4 142157 47568   148   991      0 209561  7808
20230531_CVD_3076_60s_10x10ptsdet_1_2_5 143413 47661   105   963      0 209138  8366
20230531_CVD_3076_60s_10x10ptsdet_1_2_6 142917 47813    80   928      0 208696  7676
20230531_CVD_3076_60s_10x10ptsdet_1_2_7 142921 47716    70  1030      5 208641  7918
20230531_CVD_3076_60s_10x10ptsdet_1_2_8 143401 47390    39   900      0 208569  7803
20230531_CVD_3076_60s_10x10ptsdet_1_2_9 143179 47192   115   928      0 208072  8075
20230531_CVD_3076_60s_10x10ptsdet_1_3_0 142693 47560    60   958      0 208151  8777
20230531_CVD_3076_60s_10x10ptsdet_1_3_1 141891 47734    70  1023     26 209099  7999
20230531_CVD_3076_60s_10x10ptsdet_1_3_2 142509 47700    60   852      0 210102  8103
20230531_CVD_3076_60s_10x10ptsdet_1_3_3 143536 47263    58   986      0 209832  8006
20230531_CVD_3076_60s_10x10ptsdet_1_3_4 142885 47520    54   828      0 209077  7860
20230531_CVD_3076_60s_10x10ptsdet_1_3_5 142329 47529   109   928      0 208874  7609
20230531_CVD_3076_60s_10x10ptsdet_1_3_6 143185 47505    32  1011      0 209354  7816
20230531_CVD_3076_60s_10x10ptsdet_1_3_7 142830 47255    81   940      0 208273  8199
20230531_CVD_3076_60s_10x10ptsdet_1_3_8 143639 47410    28   973      0 208481  8453
20230531_CVD_3076_60s_10x10ptsdet_1_3_9 143686 47495    23   959      0 208693  7823
20230531_CVD_3076_60s_10x10ptsdet_1_4_0 142523 47329   105   915      0 209505  8573
20230531_CVD_3076_60s_10x10ptsdet_1_4_1 142346 47895   148  1026      0 210271  8152
