"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;137500;5647.66;44771;3176.96;1409.22;204.359;185206;25274.9;2.47781;1634.24;3710.78;91.9482;255.839;416.217;406.364;183.14;219.841;73.9472;50.752;44.1276;446.342;171.617;29.1622;141.841;148.023;21.6986;24.0766;25.847;2.51109
1;0;138186;5690.07;44802.8;3339.14;1383.76;208.971;184747;25111.3;1.53121;1726.32;3562.75;87.6528;238.872;348.929;410.777;183.55;220.419;75.5923;49.9843;43.3723;446.163;171.385;28.5754;141.285;146.554;21.4711;23.9617;24.9264;2.58637
2;0;137097;5508.32;44692.4;3083.02;1308.03;195.014;184549;24795.7;41.4839;1665.85;3564.62;96.0591;224.131;344.453;410.804;181.932;220.091;73.4156;49.6644;43.4537;448.446;171.232;28.6881;142.697;148.359;22.5151;23.7087;24.856;2.37837
3;0;137865;5559.11;44963.5;3142.09;1325.3;143.6;185405;25046.5;42.0733;1508.94;3705.28;104.18;220.191;399.931;406.761;181.823;219.81;73.8509;50.1502;43.3302;440.548;171.142;27.8264;141.011;147.333;21.0895;23.0031;25.1996;2.50939
4;0;138139;5527.46;44564.5;3162.32;1384.09;360.198;184511;24714.8;0.967242;1580.26;3666.4;132.066;246.139;399.408;408.847;182.075;219.331;73.9397;50.1229;44.0924;444.311;170.385;28.5253;141.369;147.331;22.9652;24.6563;26.1896;2.47654
5;0;137804;5517.61;44518.4;3161.29;1406.87;242.308;184302;25140.9;10.1916;1831.66;3434.48;93.4066;270.903;316.299;407.808;183.102;218.907;73.8449;50.2906;44.2597;442.439;171.538;27.9107;143.698;148.222;21.6651;24.623;23.9927;2.55391
6;0;138828;5341.72;44265.1;3359.28;1417.17;198.032;184755;25018.8;56.5574;1810.63;3443.25;94.2658;227.207;358.445;406.313;183.21;218.905;75.6627;50.9818;43.8652;440.914;170.791;27.3715;143.807;148.548;22.1223;24.0803;25.1454;2.48188
7;0;137792;5284.44;44440.9;3081.97;1373.92;131.419;184053;24818.4;17.8025;1695.29;3680.4;57.1236;259.291;395.613;402.395;181.972;217.958;73.2936;50.2252;41.6922;448.821;170.946;25.6793;140.498;146.607;20.3848;24.2537;25.9405;2.58705
8;0;138788;5720.33;44824.7;3254.26;1374.03;232.962;184443;24886.1;3.0942;1908.27;3453.98;61.445;222.17;408.303;410.82;183.328;219.774;74.8703;50.2197;44.4255;443.66;170.609;28.7182;142;146.481;21.2352;23.4074;25.9271;2.61177
9;0;138931;5683.45;43995.3;3177.77;1348.62;188.319;185106;25094.3;64.1475;2083.06;3114.62;112.469;208.074;378.561;411.06;184.854;217.938;73.9464;49.998;43.1749;445.296;171.312;28.9854;142.891;145.886;22.3786;23.4377;25.1764;2.57959
10;0;138640;5795.57;44663.1;3235.86;1383.38;276.964;185217;25315.1;0.152627;1887.8;3135.3;53.5986;257.383;401.089;409.256;183.064;219.52;74.7206;50.3375;44.5597;445.075;172.082;30.176;140.481;144.454;21.6847;24.094;25.7536;2.48502
11;0;138234;5704.89;44461;3206.38;1394.19;227.347;185116;25064.4;64.9052;1864.65;3295.39;81.8437;249.488;414.916;408.749;183.738;218.863;74.1129;50.7256;44.6178;443.501;171.897;28.2311;141.952;146.577;20.5132;23.4477;25.9372;2.30478
12;0;138621;5720.48;44828.2;3143.2;1290.09;234.539;185514;25499.7;59.45;1495.27;3792.88;90.9763;226.348;444.475;410.533;184.696;220.128;74.0156;49.8594;44.5209;446.268;171.967;28.1446;142.239;148.905;22.7718;24.8324;27.6962;2.41632
13;0;137762;5625.96;44669.3;3146.58;1302.62;277.843;184664;24658.2;54.22;1658.09;3581.33;84.9572;182.574;398.146;415.767;183.413;220.572;73.6605;49.6936;43.7734;451.401;171.077;27.8175;140.41;145.938;21.3628;22.3905;25.9151;2.62644
14;0;138670;5844.28;44377.6;3217.85;1359.92;151.424;184551;25156.8;86.54;1604.54;3645.92;74.255;240.105;407.884;412.227;184.358;219.253;74.7418;50.4147;43.4593;447.038;172.384;28.5705;141.651;147.757;22.3085;24.8594;26.4742;2.37489
15;0;138694;5353;44615.8;3057.7;1330.58;162.862;184884;25154.5;58.109;1640.56;3562;65.7593;209.689;337.727;409.293;184.632;219.435;73.4859;49.9687;44.1212;442.804;171.78;28.9118;142.53;148.254;22.2045;23.4905;24.8282;2.48259
16;0;138356;5756.06;44753.3;3138.15;1274.6;203.27;184797;25395.5;56.2398;1685.2;3512.03;127.439;210.97;398.186;407.24;176.766;219.311;73.7733;49.8483;44.6048;443.013;172.473;28.6641;141.406;146.615;23.5826;23.6368;25.6689;2.3684
17;0;138563;5738.18;44178.3;3107.94;1429.51;290.491;184180;24904.6;4.63358;1471.58;3779.4;92.3393;196.591;400.393;414.123;185.591;219.031;73.5819;50.9638;42.932;449.128;171.492;27.7341;141.132;147.594;21.6127;22.8156;25.5471;2.47368
18;0;138932;5570.95;44313.3;3141.54;1271.45;200.403;184787;25090.7;4.49068;1799.73;3399.26;53.9082;188.539;389.058;408.868;183.141;218.502;74.1939;49.4858;44.8171;442.543;171.247;27.8551;141.907;146.469;21.6399;23.7097;26.4057;2.60813
19;0;138299;5714.86;44339.4;3023.04;1282.05;164.63;185392;24874.7;31.5775;1641.56;3669.96;101.771;214.123;382.209;428.815;184.009;218.65;72.5084;49.6682;42.9078;449.958;170.563;25.9526;142.034;148.465;22.2926;24.1749;25.8568;2.47698
20;0;137697;5495.76;44467.4;3153.68;1283.72;162.387;184656;24954;3.93125;1751.27;3571.26;79.4693;254.809;317.748;407.688;183.803;219.319;73.8982;49.6916;42.9218;443.948;171.343;29.5965;145.27;150.467;22.2424;24.6167;24.3427;2.60838
21;0;138222;5679.38;44591.5;3237.26;1243.52;121.171;185683;24696.6;12.3832;1624.88;3592.56;119.047;200.136;419.672;409.026;184.269;219.496;74.8029;49.1155;43.3559;445.223;170.736;29.2484;142.11;147.302;21.4097;22.0614;25.5522;2.60799
22;0;138729;5379.27;44599.4;3127.53;1397.22;220.204;185659;25092.1;62.1073;1593.14;3691.11;104.328;208.086;385.428;408.507;183.077;219.323;73.7157;50.5777;44.5892;444.241;171.79;28.6644;142.563;148.691;23.5304;24.0719;25.6927;2.68255
23;0;138494;5813.64;44350.8;3023.22;1304.51;235.853;185109;25059.1;1.06799;1930.99;3364.47;26.905;212.192;344.876;411.76;184.425;218.949;72.252;49.8042;43.7802;449.006;172.158;28.0623;141.368;145.44;20.3856;23.3061;24.9807;2.54654
24;0;137719;5588.15;44670;3183.94;1332.98;277.939;185904;25192.9;55.1383;1704.35;3590.22;80.6715;253.528;448.005;409.385;184.075;219.796;74.4896;49.9743;45.622;446.661;172.147;28.6296;143.06;148.534;21.3846;24.4297;26.6247;2.56311
25;0;139052;5367.27;44715.1;3229.12;1346.16;207.541;185527;25174.8;4.75292;1781.63;3602.63;71.0109;262.851;346.128;412.742;173.989;219.458;74.0983;50.0537;43.8918;446.037;171.492;27.7319;142.835;148.213;21.1538;24.1188;24.1912;2.64514
26;0;138433;5570.41;44932.6;3122.87;1282.34;250.485;185043;25228.5;82.9261;1769.54;3591.24;70.8278;261.022;396.177;408.982;185.628;220.34;73.8669;49.3234;45.0323;443.368;172.288;27.5432;144.249;149.597;21.7389;24.2038;25.4017;2.50415
27;0;138906;5172.12;44922.1;3122.24;1428.08;105.891;185045;25090.2;71.7842;1762.83;3570.4;122.359;220.168;364.681;413.261;181.002;220.553;73.3429;50.9643;42.1399;453.275;171.557;28.4758;141.97;147.348;22.7509;23.9338;24.9009;2.34295
28;0;138595;5824.67;44687.5;2935.29;1309.88;194.005;184627;25485.7;30.8626;2001.27;3196.12;52.8966;246.995;488.381;406.732;191.224;218.593;71.8179;49.7576;42.2;442.193;171.683;24.826;141.415;145.317;20.8135;22.9732;26.3762;2.79424
29;0;138929;5164.62;44307.3;3138.77;1310.7;150.828;184525;25238.3;45.7462;1726.9;3503.45;94.7914;226.231;379.313;408.71;180.986;218.705;73.8192;49.9136;43.2929;442.328;171.493;28.5491;141.642;146.755;22.2241;24.1237;25.3997;2.67564
30;0;138180;5681.53;44658;3084.31;1373.53;284.22;184810;25401.7;5.72202;1643;3594.09;69.5594;190.49;364.485;410.363;186.243;219.676;73.385;50.1529;44.0495;443.77;172.206;28.6115;142.535;148.502;21.1399;23.0969;25.7921;2.6746
31;0;137649;5544.09;44728.8;3231.97;1364.56;302.414;185792;25091.6;1.60644;1695.19;3676.44;64.7534;230.303;432.845;409.496;183.738;219.894;74.9821;50.3117;44.5268;446.973;171.874;28.4233;142.579;148.376;22.1846;24.5766;27.27;2.35568
32;0;138383;5528.38;44869.7;3076.16;1256.75;194.173;186313;25543.4;0.907007;1576.17;3796.77;52.4649;279.901;376.392;408.714;183.314;220.005;73.6965;49.4753;44.4095;446.518;172.593;28.5679;141.239;147.629;21.1505;25.2235;25.6905;2.48295
33;0;139449;5413.23;44385.5;3216.56;1371.12;206.241;186355;25389.5;7.38227;1680.63;3528.43;116.419;232.775;327.433;409.936;183.702;218.846;74.6548;50.3559;44.4004;444.919;172.084;28.8164;141.74;146.697;23.6327;24.3562;24.256;2.62547
34;0;138702;5340.46;44782.2;3002.73;1253.13;190.531;185491;25434;84.96;1575.42;3709.86;114.564;160.153;460.673;413.834;184.023;220.283;72.8673;49.2972;42.7352;449.125;171.884;28.3429;142.172;148.302;23.2114;22.6648;27.1439;2.66067
35;0;137535;5849.88;44589;3109.64;1348.82;122.971;185488;24999;1.57389;1807.84;3602.89;78.1312;251.542;429.468;411.292;183.89;219.675;73.7627;50.2444;42.6132;448.068;170.955;28.3724;143.325;148.437;19.6972;23.4048;25.9714;2.35036
36;0;138646;5698.24;44421.5;3315.64;1381.87;139.191;185828;25267.3;53.1239;1762.73;3582.66;76.0619;222.513;356.535;407.944;183.555;218.948;75.2984;50.572;43.9441;443.998;171.925;28.4969;143.29;148.718;22.0321;23.5667;24.9407;2.55927
37;0;138516;5666.63;44421.2;3090.91;1322.73;275.906;185360;25069;2.8628;1644.25;3469.34;131.228;187.316;404.788;409.191;183.389;218.639;73.4085;49.7813;45.3177;443.571;171.171;27.5373;139.731;145.189;22.8258;22.5195;25.5822;2.37762
38;0;139358;5435.57;44508.4;3125.98;1383.32;178.701;185262;24707.3;32.6228;1922.73;3508.26;79.158;204.109;320.848;415.499;183.103;219.763;74.0819;50.0514;42.5914;450.012;170.741;27.6238;143.948;148.438;22.942;24.3667;25.1421;2.51421
39;0;139214;5459.51;44624.7;3154.94;1390.36;200.929;185394;25014.1;6.40589;1626.36;3737.36;138.308;149.233;330.754;414.855;183.102;219.785;73.6229;50.3895;42.9151;449.142;171.289;28.1078;143.039;149.105;23.7758;22.452;24.7024;2.44769
40;0;138321;5358.2;44607.7;3140.69;1310.49;280.066;186153;25741.3;4.34328;1829.66;3447.66;113.002;248.344;417.123;404.465;183.016;218.824;74.1272;49.7755;44.1214;441.011;172.749;27.8548;143.153;147.813;23.47;24.7818;26.0921;2.54292
41;0;138399;5361.74;45032.1;3131.27;1425.33;231.666;186908;25131.1;63.8854;1423.17;3718.88;39.0537;271.292;390.208;410.099;181.287;221.065;74.1985;51.1037;44.3934;451.456;172.204;29.3364;140.709;147.472;19.6955;24.2408;25.5602;2.50713
42;0;138058;5687.06;44985.6;3198.09;1225.63;181.21;186882;25310.5;26.0778;2102.69;3368.47;61.0494;258.606;361.531;407.279;182.96;220.454;74.6981;49.0718;44.857;445.991;171.837;28.9145;144.386;148.088;19.9971;23.7974;25.2736;2.38888
43;0;138827;5951.2;44802.6;3145.85;1264.65;160.495;186772;25199.8;1.19917;1921.51;3427.9;39.0114;223.963;439.907;413.417;187.661;220.134;73.7801;50.0336;43.9143;448.675;171.197;27.554;144.447;148.73;19.5894;23.0948;26.5871;2.6096
44;0;138729;5520.49;44969.6;3127.23;1371.26;92.8961;186002;25210.9;58.0536;1544.63;3748.94;57.4;204.45;433.306;410.996;183.219;220.36;74.141;50.4983;42.8942;447.209;172.382;28.5268;142.536;148.677;21.5486;23.6453;26.8227;2.36335
45;0;138284;5598.28;44936;3133.9;1290.72;281.649;186009;24818.6;8.70199;1694.97;3450.64;80.0478;209.248;453.853;404.654;183.258;219.595;74.0448;49.7247;45.0877;439.599;171.781;28.599;139.206;144.664;21.6384;23.5914;27.4815;2.43961
46;0;138483;5653.42;44288.1;3290.5;1419.52;261.846;185821;25039.3;7.16695;1672.64;3623.36;16.8142;189.516;384.418;406.525;186.407;218.078;74.8803;50.0864;42.2162;445.215;171.839;28.4433;141.653;147.854;20.2072;22.0962;25.509;2.59221
47;0;138324;5865.94;44517.3;3154.59;1289.47;228.488;186079;25267.6;41.5342;1738.46;3388.89;114.697;202.87;338.177;408.286;184.523;219.07;74.2937;49.6176;45.0103;444.772;172.54;29.1421;140.114;144.837;22.3586;23.4725;24.7125;2.31172
48;0;138403;5437.14;44516.2;3145.51;1294.1;98.5785;185419;24908;4.22523;1767.9;3608.55;54.362;219.777;360.894;408.344;184.239;219.239;73.6433;50.1856;44.3471;444.238;171.306;28.803;141.355;147.601;19.7796;22.9217;25.0381;2.42604
