ROI backgr, sum

Spectrum                                     Si       P     Ar      Ni       Zn       Ga       Rh
-------------------------------------------------------------------------------------------------
20230531_CVD_3158_60s_10x10ptsdet_1_0_0    -278    -222    -80    -881    -1471    -1875    -6134
20230531_CVD_3158_60s_10x10ptsdet_1_0_1    -271    -228    -84    -912    -1568    -2081    -5781
20230531_CVD_3158_60s_10x10ptsdet_1_0_2    -280    -234    -72    -961    -1538    -1981    -5732
20230531_CVD_3158_60s_10x10ptsdet_1_0_3    -252    -201    -73    -923    -1448    -1926    -5698
20230531_CVD_3158_60s_10x10ptsdet_1_0_4    -249    -205    -81    -959    -1640    -2063    -5781
20230531_CVD_3158_60s_10x10ptsdet_1_0_5    -253    -194    -95    -910    -1555    -1997    -5690
20230531_CVD_3158_60s_10x10ptsdet_1_0_6    -249    -201    -87    -990    -1614    -2108    -5655
20230531_CVD_3158_60s_10x10ptsdet_1_0_7    -269    -221    -83    -983    -1588    -2060    -5805
20230531_CVD_3158_60s_10x10ptsdet_1_0_8    -279    -235    -86    -976    -1629    -1930    -5738
20230531_CVD_3158_60s_10x10ptsdet_1_0_9    -261    -217    -70    -940    -1391    -1902    -5730
20230531_CVD_3158_60s_10x10ptsdet_1_1_0    -283    -219    -97    -955    -1539    -1936    -6893
20230531_CVD_3158_60s_10x10ptsdet_1_1_1    -302    -257    -81   -1009    -1604    -1983    -6388
20230531_CVD_3158_60s_10x10ptsdet_1_1_2    -282    -220    -72    -972    -1656    -2031    -6196
20230531_CVD_3158_60s_10x10ptsdet_1_1_3    -271    -222    -64    -959    -1608    -2038    -6102
20230531_CVD_3158_60s_10x10ptsdet_1_1_4    -280    -232    -81    -937    -1550    -1992    -6098
20230531_CVD_3158_60s_10x10ptsdet_1_1_5    -297    -256    -92    -956    -1588    -1978    -6059
20230531_CVD_3158_60s_10x10ptsdet_1_1_6    -288    -229    -63    -940    -1560    -1891    -6117
20230531_CVD_3158_60s_10x10ptsdet_1_1_7    -278    -226    -82    -964    -1546    -1934    -6147
20230531_CVD_3158_60s_10x10ptsdet_1_1_8    -275    -221    -89    -937    -1387    -1878    -6076
20230531_CVD_3158_60s_10x10ptsdet_1_1_9    -291    -236    -98    -975    -1670    -2108    -5979
20230531_CVD_3158_60s_10x10ptsdet_1_2_0    -302    -256    -93    -961    -1588    -1920    -6923
20230531_CVD_3158_60s_10x10ptsdet_1_2_1    -310    -263    -93    -971    -1451    -1979    -6436
20230531_CVD_3158_60s_10x10ptsdet_1_2_2    -289    -229    -64    -865    -1511    -1994    -6334
20230531_CVD_3158_60s_10x10ptsdet_1_2_3    -281    -215    -88    -995    -1660    -1985    -6259
20230531_CVD_3158_60s_10x10ptsdet_1_2_4    -278    -231    -66    -930    -1526    -1947    -6327
20230531_CVD_3158_60s_10x10ptsdet_1_2_5    -280    -228    -79    -929    -1459    -2010    -6363
20230531_CVD_3158_60s_10x10ptsdet_1_2_6    -302    -253    -82    -986    -1625    -2055    -6343
20230531_CVD_3158_60s_10x10ptsdet_1_2_7    -294    -241    -93    -929    -1538    -1959    -6227
20230531_CVD_3158_60s_10x10ptsdet_1_2_8    -290    -237    -90    -927    -1472    -1822    -6233
20230531_CVD_3158_60s_10x10ptsdet_1_2_9    -294    -234    -53    -964    -1601    -2048    -6335
20230531_CVD_3158_60s_10x10ptsdet_1_3_0    -282    -227    -98    -888    -1459    -1934    -6958
20230531_CVD_3158_60s_10x10ptsdet_1_3_1    -279    -217    -66    -984    -1537    -1957    -6634
20230531_CVD_3158_60s_10x10ptsdet_1_3_2    -283    -232    -95    -977    -1643    -1995    -6314
20230531_CVD_3158_60s_10x10ptsdet_1_3_3    -281    -225    -84   -1004    -1659    -2122    -6273
20230531_CVD_3158_60s_10x10ptsdet_1_3_4    -272    -223    -91    -921    -1553    -1992    -6189
20230531_CVD_3158_60s_10x10ptsdet_1_3_5    -279    -223   -104    -955    -1568    -1917    -6273
20230531_CVD_3158_60s_10x10ptsdet_1_3_6    -271    -198    -86   -1004    -1627    -1955    -6284
20230531_CVD_3158_60s_10x10ptsdet_1_3_7    -272    -221    -75    -965    -1509    -2041    -6357
20230531_CVD_3158_60s_10x10ptsdet_1_3_8    -265    -216   -101    -939    -1462    -1920    -6249
20230531_CVD_3158_60s_10x10ptsdet_1_3_9    -270    -228    -99    -980    -1579    -2074    -6385
20230531_CVD_3158_60s_10x10ptsdet_1_4_0    -314    -248    -85    -916    -1449    -1889    -7191
20230531_CVD_3158_60s_10x10ptsdet_1_4_1    -284    -240    -86    -980    -1564    -1999    -6685
20230531_CVD_3158_60s_10x10ptsdet_1_4_2    -299    -251    -88    -988    -1611    -1891    -6263
20230531_CVD_3158_60s_10x10ptsdet_1_4_3    -287    -237    -77    -931    -1551    -2038    -6317
20230531_CVD_3158_60s_10x10ptsdet_1_4_4    -280    -220    -85   -1008    -1634    -2028    -6238
20230531_CVD_3158_60s_10x10ptsdet_1_4_5    -289    -240    -67    -959    -1579    -2083    -6262
20230531_CVD_3158_60s_10x10ptsdet_1_4_6    -274    -222    -97    -930    -1442    -1847    -6332
20230531_CVD_3158_60s_10x10ptsdet_1_4_7    -279    -224    -90    -907    -1494    -1835    -6257
20230531_CVD_3158_60s_10x10ptsdet_1_4_8    -283    -234    -53    -963    -1620    -2007    -6278
20230531_CVD_3158_60s_10x10ptsdet_1_4_9    -265    -207    -72    -949    -1536    -1868    -6342
20230531_CVD_3158_60s_10x10ptsdet_1_5_0    -281    -217    -88    -995    -1603    -2022    -7048
20230531_CVD_3158_60s_10x10ptsdet_1_5_1    -284    -235    -74    -998    -1596    -1977    -6577
20230531_CVD_3158_60s_10x10ptsdet_1_5_2    -284    -235    -94    -926    -1574    -1978    -6420
20230531_CVD_3158_60s_10x10ptsdet_1_5_3    -294    -235    -86    -951    -1555    -1906    -6320
20230531_CVD_3158_60s_10x10ptsdet_1_5_4    -306    -250    -93    -954    -1478    -1965    -6264
20230531_CVD_3158_60s_10x10ptsdet_1_5_5    -265    -199    -87    -861    -1442    -1954    -6317
20230531_CVD_3158_60s_10x10ptsdet_1_5_6    -294    -249    -96    -964    -1597    -1937    -6285
20230531_CVD_3158_60s_10x10ptsdet_1_5_7    -276    -222    -93    -983    -1638    -2087    -6305
20230531_CVD_3158_60s_10x10ptsdet_1_5_8    -289    -242   -108    -963    -1526    -1929    -6240
20230531_CVD_3158_60s_10x10ptsdet_1_5_9    -264    -208    -79    -956    -1548    -1903    -6173
20230531_CVD_3158_60s_10x10ptsdet_1_6_0    -298    -247    -79    -901    -1513    -2042    -7222
20230531_CVD_3158_60s_10x10ptsdet_1_6_1    -305    -251    -91    -981    -1520    -1950    -6777
20230531_CVD_3158_60s_10x10ptsdet_1_6_2    -290    -226    -88    -955    -1554    -1981    -6563
20230531_CVD_3158_60s_10x10ptsdet_1_6_3    -283    -232    -91    -959    -1617    -2017    -6561
20230531_CVD_3158_60s_10x10ptsdet_1_6_4    -281    -227    -95    -895    -1490    -1983    -6435
20230531_CVD_3158_60s_10x10ptsdet_1_6_5    -278    -226    -66    -958    -1549    -2000    -6432
20230531_CVD_3158_60s_10x10ptsdet_1_6_6    -277    -218    -71    -889    -1451    -1980    -6390
20230531_CVD_3158_60s_10x10ptsdet_1_6_7    -283    -219    -84    -973    -1572    -1881    -6556
20230531_CVD_3158_60s_10x10ptsdet_1_6_8    -274    -220    -96   -1000    -1582    -2001    -6447
20230531_CVD_3158_60s_10x10ptsdet_1_6_9    -298    -242    -86    -899    -1563    -2047    -6430
20230531_CVD_3158_60s_10x10ptsdet_1_7_0    -307    -247    -91    -979    -1678    -2074    -7061
20230531_CVD_3158_60s_10x10ptsdet_1_7_1    -282    -227    -81   -1006    -1657    -1993    -6743
20230531_CVD_3158_60s_10x10ptsdet_1_7_2    -282    -231    -90    -996    -1565    -1909    -6656
20230531_CVD_3158_60s_10x10ptsdet_1_7_3    -294    -240    -93    -982    -1582    -2018    -6684
20230531_CVD_3158_60s_10x10ptsdet_1_7_4    -283    -231   -102    -951    -1589    -2033    -6636
20230531_CVD_3158_60s_10x10ptsdet_1_7_5    -289    -222    -86    -951    -1621    -2055    -6500
20230531_CVD_3158_60s_10x10ptsdet_1_7_6    -305    -259    -71    -976    -1581    -1998    -6581
20230531_CVD_3158_60s_10x10ptsdet_1_7_7    -286    -218    -91   -1001    -1592    -2053    -6539
20230531_CVD_3158_60s_10x10ptsdet_1_7_8    -286    -236    -57    -971    -1588    -2041    -6496
20230531_CVD_3158_60s_10x10ptsdet_1_7_9    -267    -212    -99    -962    -1521    -1864    -6612
