ROI net sum

Spectrum                                    Si    P   Ar   Ni    Zn    Ga   Rh
------------------------------------------------------------------------------
20230531_CVD_3158_60s_10x10ptsdet_1_0_0 340403 4909  245 1133   423 13197 8518
20230531_CVD_3158_60s_10x10ptsdet_1_0_1 340471 4809  266 1133   336 13107 8695
20230531_CVD_3158_60s_10x10ptsdet_1_0_2 341751 4952  240  977   359 13158 8401
20230531_CVD_3158_60s_10x10ptsdet_1_0_3 341627 4925  240 1116   415 13263 8386
20230531_CVD_3158_60s_10x10ptsdet_1_0_4 342095 4810  267 1069   274 13167 8346
20230531_CVD_3158_60s_10x10ptsdet_1_0_5 342546 4758  235 1099   331 13088 8066
20230531_CVD_3158_60s_10x10ptsdet_1_0_6 341903 4949  211 1009   277 12957 8079
20230531_CVD_3158_60s_10x10ptsdet_1_0_7 342255 4918  236 1037   349 13439 8128
20230531_CVD_3158_60s_10x10ptsdet_1_0_8 341086 4769  241 1035   284 13204 8014
20230531_CVD_3158_60s_10x10ptsdet_1_0_9 341969 4887  225 1080   491 13435 8144
20230531_CVD_3158_60s_10x10ptsdet_1_1_0 339816 4899  196 1067   355 13340 9436
20230531_CVD_3158_60s_10x10ptsdet_1_1_1 339358 4842  252  960   374 13162 9265
20230531_CVD_3158_60s_10x10ptsdet_1_1_2 339038 4903  218 1031   293 12981 8889
20230531_CVD_3158_60s_10x10ptsdet_1_1_3 339008 4765  268 1103   234 13048 8725
20230531_CVD_3158_60s_10x10ptsdet_1_1_4 338602 4748  235 1067   334 13118 8750
20230531_CVD_3158_60s_10x10ptsdet_1_1_5 337506 4684  266  984   362 13015 8730
20230531_CVD_3158_60s_10x10ptsdet_1_1_6 337678 4867  257 1020   347 13216 8548
20230531_CVD_3158_60s_10x10ptsdet_1_1_7 338515 4732  206 1121   310 13121 8731
20230531_CVD_3158_60s_10x10ptsdet_1_1_8 337415 4770  253 1026   511 13054 8666
20230531_CVD_3158_60s_10x10ptsdet_1_1_9 338879 4854  213 1048   292 12971 8959
20230531_CVD_3158_60s_10x10ptsdet_1_2_0 339610 4910  285 1084   357 13032 9703
20230531_CVD_3158_60s_10x10ptsdet_1_2_1 340701 4767  224 1025   454 13025 9517
20230531_CVD_3158_60s_10x10ptsdet_1_2_2 339845 4753  291 1218   365 13157 9023
20230531_CVD_3158_60s_10x10ptsdet_1_2_3 340118 4866  247 1008   254 13030 9082
20230531_CVD_3158_60s_10x10ptsdet_1_2_4 340818 4876  249 1096   342 13262 8827
20230531_CVD_3158_60s_10x10ptsdet_1_2_5 339011 4861  234 1091   462 13302 8811
20230531_CVD_3158_60s_10x10ptsdet_1_2_6 340221 4700  240 1038   207 12942 8911
20230531_CVD_3158_60s_10x10ptsdet_1_2_7 339634 4705  220 1067   386 13118 9009
20230531_CVD_3158_60s_10x10ptsdet_1_2_8 340267 4816  260 1114   475 13178 8748
20230531_CVD_3158_60s_10x10ptsdet_1_2_9 339270 4791  267 1033   363 12813 8813
20230531_CVD_3158_60s_10x10ptsdet_1_3_0 338865 4786  259 1148   433 13138 9824
20230531_CVD_3158_60s_10x10ptsdet_1_3_1 340779 4860  282 1041   389 13072 9276
20230531_CVD_3158_60s_10x10ptsdet_1_3_2 341065 4790  220 1113   309 13116 9218
20230531_CVD_3158_60s_10x10ptsdet_1_3_3 340737 4909  231  984   272 13098 9114
20230531_CVD_3158_60s_10x10ptsdet_1_3_4 340261 4888  256 1133   372 12999 9016
20230531_CVD_3158_60s_10x10ptsdet_1_3_5 340420 4905  239 1086   315 13418 9097
20230531_CVD_3158_60s_10x10ptsdet_1_3_6 341023 4992  248  984   322 13264 9037
20230531_CVD_3158_60s_10x10ptsdet_1_3_7 340610 4857  266 1132   353 12997 8942
20230531_CVD_3158_60s_10x10ptsdet_1_3_8 340335 4784  212  968   425 13344 9234
20230531_CVD_3158_60s_10x10ptsdet_1_3_9 340292 4837  194  997   313 13040 8943
20230531_CVD_3158_60s_10x10ptsdet_1_4_0 341028 5021  242 1157   489 13324 9901
20230531_CVD_3158_60s_10x10ptsdet_1_4_1 340273 4893  229  967   312 13122 8979
20230531_CVD_3158_60s_10x10ptsdet_1_4_2 340655 4950  246  952   292 13206 9242
20230531_CVD_3158_60s_10x10ptsdet_1_4_3 340490 4890  236 1084   278 13152 9155
20230531_CVD_3158_60s_10x10ptsdet_1_4_4 340783 5022  255 1013   303 13084 9032
20230531_CVD_3158_60s_10x10ptsdet_1_4_5 340345 4910  275 1047   304 13076 9174
