ROI backgr, sum

Spectrum                                     Si       P     Ar      Ni       Zn       Ga       Rh
-------------------------------------------------------------------------------------------------
20230606_CVD_2555_60s_10x10ptsdet_1_0_0    -245    -189    -67    -890    -1652    -2142    -4790
20230606_CVD_2555_60s_10x10ptsdet_1_0_1    -241    -195    -82    -919    -1574    -2054    -4368
20230606_CVD_2555_60s_10x10ptsdet_1_0_2    -237    -180    -30    -983    -1688    -2164    -4488
20230606_CVD_2555_60s_10x10ptsdet_1_0_3    -237    -182    -71    -899    -1591    -2143    -4461
20230606_CVD_2555_60s_10x10ptsdet_1_0_4    -248    -194    -68    -898    -1548    -2007    -4469
20230606_CVD_2555_60s_10x10ptsdet_1_0_5    -250    -199    -69    -969    -1631    -2148    -4446
20230606_CVD_2555_60s_10x10ptsdet_1_0_6    -234    -178    -61    -959    -1786    -2267    -4434
20230606_CVD_2555_60s_10x10ptsdet_1_0_7    -246    -195    -81    -944    -1578    -2099    -4379
20230606_CVD_2555_60s_10x10ptsdet_1_0_8    -244    -188    -84    -932    -1590    -2077    -4474
20230606_CVD_2555_60s_10x10ptsdet_1_0_9    -245    -200    -76    -998    -1597    -2128    -4097
20230606_CVD_2555_60s_10x10ptsdet_1_1_0    -244    -196    -47    -973    -1729    -2187    -4677
20230606_CVD_2555_60s_10x10ptsdet_1_1_1    -240    -191    -68    -965    -1663    -2111    -4562
20230606_CVD_2555_60s_10x10ptsdet_1_1_2    -262    -210    -71    -983    -1687    -2187    -4553
20230606_CVD_2555_60s_10x10ptsdet_1_1_3    -235    -183    -57    -959    -1607    -1995    -4480
20230606_CVD_2555_60s_10x10ptsdet_1_1_4    -245    -201    -68    -966    -1629    -2162    -4479
20230606_CVD_2555_60s_10x10ptsdet_1_1_5    -238    -180    -66    -972    -1687    -2206    -4479
20230606_CVD_2555_60s_10x10ptsdet_1_1_6    -247    -205    -52    -900    -1520    -2119    -4325
20230606_CVD_2555_60s_10x10ptsdet_1_1_7    -245    -186    -72    -939    -1488    -1953    -4420
20230606_CVD_2555_60s_10x10ptsdet_1_1_8    -247    -204    -53    -972    -1667    -2174    -4458
20230606_CVD_2555_60s_10x10ptsdet_1_1_9    -229    -174    -65   -1006    -1800    -2262    -4461
20230606_CVD_2555_60s_10x10ptsdet_1_2_0    -258    -205    -65    -910    -1600    -2101    -4675
20230606_CVD_2555_60s_10x10ptsdet_1_2_1    -246    -205    -86    -901    -1600    -2114    -4444
20230606_CVD_2555_60s_10x10ptsdet_1_2_2    -252    -210    -68    -952    -1635    -2103    -4444
20230606_CVD_2555_60s_10x10ptsdet_1_2_3    -256    -215    -67    -963    -1623    -2135    -4415
20230606_CVD_2555_60s_10x10ptsdet_1_2_4    -239    -188    -52    -942    -1681    -2190    -4480
20230606_CVD_2555_60s_10x10ptsdet_1_2_5    -255    -214    -45    -982    -1707    -2191    -4343
20230606_CVD_2555_60s_10x10ptsdet_1_2_6    -236    -188    -78    -990    -1703    -2174    -4467
20230606_CVD_2555_60s_10x10ptsdet_1_2_7    -260    -221    -70    -970    -1661    -2092    -4436
20230606_CVD_2555_60s_10x10ptsdet_1_2_8    -230    -189    -58    -943    -1683    -2197    -4473
20230606_CVD_2555_60s_10x10ptsdet_1_2_9    -242    -194    -63    -899    -1594    -2140    -4314
20230606_CVD_2555_60s_10x10ptsdet_1_3_0    -232    -188    -81    -925    -1560    -2112    -4688
20230606_CVD_2555_60s_10x10ptsdet_1_3_1    -252    -207    -59   -1010    -1832    -2267    -4562
20230606_CVD_2555_60s_10x10ptsdet_1_3_2    -241    -194    -57    -929    -1579    -2057    -4476
20230606_CVD_2555_60s_10x10ptsdet_1_3_3    -220    -172    -67    -998    -1658    -2059    -4523
20230606_CVD_2555_60s_10x10ptsdet_1_3_4    -221    -164    -50    -964    -1652    -2166    -4356
20230606_CVD_2555_60s_10x10ptsdet_1_3_5    -238    -191    -63    -880    -1583    -2098    -4403
20230606_CVD_2555_60s_10x10ptsdet_1_3_6    -223    -165    -48    -964    -1554    -2021    -4424
20230606_CVD_2555_60s_10x10ptsdet_1_3_7    -237    -188    -69   -1014    -1718    -2253    -4431
20230606_CVD_2555_60s_10x10ptsdet_1_3_8    -235    -186    -83    -987    -1736    -2151    -4469
20230606_CVD_2555_60s_10x10ptsdet_1_3_9    -243    -194    -55    -992    -1656    -2156    -4368
20230606_CVD_2555_60s_10x10ptsdet_1_4_0    -246    -183    -69    -976    -1699    -2129    -4741
20230606_CVD_2555_60s_10x10ptsdet_1_4_1    -237    -179    -54    -997    -1681    -2179    -4510
20230606_CVD_2555_60s_10x10ptsdet_1_4_2    -256    -213    -56    -966    -1629    -2086    -4421
20230606_CVD_2555_60s_10x10ptsdet_1_4_3    -249    -206    -58    -944    -1556    -1981    -4229
20230606_CVD_2555_60s_10x10ptsdet_1_4_4    -240    -199    -77    -986    -1675    -1987    -4444
20230606_CVD_2555_60s_10x10ptsdet_1_4_5    -228    -175    -69    -978    -1707    -2183    -4417
20230606_CVD_2555_60s_10x10ptsdet_1_4_6    -250    -201    -72    -978    -1550    -2090    -4508
20230606_CVD_2555_60s_10x10ptsdet_1_4_7    -252    -207    -54    -922    -1512    -2114    -4547
20230606_CVD_2555_60s_10x10ptsdet_1_4_8    -262    -218    -71    -975    -1591    -2121    -4476
20230606_CVD_2555_60s_10x10ptsdet_1_4_9    -233    -187    -82   -1026    -1744    -2265    -4356
20230606_CVD_2555_60s_10x10ptsdet_1_5_0    -244    -187    -72    -984    -1667    -2153    -4507
20230606_CVD_2555_60s_10x10ptsdet_1_5_1    -223    -174    -58    -968    -1681    -2159    -4479
20230606_CVD_2555_60s_10x10ptsdet_1_5_2    -245    -199    -87    -975    -1691    -2048    -4497
20230606_CVD_2555_60s_10x10ptsdet_1_5_3    -238    -198    -71    -921    -1581    -2137    -4422
20230606_CVD_2555_60s_10x10ptsdet_1_5_4    -237    -184    -59    -945    -1727    -2189    -4473
20230606_CVD_2555_60s_10x10ptsdet_1_5_5    -236    -192    -61    -947    -1640    -2049    -4308
20230606_CVD_2555_60s_10x10ptsdet_1_5_6    -241    -195    -69    -967    -1705    -2188    -4403
20230606_CVD_2555_60s_10x10ptsdet_1_5_7    -239    -189    -49    -974    -1659    -2176    -4229
20230606_CVD_2555_60s_10x10ptsdet_1_5_8    -234    -185    -48    -931    -1618    -2132    -4422
20230606_CVD_2555_60s_10x10ptsdet_1_5_9    -221    -163    -47    -960    -1620    -2072    -4317
20230606_CVD_2555_60s_10x10ptsdet_1_6_0    -248    -205    -77    -998    -1651    -2096    -4654
20230606_CVD_2555_60s_10x10ptsdet_1_6_1    -245    -191    -51    -976    -1721    -2237    -4416
20230606_CVD_2555_60s_10x10ptsdet_1_6_2    -235    -180    -68    -930    -1589    -2048    -4428
20230606_CVD_2555_60s_10x10ptsdet_1_6_3    -237    -192    -60    -946    -1690    -2120    -4470
20230606_CVD_2555_60s_10x10ptsdet_1_6_4    -243    -207    -75    -997    -1657    -2209    -4478
20230606_CVD_2555_60s_10x10ptsdet_1_6_5    -240    -190    -56   -1003    -1764    -2264    -4489
20230606_CVD_2555_60s_10x10ptsdet_1_6_6    -249    -190    -79   -1016    -1750    -2226    -4476
20230606_CVD_2555_60s_10x10ptsdet_1_6_7    -262    -211    -62    -931    -1501    -2042    -4507
20230606_CVD_2555_60s_10x10ptsdet_1_6_8    -244    -202    -49    -969    -1673    -2119    -4570
20230606_CVD_2555_60s_10x10ptsdet_1_6_9    -246    -195    -59   -1024    -1719    -2166    -4271
