"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;307102;12831.7;11603.3;909.253;2237.51;491.019;36260.2;4983.46;10.7017;415.9;995.967;98.4392;168.133;341.594;633.677;241.517;112.413;39.2341;56.3758;43.2923;198.025;92.3605;34.3519;87.4822;87.8072;21.7031;20.6721;23.1521;3.02887
0;1;819.211;718.035;616.515;403.199;87.9359;42.486;20.4641;18.078;787.58;493.975;503.542;28.7591;44.5896;75.4815;96.6755;80.8649;57.152;47.7824;40.0116;45.392;54.4775;63.8599;56.1525;164.249;185.825;27.0119;23.9067;22.2129;2.42943
1;0;308207;12674.6;11642.9;872.459;2146.85;491.026;36120.9;4991.34;17.7291;513.94;963.202;100.887;153.462;321.972;625.547;248.856;112.363;38.4883;55.5683;43.742;197.158;90.6902;33.6766;84.9973;85.1507;22.2052;20.9286;22.978;2.95423
1;1;789.338;698.973;601.766;390.918;105.681;58.8878;18.7461;21.5231;705.875;450.983;459.594;20.1058;39.6249;73.172;93.4544;72.8137;53.2899;42.6344;39.2578;45.2516;53.2923;61.7385;52.371;122.898;151.517;24.2966;22.2054;20.4173;2.34194
2;0;306350;12990.9;11609.4;864.627;2174.17;380.996;35998.8;5002.35;0.402894;579.346;885.667;121.072;171.532;309.154;625.586;252.406;112.16;38.1671;56.4051;42.1053;196.898;91.8241;34.5544;86.5455;85.9854;21.9508;21.2577;22.6251;2.38463
2;1;807.009;709.482;613.221;403.128;106.793;53.022;38.1837;30.3992;762.407;466.369;474.112;21.1718;38.2919;71.5436;94.1512;65.7708;55.4658;38.4747;40.3291;44.8389;53.6197;62.5738;51.0336;121.22;150.286;26.0644;22.9393;20.7985;2.38518
3;0;305522;13023.8;11547.2;799.859;2091.39;413.484;36140.5;4956.32;1.98772;617.615;858.442;32.1722;213.536;389.796;630.063;250.518;111.976;36.9996;55.0833;42.3195;197.211;91.3641;34.4284;87.1169;86.2934;19.259;21.7782;24.5299;2.73162
3;1;893.36;672.032;607.596;386.828;96.9406;38.7958;13.4043;20.5282;886.483;421.359;484.876;24.6495;39.1506;73.3733;92.7428;79.2423;52.8771;43.5114;38.1858;43.1418;51.1746;59.4622;54.0838;151.245;172.18;24.5801;22.081;20.4633;2.24611
4;0;307142;12658.3;11887.3;853.986;2213.51;516.885;35959.1;4883.09;3.82577;434.928;1003.96;122.175;188.925;394.811;623.361;246.478;113.618;38.4509;56.18;42.808;196.724;91.6419;35.3875;87.5774;87.8354;22.5206;22.2052;24.6591;2.80078
4;1;806.21;715.148;619.595;407.573;112.945;65.9784;16.2093;20.2827;749.007;478.259;489.251;28.6583;39.6048;73.338;97.9211;59.9447;58.8178;38.7737;40.3305;45.4092;53.2187;62.1728;53.49;120.049;153.902;25.0336;22.4081;20.5276;2.36465
5;0;309136;12554.5;11662.9;937.798;2254.2;362.745;36037;4977.18;1.21066;447.501;965.061;76.2136;165.226;357.807;624.588;248.97;112.674;39.733;56.8463;41.6004;197.095;92.4027;35.1618;84.2046;85.05;21.1328;20.6711;23.9986;2.55017
5;1;838.48;712.732;622.781;412.319;105.575;79.0475;21.0562;30.4202;834.972;485.982;499.113;16.1411;33.4947;67.9144;83.6317;61.2734;45.8061;37.0101;39.242;44.6928;51.9436;61.1515;45.7191;131.524;151.258;26.0825;22.8125;20.4938;2.19662
