"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;337093;14156.4;5826.73;403.194;973.311;225.319;17299.5;2225.16;94.7038;136.205;625.177;37.4581;216.798;357.971;656.37;261.376;81.8141;29.8407;46.0152;41.3371;141.999;77.6226;32.1077;77.6087;79.0535;21.277;22.1406;24.2412;1.86586
1;0;341066;13883.3;5919.85;341.543;885.386;303.177;17664.8;2576.24;2.19585;305.84;418.571;112.553;174.989;268.405;674.922;259.343;82.6289;28.9641;45.098;41.7925;143.163;76.956;35.5313;74.7195;73.3113;22.9762;22.0643;22.252;1.83103
2;0;340361;14276.2;5877.45;373.515;986.994;290.586;17828.1;2423.81;59.7059;258.227;377.559;91.9671;146.337;310.042;686.096;260.46;81.9123;29.1188;46.1341;41.3394;143.934;77.4809;33.9632;72.5259;72.3289;22.037;20.269;22.7755;1.80085
3;0;339888;13938.8;5934.25;351.862;980.586;375.708;17663.8;2452.5;55.9995;183.997;485.572;92.7164;187.558;362.53;688.04;258.807;82.2712;28.9889;45.6583;41.3889;142.742;76.0533;33.0632;71.6629;71.9431;21.1911;21.4822;23.6678;2.02904
4;0;342333;14387.5;5819.13;395.483;814.794;215.196;17416.1;2434.17;86.8534;295.527;360.004;68.3891;183.21;352.161;678.472;261.819;81.5669;29.6439;44.3291;40.7565;142.274;77.2787;34.8214;73.6203;71.3243;21.4536;21.2812;23.6621;1.87853
5;0;341800;13760.9;5912.36;366.039;913.687;286.739;17799;2510.19;2.06891;153.577;610.975;80.455;197.728;312.796;672.162;258.128;82.1029;28.413;45.4646;41.5216;143.513;77.0534;35.8842;75.3285;75.0152;21.284;22.2243;23.2232;1.92885
6;0;341405;14497.8;5772.45;377.624;910.607;251.658;17911.2;2236.61;4.85267;427.455;288.88;43.2441;140.168;280.02;673.526;262.718;81.2828;28.9349;45.1022;40.545;143.634;75.9846;33.1708;75.7351;73.0098;22.2626;21.1175;22.754;1.96964
7;0;342314;14384.6;6000.65;353.202;837.596;245.905;17799.1;2627.76;100.387;434.314;368.605;66.7843;182.038;298.538;680.995;263.505;82.8479;29.1511;44.4628;41.028;143.574;77.3962;34.4012;77.1167;74.8255;22.3534;21.8724;22.9992;1.95663
8;0;342718;14248;5815.34;395.69;966.71;181.861;17668.3;2313.37;125.437;300.321;422.342;76.8225;222.172;362.068;663.013;262.149;81.5852;28.8755;45.8997;41.0484;143.398;77.6977;33.6156;75.734;75.4324;22.3725;23.1349;24.4678;1.98136
9;0;343128;14458;5822.05;404.466;944.983;307.264;17550.5;2623.43;95.6912;238.469;455.813;101.242;156.608;361.566;682.238;262.107;81.7095;29.6375;45.5795;41.0625;142.681;77.1354;34.1003;73.5843;73.2018;22.9754;21.1602;24.1747;2.10257
10;0;343376;13722.9;5845.5;349.5;895.149;233.515;17755.6;2645.99;2.1737;315.443;399.918;152.13;143.858;351.205;675.052;259.237;81.9289;28.7249;45.556;41.945;143.347;78.7958;35.717;76.5299;75.2714;24.2648;21.5111;23.9414;1.88333
11;0;342000;14254.5;5779.1;329.809;929.748;190.158;17599.5;2518.41;1.72924;239.968;418.657;57.6374;161.592;395.428;678.911;261.479;81.4906;28.5569;45.6208;40.1033;143.312;77.4229;35.869;74.6056;73.9066;21.2655;20.8975;24.3386;1.85388
12;0;342664;14185.3;5794.14;390.376;901.708;303.667;17549.6;2341.03;94.197;257.189;419.076;26.5078;217.818;361.246;683.414;263.171;81.6283;29.546;45.2757;41.4893;142.495;76.4536;34.6241;73.6071;72.7374;19.8096;22.1536;23.8256;2.12404
13;0;341699;14651.6;5884.43;382.265;917.475;251.908;17813.7;2506.89;1.69932;243.303;476.551;111.204;165.872;344.479;670.983;261.076;82.0435;29.176;45.9504;41.7182;144.159;77.2216;36.4127;73.3809;72.7244;23.3081;21.9189;24.0082;1.7538
14;0;349282;13985;5804.08;303.004;945.527;217.455;18135.7;2565.79;1.72112;131.476;511.762;58.7614;192.367;350.923;670.64;261.305;81.6706;28.0169;45.9737;41.1225;144.713;77.9781;37.453;75.0055;74.5335;21.144;21.9712;24.0612;1.79764
15;0;348506;14952.6;5905.51;398.092;929.725;255.817;17942.7;2446.1;8.68694;303.408;403.692;95.2132;170.928;369.606;685.157;265.28;82.2204;29.5487;46.1652;42.0942;144.061;77.1747;35.1188;73.6283;72.9134;22.423;21.8495;24.3558;1.83746
16;0;346891;15289.5;5831.9;375.475;892.777;278.008;18237.8;2323.79;1.59614;310.131;441.605;5.57532;200.758;356.275;694.287;262.168;81.8196;29.3153;45.8499;42.3069;144.178;75.7702;35.6886;74.5125;74.0818;18.1237;20.9317;23.5103;1.94269
17;0;348826;14430.4;5944.1;446.979;990.718;255.136;18072.7;2569.24;3.13733;204.151;486.347;96.4164;183.568;390.398;678.411;263.136;82.4015;30.0146;46.5072;41.6134;144.3;78.0638;33.9075;74.4988;73.8316;21.9229;21.4531;24.06;2.01895
18;0;348634;14101.7;5920.31;426.287;880.033;291.498;18289.2;2524.44;79.8747;275.271;393.258;98.5669;151.232;353.764;657.175;259.898;82.4128;30.3811;45.6869;41.8409;145.071;78.5713;31.5094;73.3651;72.9234;23.2585;21.5241;23.9014;2.06585
19;0;345090;13729;5838.21;336.072;931.169;308.067;17712.2;2231.4;1.91751;306.678;450.109;79.935;160.07;327.871;674.595;259.48;81.8972;29.0854;45.3744;41.496;143.4;75.9733;36.5572;75.7804;74.3117;22.5448;21.897;23.9098;1.98363
20;0;344384;14336.2;5794.95;378.108;892.86;189.482;17881.5;2698.17;1.99487;171.336;581.136;99.1734;139.041;333.111;676.145;261.439;81.6804;29.3639;45.3129;40.7737;143.864;79.0817;36.5018;76.2552;76.1268;21.5524;20.4965;23.4521;1.99794
21;0;344014;14641.4;5945.24;396.016;888.484;345.756;17455.7;2231.43;2.66008;251.332;436.706;75.0105;159.662;320.445;677.323;260.784;82.4054;29.3718;45.0488;42.267;142.3;75.5222;34.1213;74.2436;73.0488;22.0521;21.2659;23.359;1.93768
22;0;344361;14249.7;5670.89;347.305;972.795;225.149;17895.6;2373.09;2.52351;385.635;378.61;90.9089;153.16;295.733;684.517;260.95;80.6115;28.4834;46.1206;40.8;144.075;76.5617;34.4358;75.9833;74.2799;22.8262;21.6465;22.9491;1.9609
23;0;344668;13844.5;5861.52;363.28;930.893;256.453;17869.6;2514.8;2.39564;292.759;424.137;101.801;183.288;389.8;682.79;259.286;81.8724;29.2824;45.669;41.3549;146.731;76.912;34.5555;73.758;72.8632;22.8255;21.4899;24.5197;1.7885
24;0;345840;14380.4;5969.74;390.756;886.3;279.003;17938.7;2465.69;2.18269;185.48;535.897;82.2895;184.912;331.392;680.995;261.499;82.4149;29.3626;45.1384;40.5195;143.236;76.5454;34.5984;74.138;74.318;22.8575;22.438;23.9362;2.0094
25;0;345275;14263.1;5873.87;322.209;907.164;207.819;17856.2;2394.93;102.394;320.684;379.063;77.3424;163.902;343.581;682.724;264.404;81.8735;28.3444;45.8081;41.0264;144.031;77.0324;34.3145;73.3609;72.017;22.4214;21.694;24.0385;1.92401
26;0;344900;14706.4;5877.12;373.773;863.983;188.264;17912.6;2564.54;96.5326;315.075;399.608;38.0695;182.66;319.008;687.528;263.866;82.0168;29.2201;44.924;39.7733;145.025;77.0097;33.9853;74.7717;73.56;21.8975;22.4138;24.0709;1.86988
27;0;344962;14416.6;5846.01;418.107;901.02;256.798;17677.9;2421.96;9.78203;327.558;354.089;93.8843;165.79;339.25;642.914;261.565;81.7471;29.9063;45.1695;40.5937;145.654;76.9057;27.5954;73.7012;72.6465;22.8856;21.7883;23.4605;1.95292
28;0;344706;14419.2;5818.84;360.285;933.452;242.798;17860.3;2494.12;99.5695;284.612;497.098;44.2781;230.348;316.529;683.22;262.838;81.6022;28.9838;46.152;41.4808;143.977;77.3218;32.6669;75.7795;74.744;19.9236;22.1821;22.9205;1.9418
29;0;344214;14242.1;5890.32;363.98;820.693;247.763;18104.7;2219.91;100.863;374.304;374.684;116.007;167.615;354.024;682.817;262.581;82.2734;29.3193;44.2355;41.5664;144.372;75.4244;34.7183;75.9634;74.8204;23.1424;21.7799;24.4673;1.84804
30;0;343216;13987.4;5918.4;285.529;877.047;290.681;17953.7;2677.44;101.701;227.505;602.538;83.217;176.405;339.194;698.328;259.32;82.2384;27.4816;45.0368;41.7947;142.73;77.8774;35.8128;79.9685;80.0855;22.7879;22.2282;24.2928;1.99639
31;0;342642;14245.2;5922.07;415.463;815.134;212.212;17868.2;2588.6;94.6207;164.991;545.229;68.0397;159.211;309.185;684.554;261.875;82.3108;30.1814;44.2724;40.2856;143.362;78.01;34.1395;74.6359;75.1424;20.7718;20.718;23.2692;2.16102
32;0;343648;14135.3;5914.18;383.82;882.808;227.582;17660.8;2373.26;42.2226;381.42;372.162;111.876;226.529;299.406;687.658;260.248;82.1844;29.1628;44.9302;40.2899;143.192;76.9759;34.2215;75.4203;74.0183;22.1793;23.0033;22.9167;2.04081
33;0;343055;14015;5885.6;334.305;898.112;217.018;17765.6;2544.23;1.74941;302.188;463.999;23.9514;182.133;316.625;689.235;260.568;82.036;28.9408;45.6615;41.1312;143.638;78.0568;34.1842;76.0523;75.4769;20.3253;21.7497;23.8932;1.81264
34;0;341090;14672.2;5949.47;361.123;847.196;196.492;17718.3;2374.25;36.79;408.932;401.103;84.2266;157.953;253.316;682.01;262.378;82.4911;29.0217;44.7791;40.9086;144.283;76.9133;34.867;75.478;73.9167;22.7553;21.67;21.8597;1.78006
35;0;344436;13920.4;5937.68;400.246;903.753;295.33;17654.9;2557.81;6.72048;190.554;492.616;123.057;156.209;304.251;658.428;259.031;82.3757;29.2483;45.4535;41.1165;142.871;77.2709;33.8429;72.4212;71.7697;23.6882;21.5056;22.827;2.13422
36;0;343777;14263.1;5769.01;355.044;810.501;260.59;18162.3;2598.11;3.72834;315.125;340.224;60.757;208.195;307.567;686.098;260.728;81.185;28.5846;44.8322;42.121;144.473;77.3708;33.6987;71.6353;70.292;21.7373;22.1289;22.7717;1.79421
37;0;343806;14454.7;5736.01;304.785;843.245;194.956;17767.5;2368.93;42.1476;275.085;383.511;92.1607;145.557;291.32;673.101;262.456;81.0729;28.0962;44.6832;40.9175;142.663;76.4373;36.4124;73.1644;72.2152;22.9135;21.9449;23.8028;2.02294
38;0;343998;14087.4;5864.14;316.605;836.547;341.653;17989.4;2643.39;8.39163;257.515;398.633;64.2877;162.331;311.977;642.22;258.877;81.6218;28.1658;44.6232;41.6488;147.246;77.896;25.9411;72.9366;73.4772;21.959;21.4246;23.1792;1.91306
39;0;345043;14040.5;5828.7;346.264;864.719;269.03;17896.4;2242.86;1.93571;285.044;402.929;86.2634;177.643;365.704;678.639;262.116;81.7655;28.9281;45.3323;42.0357;143.727;77.2605;36.1607;75.2019;73.6407;22.3208;21.9087;23.9641;1.89772
40;0;341952;13886.1;5838.72;362.119;869.617;201.727;17630.2;2293.94;31.1935;401.623;326.573;89.7653;173.3;364.598;643.242;256.386;81.6566;29.259;44.9359;40.818;146.586;76.9926;28.3106;75.6699;74.7332;23.1335;22.0941;24.4986;1.68795
41;0;340550;14494.4;5773.25;403.4;935.826;271.083;17825.4;2495.68;4.0719;223.993;442.751;135.685;129.579;342.958;675.128;262.674;81.49;29.6315;45.8972;41.8411;144.158;77.1142;33.0243;73.6814;73.4184;22.9477;20.6053;24.0576;1.90625
42;0;341049;14317.8;5989.75;350.237;885.5;231.442;17808.3;2442.1;137.382;77.0866;532.044;75.3283;200.74;322.764;669.251;260.895;82.5953;28.5252;44.7392;41.0466;144.211;76.7749;35.9244;72.205;72.2432;22.5284;22.6758;23.7378;2.11844
