ROI backgr, sum

Spectrum                                     Si       P     Ar       Ni       Zn       Ga       Rh
--------------------------------------------------------------------------------------------------
20230613_CVD_3496_60s_10x10ptsdet_1_0_0    -287    -236   -108     -973    -1655    -2227    -6631
20230613_CVD_3496_60s_10x10ptsdet_1_0_1    -284    -244   -130     -984    -1619    -2210    -5949
20230613_CVD_3496_60s_10x10ptsdet_1_0_2    -257    -214    -82    -1020    -1758    -2264    -5484
20230613_CVD_3496_60s_10x10ptsdet_1_0_3    -249    -208    -86    -1043    -1768    -2097    -5458
20230613_CVD_3496_60s_10x10ptsdet_1_0_4    -240    -204    -89    -1018    -1679    -2220    -5320
20230613_CVD_3496_60s_10x10ptsdet_1_0_5    -248    -209    -72    -1026    -1675    -2154    -5354
20230613_CVD_3496_60s_10x10ptsdet_1_0_6    -253    -217   -103    -1023    -1695    -2070    -5446
20230613_CVD_3496_60s_10x10ptsdet_1_0_7    -259    -227    -74    -1038    -1711    -2215    -5308
20230613_CVD_3496_60s_10x10ptsdet_1_0_8    -247    -213    -84     -985    -1669    -2186    -5311
20230613_CVD_3496_60s_10x10ptsdet_1_0_9    -248    -212    -72     -965    -1592    -2125    -5327
20230613_CVD_3496_60s_10x10ptsdet_1_1_0    -271    -238   -113     -985    -1678    -2309    -6649
20230613_CVD_3496_60s_10x10ptsdet_1_1_1    -255    -204    -89     -979    -1593    -1910    -5963
20230613_CVD_3496_60s_10x10ptsdet_1_1_2    -271    -244   -112    -1024    -1718    -2252    -5194
20230613_CVD_3496_60s_10x10ptsdet_1_1_3    -242    -203    -84    -1066    -1815    -2295    -5282
20230613_CVD_3496_60s_10x10ptsdet_1_1_4    -257    -230    -98    -1007    -1649    -2142    -5371
20230613_CVD_3496_60s_10x10ptsdet_1_1_5    -239    -203    -77    -1059    -1771    -2125    -5344
20230613_CVD_3496_60s_10x10ptsdet_1_1_6    -250    -211    -89    -1026    -1771    -2263    -5276
20230613_CVD_3496_60s_10x10ptsdet_1_1_7    -257    -215    -94    -1047    -1690    -2046    -5377
