Net counts

Spectrum                                      Si    P    Ar   Ni      Zn    Ga   Rh
-----------------------------------------------------------------------------------
20230626_CVD_2808_60s_20x20ptsdet_1_0_0   359526 6948    52  903       0 25114 8629
20230626_CVD_2808_60s_20x20ptsdet_1_0_1   360817 7383    21  862       0 24867 8816
20230626_CVD_2808_60s_20x20ptsdet_1_0_10  357388 7072    22  741       0 24388 8690
20230626_CVD_2808_60s_20x20ptsdet_1_0_11  358039 7035    30  774       0 24823 8714
20230626_CVD_2808_60s_20x20ptsdet_1_0_12  356872 6984    56  816       0 24625 8381
20230626_CVD_2808_60s_20x20ptsdet_1_0_13  357481 6949    27  926       0 24238 8627
20230626_CVD_2808_60s_20x20ptsdet_1_0_14  357313 7143    61  768       0 24717 8495
20230626_CVD_2808_60s_20x20ptsdet_1_0_15  362077 7067     2  892       0 24698 8375
20230626_CVD_2808_60s_20x20ptsdet_1_0_16  361471 7231    42  919       0 25017 8508
20230626_CVD_2808_60s_20x20ptsdet_1_0_17  359948 7175    30  817       0 24760 8555
20230626_CVD_2808_60s_20x20ptsdet_1_0_18  362478 7236    62  818       0 24882 8671
20230626_CVD_2808_60s_20x20ptsdet_1_0_19  362285 7232    92  789       0 24839 8529
20230626_CVD_2808_60s_20x20ptsdet_1_0_2   359427 7064    86  784       0 24654 8611
20230626_CVD_2808_60s_20x20ptsdet_1_0_3   360011 7040   121  904       0 24622 8897
20230626_CVD_2808_60s_20x20ptsdet_1_0_4   359293 7195    33  824       0 24793 8502
20230626_CVD_2808_60s_20x20ptsdet_1_0_5   359125 7216   103  929       0 24935 8642
20230626_CVD_2808_60s_20x20ptsdet_1_0_6   359660 7216    66  791       0 24931 8337
20230626_CVD_2808_60s_20x20ptsdet_1_0_7   359150 7147     3  826       0 24762 8357
20230626_CVD_2808_60s_20x20ptsdet_1_0_8   359864 7118    42  832       0 24492 8712
20230626_CVD_2808_60s_20x20ptsdet_1_0_9   358279 7165    74  729       0 24572 8735
20230626_CVD_2808_60s_20x20ptsdet_1_10_0  362138 7197    43  745       0 24693 8806
20230626_CVD_2808_60s_20x20ptsdet_1_10_1  361156 7184    97  830       0 24720 8441
20230626_CVD_2808_60s_20x20ptsdet_1_10_10 362201 7448    99  872       0 24941 8947
20230626_CVD_2808_60s_20x20ptsdet_1_10_11 362192 7029    95  861       0 24622 8486
20230626_CVD_2808_60s_20x20ptsdet_1_10_12 361065 7273   120  880       0 24694 8642
20230626_CVD_2808_60s_20x20ptsdet_1_10_13 361047 7176   108  831       0 24745 8739
20230626_CVD_2808_60s_20x20ptsdet_1_10_14 362131 7161    85  831       0 25104 8667
20230626_CVD_2808_60s_20x20ptsdet_1_10_15 362132 7196    73  803       0 24933 8845
20230626_CVD_2808_60s_20x20ptsdet_1_10_16 361487 7286    48  817       0 24380 8972
20230626_CVD_2808_60s_20x20ptsdet_1_10_17 361696 7158    85  792       0 24930 8716
20230626_CVD_2808_60s_20x20ptsdet_1_10_18 359965 7154    38  783       0 25111 8893
20230626_CVD_2808_60s_20x20ptsdet_1_10_19 360971 7061    75  853       0 25021 8334
20230626_CVD_2808_60s_20x20ptsdet_1_10_2  361150 7130    64  761       0 24778 8642
20230626_CVD_2808_60s_20x20ptsdet_1_10_3  361693 7151    32  689       0 24662 9081
20230626_CVD_2808_60s_20x20ptsdet_1_10_4  360617 7130    42  886       0 25067 8629
20230626_CVD_2808_60s_20x20ptsdet_1_10_5  360436 7104    44  866       0 24815 8816
20230626_CVD_2808_60s_20x20ptsdet_1_10_6  360569 7231   107  853       0 24936 8910
20230626_CVD_2808_60s_20x20ptsdet_1_10_7  359899 7027    58  923       0 24782 8722
20230626_CVD_2808_60s_20x20ptsdet_1_10_8  361315 7098    93  898       0 24961 8524
20230626_CVD_2808_60s_20x20ptsdet_1_10_9  361763 7039    68  860       0 24868 8697
20230626_CVD_2808_60s_20x20ptsdet_1_11_0  360492 7202    77  813       0 24816 8733
20230626_CVD_2808_60s_20x20ptsdet_1_11_1  357716 7119    62  816       0 24976 8822
20230626_CVD_2808_60s_20x20ptsdet_1_11_10 359040 7229    77  835       0 24482 8724
20230626_CVD_2808_60s_20x20ptsdet_1_11_11 359118 7225    78  807       0 24496 8374
20230626_CVD_2808_60s_20x20ptsdet_1_11_12 358968 7168    73  752       0 24451 8765
20230626_CVD_2808_60s_20x20ptsdet_1_11_13 359248 7246    58  806       0 24638 8997
20230626_CVD_2808_60s_20x20ptsdet_1_11_14 359575 7020     0  838       0 24611 8157
20230626_CVD_2808_60s_20x20ptsdet_1_11_15 359810 7379    68  818       0 24788 8545
20230626_CVD_2808_60s_20x20ptsdet_1_11_16 359553 7200    71  823       0 24890 8420
20230626_CVD_2808_60s_20x20ptsdet_1_11_17 360025 7101    99  809       0 24801 9005
20230626_CVD_2808_60s_20x20ptsdet_1_11_18 360155 7126    24  807       0 24586 8980
20230626_CVD_2808_60s_20x20ptsdet_1_11_19 360716 7029    70  868       0 24422 8459
20230626_CVD_2808_60s_20x20ptsdet_1_11_2  357380 6840    74  752       0 24511 8814
20230626_CVD_2808_60s_20x20ptsdet_1_11_3  359146 7028    16  768       0 24720 8529
20230626_CVD_2808_60s_20x20ptsdet_1_11_4  357928 7075    82  782       0 24699 8358
20230626_CVD_2808_60s_20x20ptsdet_1_11_5  358026 7396    44  855       0 24601 8826
20230626_CVD_2808_60s_20x20ptsdet_1_11_6  359442 7194    16  797       0 24889 9037
20230626_CVD_2808_60s_20x20ptsdet_1_11_7  359451 7193   102  846       0 25045 8627
20230626_CVD_2808_60s_20x20ptsdet_1_11_8  359064 7015    37  865       0 24844 8452
20230626_CVD_2808_60s_20x20ptsdet_1_11_9  358805 7123    89  774       0 24634 8860
20230626_CVD_2808_60s_20x20ptsdet_1_12_0  360343 7329    50  813       0 24911 8484
20230626_CVD_2808_60s_20x20ptsdet_1_12_1  358962 7143     1  791       0 24570 8699
20230626_CVD_2808_60s_20x20ptsdet_1_12_10 358892 7063   122  827       0 24347 8420
20230626_CVD_2808_60s_20x20ptsdet_1_12_11 357315 7158    51  707       0 24257 8904
20230626_CVD_2808_60s_20x20ptsdet_1_12_12 360486 7143    76  858       0 24592 8683
20230626_CVD_2808_60s_20x20ptsdet_1_12_13 361014 7089   116  861       0 25073 8762
20230626_CVD_2808_60s_20x20ptsdet_1_12_14 359942 7112    64  869       0 24848 8689
20230626_CVD_2808_60s_20x20ptsdet_1_12_15 359875 7166   101  930       0 24934 8878
20230626_CVD_2808_60s_20x20ptsdet_1_12_16 360181 7174    88  729       0 24711 8545
20230626_CVD_2808_60s_20x20ptsdet_1_12_17 360727 7031    48  807       0 24716 8737
20230626_CVD_2808_60s_20x20ptsdet_1_12_18 359918 7163   117  861       0 24461 8758
20230626_CVD_2808_60s_20x20ptsdet_1_12_19 360195 7338    38  843       0 24537 8661
20230626_CVD_2808_60s_20x20ptsdet_1_12_2  357025 7045   102  832       0 24442 8635
20230626_CVD_2808_60s_20x20ptsdet_1_12_3  357664 7134    78  808       0 24825 8747
20230626_CVD_2808_60s_20x20ptsdet_1_12_4  358370 7085    60  879       0 24589 8822
20230626_CVD_2808_60s_20x20ptsdet_1_12_5  358117 7174    49  768       0 24639 8766
20230626_CVD_2808_60s_20x20ptsdet_1_12_6  357670 7116    46  768       0 24723 8486
20230626_CVD_2808_60s_20x20ptsdet_1_12_7  359496 7171    59  861       0 24533 8551
20230626_CVD_2808_60s_20x20ptsdet_1_12_8  358239 7164    48  883       0 24880 8708
20230626_CVD_2808_60s_20x20ptsdet_1_12_9  356589 7010    25  796       0 24368 8841
20230626_CVD_2808_60s_20x20ptsdet_1_13_0  360543 7145    56  778       0 24377 8359
20230626_CVD_2808_60s_20x20ptsdet_1_13_1  360301 6953    41  673       0 24729 8599
20230626_CVD_2808_60s_20x20ptsdet_1_13_10 360654 6961    41  683       0 24493 8716
20230626_CVD_2808_60s_20x20ptsdet_1_13_11 359760 7186    78  808       0 24855 8791
20230626_CVD_2808_60s_20x20ptsdet_1_13_12 359175 7291    93  818       0 24831 8965
20230626_CVD_2808_60s_20x20ptsdet_1_13_13 359980 7053    77  915       0 24546 8733
20230626_CVD_2808_60s_20x20ptsdet_1_13_14 361172 7073    25  931       0 24790 8743
20230626_CVD_2808_60s_20x20ptsdet_1_13_15 360077 7306    98  704       0 24785 8577
20230626_CVD_2808_60s_20x20ptsdet_1_13_16 360234 7102    82  790       0 24887 8780
20230626_CVD_2808_60s_20x20ptsdet_1_13_17 360686 7089    80  903       0 24974 8453
20230626_CVD_2808_60s_20x20ptsdet_1_13_18 361318 7238    45  761       0 25193 8634
20230626_CVD_2808_60s_20x20ptsdet_1_13_19 360657 7274    45  775       0 24806 8399
20230626_CVD_2808_60s_20x20ptsdet_1_13_2  359643 7295   137  778       0 24563 8963
20230626_CVD_2808_60s_20x20ptsdet_1_13_3  359428 7089    78  832       0 24623 8470
20230626_CVD_2808_60s_20x20ptsdet_1_13_4  360316 7202    50  779       0 25033 8921
20230626_CVD_2808_60s_20x20ptsdet_1_13_5  359836 7116    37  754       0 24903 8886
20230626_CVD_2808_60s_20x20ptsdet_1_13_6  360029 7219    98  837       0 24852 8380
20230626_CVD_2808_60s_20x20ptsdet_1_13_7  359872 7112     0  755       0 24715 8431
20230626_CVD_2808_60s_20x20ptsdet_1_13_8  359394 7022    80  823       0 24766 8868
20230626_CVD_2808_60s_20x20ptsdet_1_13_9  358946 7128    95  883       0 25009 8592
20230626_CVD_2808_60s_20x20ptsdet_1_14_0  361571 7047    65  744       0 24838 8883
20230626_CVD_2808_60s_20x20ptsdet_1_14_1  361181 7185    15  822       0 24847 8457
20230626_CVD_2808_60s_20x20ptsdet_1_14_10 356393 7035    16  809       0 24357 8363
20230626_CVD_2808_60s_20x20ptsdet_1_14_11 356521 7011   116  716       0 24758 8480
20230626_CVD_2808_60s_20x20ptsdet_1_14_12 359437 7119    52  852       0 24677 8810
20230626_CVD_2808_60s_20x20ptsdet_1_14_13 359615 7040   107  822       0 24776 8817
20230626_CVD_2808_60s_20x20ptsdet_1_14_14 358694 7046    93  926       0 24877 8657
20230626_CVD_2808_60s_20x20ptsdet_1_14_15 358038 7035    67  856       0 24761 8840
20230626_CVD_2808_60s_20x20ptsdet_1_14_16 358097 7051   108  845       0 24637 8630
20230626_CVD_2808_60s_20x20ptsdet_1_14_17 358334 7094    59  843       0 25057 8462
20230626_CVD_2808_60s_20x20ptsdet_1_14_18 358511 7299    41  867       0 24751 8330
20230626_CVD_2808_60s_20x20ptsdet_1_14_19 358305 7054    83  789       0 24499 8432
20230626_CVD_2808_60s_20x20ptsdet_1_14_2  358565 6943    67  770       0 24761 8689
20230626_CVD_2808_60s_20x20ptsdet_1_14_3  360727 7163    12  734       0 24571 8433
20230626_CVD_2808_60s_20x20ptsdet_1_14_4  360205 7071    64  842       0 25180 8624
20230626_CVD_2808_60s_20x20ptsdet_1_14_5  359226 7191    47  814       0 24623 8720
20230626_CVD_2808_60s_20x20ptsdet_1_14_6  361516 6991    50  744       0 25131 8757
20230626_CVD_2808_60s_20x20ptsdet_1_14_7  358117 7143    94  734       0 24540 8754
20230626_CVD_2808_60s_20x20ptsdet_1_14_8  358456 7231    31  843       0 24524 9011
20230626_CVD_2808_60s_20x20ptsdet_1_14_9  358268 7141    30  730       0 24509 8692
20230626_CVD_2808_60s_20x20ptsdet_1_15_0  357683 7048    45  771       0 24597 8731
20230626_CVD_2808_60s_20x20ptsdet_1_15_1  356884 7076    41  717       0 24994 8608
20230626_CVD_2808_60s_20x20ptsdet_1_15_10 359843 7363    17  894       0 24818 8759
20230626_CVD_2808_60s_20x20ptsdet_1_15_11 359366 7185    38  838       0 24453 8680
20230626_CVD_2808_60s_20x20ptsdet_1_15_12 359943 7179   139  770       0 25205 8840
20230626_CVD_2808_60s_20x20ptsdet_1_15_13 360458 7091   147  938       0 24630 8750
20230626_CVD_2808_60s_20x20ptsdet_1_15_14 358878 7121    54  792       0 24496 8700
20230626_CVD_2808_60s_20x20ptsdet_1_15_15 359656 7317   110  861       0 24785 8678
20230626_CVD_2808_60s_20x20ptsdet_1_15_16 359629 6949    53  867       0 24869 8720
20230626_CVD_2808_60s_20x20ptsdet_1_15_17 358942 7112    66  880       0 24698 8741
20230626_CVD_2808_60s_20x20ptsdet_1_15_18 359733 7123    27  729       0 24906 8582
20230626_CVD_2808_60s_20x20ptsdet_1_15_19 359475 7022    75  917       0 24918 9080
20230626_CVD_2808_60s_20x20ptsdet_1_15_2  356865 7076   109  786       0 24698 8580
20230626_CVD_2808_60s_20x20ptsdet_1_15_3  357935 7166    44  741       0 24925 8462
20230626_CVD_2808_60s_20x20ptsdet_1_15_4  358074 7124    40  822       0 24774 8742
20230626_CVD_2808_60s_20x20ptsdet_1_15_5  358830 6986    68  847       0 24892 8462
20230626_CVD_2808_60s_20x20ptsdet_1_15_6  358731 7233   105  819       0 24817 8732
20230626_CVD_2808_60s_20x20ptsdet_1_15_7  358676 7022    60  794       0 24757 8867
20230626_CVD_2808_60s_20x20ptsdet_1_15_8  359180 7027    55  826       0 24764 8663
20230626_CVD_2808_60s_20x20ptsdet_1_15_9  360962 7310   122  864       0 24773 8229
20230626_CVD_2808_60s_20x20ptsdet_1_16_0  359242 7097     8  929       0 24728 8752
20230626_CVD_2808_60s_20x20ptsdet_1_16_1  360583 7067   117  684       0 24641 8453
20230626_CVD_2808_60s_20x20ptsdet_1_16_10 360757 7178    64  834       0 25015 8555
20230626_CVD_2808_60s_20x20ptsdet_1_16_11 359291 7279    34  834       0 24842 8891
20230626_CVD_2808_60s_20x20ptsdet_1_16_12 359460 7129    71  846       0 24296 8590
20230626_CVD_2808_60s_20x20ptsdet_1_16_13 359881 7049   101  891       0 24518 8397
20230626_CVD_2808_60s_20x20ptsdet_1_16_14 358773 7056    44  830       0 24539 8481
20230626_CVD_2808_60s_20x20ptsdet_1_16_15 358706 7058    91  858       0 24704 8998
20230626_CVD_2808_60s_20x20ptsdet_1_16_16 358304 7163    66  869       0 24419 8255
20230626_CVD_2808_60s_20x20ptsdet_1_16_17 360138 6999    50  815       0 24640 9201
20230626_CVD_2808_60s_20x20ptsdet_1_16_18 359765 7226    38  820       0 25087 9038
20230626_CVD_2808_60s_20x20ptsdet_1_16_19 361157 7061    56  935       0 24912 8768
20230626_CVD_2808_60s_20x20ptsdet_1_16_2  358586 7164    37  561       0 24384 8982
20230626_CVD_2808_60s_20x20ptsdet_1_16_3  358787 7221    50  870       0 24656 8639
20230626_CVD_2808_60s_20x20ptsdet_1_16_4  359589 7082    75  754       0 25150 8219
20230626_CVD_2808_60s_20x20ptsdet_1_16_5  359473 7172    67  870       0 24928 8659
20230626_CVD_2808_60s_20x20ptsdet_1_16_6  359780 7204    58  822       0 24829 8622
20230626_CVD_2808_60s_20x20ptsdet_1_16_7  360297 7107    54  843       0 24594 8406
20230626_CVD_2808_60s_20x20ptsdet_1_16_8  360148 6954    66  811       0 24830 8679
20230626_CVD_2808_60s_20x20ptsdet_1_16_9  361368 7065    63  749       0 24729 8826
20230626_CVD_2808_60s_20x20ptsdet_1_17_0  361281 7097    21  886       0 24774 8304
20230626_CVD_2808_60s_20x20ptsdet_1_17_1  359741 7158    16  760       0 24529 8583
20230626_CVD_2808_60s_20x20ptsdet_1_17_10 359705 7156    46  808       0 24827 8639
20230626_CVD_2808_60s_20x20ptsdet_1_17_11 360278 7300    71  698       0 24803 8491
20230626_CVD_2808_60s_20x20ptsdet_1_17_12 360199 7120    14  793       0 24760 9007
20230626_CVD_2808_60s_20x20ptsdet_1_17_13 360299 7160    52  799       0 25190 8677
20230626_CVD_2808_60s_20x20ptsdet_1_17_14 360424 7163    50  863       0 25132 8780
20230626_CVD_2808_60s_20x20ptsdet_1_17_15 359707 7088    75  778       0 24790 8805
20230626_CVD_2808_60s_20x20ptsdet_1_17_16 359213 7133     0  811       0 25376 8860
20230626_CVD_2808_60s_20x20ptsdet_1_17_17 360864 7083   114  788       0 25052 8583
20230626_CVD_2808_60s_20x20ptsdet_1_17_18 360214 7093    52  739       0 24704 8949
20230626_CVD_2808_60s_20x20ptsdet_1_17_19 362256 7397    35  942       0 24585 8634
20230626_CVD_2808_60s_20x20ptsdet_1_17_2  360526 7080    97  754       0 24895 8436
20230626_CVD_2808_60s_20x20ptsdet_1_17_3  360357 7087    26  790       0 24768 8547
20230626_CVD_2808_60s_20x20ptsdet_1_17_4  359407 7190    86  883       0 24806 8603
20230626_CVD_2808_60s_20x20ptsdet_1_17_5  360443 7035    59  745       0 24890 8798
20230626_CVD_2808_60s_20x20ptsdet_1_17_6  360034 6955   152  798       0 24489 8566
20230626_CVD_2808_60s_20x20ptsdet_1_17_7  360705 7060    79  724       0 24567 8852
20230626_CVD_2808_60s_20x20ptsdet_1_17_8  359179 7149    34  732       0 24919 8506
20230626_CVD_2808_60s_20x20ptsdet_1_17_9  360203 7204    80  855       0 24739 8432
20230626_CVD_2808_60s_20x20ptsdet_1_18_0  362276 7112   123  844       0 25193 8712
20230626_CVD_2808_60s_20x20ptsdet_1_18_1  361345 7072    60  721       0 24883 8600
20230626_CVD_2808_60s_20x20ptsdet_1_18_10 361835 6920    95  676       0 24915 8495
20230626_CVD_2808_60s_20x20ptsdet_1_18_11 360919 7193    35  840       0 25057 8909
20230626_CVD_2808_60s_20x20ptsdet_1_18_12 362509 7200   139  786       0 24894 8999
20230626_CVD_2808_60s_20x20ptsdet_1_18_13 361769 7220    44  862       0 25313 8609
20230626_CVD_2808_60s_20x20ptsdet_1_18_14 362459 7014    62  818       0 24959 8737
20230626_CVD_2808_60s_20x20ptsdet_1_18_15 360817 7070    57  871       0 25149 8897
20230626_CVD_2808_60s_20x20ptsdet_1_18_16 361678 7218    31  757       0 24723 8697
20230626_CVD_2808_60s_20x20ptsdet_1_18_17 361861 7239    62  853       0 24695 8335
20230626_CVD_2808_60s_20x20ptsdet_1_18_18 361414 7112    25  756       0 24440 8972
20230626_CVD_2808_60s_20x20ptsdet_1_18_19 359491 7169   127  824       0 24790 8851
20230626_CVD_2808_60s_20x20ptsdet_1_18_2  363165 7095    40  794       0 25415 8715
20230626_CVD_2808_60s_20x20ptsdet_1_18_3  363388 6997    69  889       0 24996 8945
20230626_CVD_2808_60s_20x20ptsdet_1_18_4  362038 7232    46  813       0 25079 8601
20230626_CVD_2808_60s_20x20ptsdet_1_18_5  360295 7061    64  768       0 24959 8772
20230626_CVD_2808_60s_20x20ptsdet_1_18_6  361457 7312   109  783       0 24766 8608
20230626_CVD_2808_60s_20x20ptsdet_1_18_7  360086 7353    21  758       0 24649 8566
20230626_CVD_2808_60s_20x20ptsdet_1_18_8  359826 7114   161  819       0 24632 9118
20230626_CVD_2808_60s_20x20ptsdet_1_18_9  359992 7162    46  902       0 24821 8240
20230626_CVD_2808_60s_20x20ptsdet_1_19_0  361057 7217    29  821       0 25076 8634
20230626_CVD_2808_60s_20x20ptsdet_1_19_1  361781 7051    98  812       0 24835 8482
20230626_CVD_2808_60s_20x20ptsdet_1_19_10 359010 7193    40  943       0 24891 8828
20230626_CVD_2808_60s_20x20ptsdet_1_19_11 357811 7270    94  827       0 24786 8654
20230626_CVD_2808_60s_20x20ptsdet_1_19_12 357960 7109    67  926       0 25081 8704
20230626_CVD_2808_60s_20x20ptsdet_1_19_13 359268 7167    76  776       0 24637 8713
20230626_CVD_2808_60s_20x20ptsdet_1_19_14 359636 7205    75  820       0 24780 8665
20230626_CVD_2808_60s_20x20ptsdet_1_19_15 360229 7041    94  756       0 24786 8876
20230626_CVD_2808_60s_20x20ptsdet_1_19_16 361028 7162    50  760       0 24756 8578
20230626_CVD_2808_60s_20x20ptsdet_1_19_17 361109 7031   109  825       0 25235 8681
20230626_CVD_2808_60s_20x20ptsdet_1_19_18 359028 7108    52  873       0 24786 8835
20230626_CVD_2808_60s_20x20ptsdet_1_19_19 358310 7060    99  883       0 24915 8595
20230626_CVD_2808_60s_20x20ptsdet_1_19_2  361505 7074    32  736       0 24417 8533
20230626_CVD_2808_60s_20x20ptsdet_1_19_3  362431 7065    54  897       0 24684 8710
20230626_CVD_2808_60s_20x20ptsdet_1_19_4  359856 7211    39  784       0 24567 8565
20230626_CVD_2808_60s_20x20ptsdet_1_19_5  359766 6944   115  934       0 24603 8628
20230626_CVD_2808_60s_20x20ptsdet_1_19_6  359772 7130    57  843       0 24495 8610
20230626_CVD_2808_60s_20x20ptsdet_1_19_7  359999 7056    29  738       0 24770 8962
20230626_CVD_2808_60s_20x20ptsdet_1_19_8  360278 7037   103  854       0 24852 8427
20230626_CVD_2808_60s_20x20ptsdet_1_19_9  359933 7190   103  842       0 24868 8842
20230626_CVD_2808_60s_20x20ptsdet_1_1_0   360880 7164    30  856       0 25056 8632
20230626_CVD_2808_60s_20x20ptsdet_1_1_1   362399 6934     0  848       0 24930 8577
20230626_CVD_2808_60s_20x20ptsdet_1_1_10  361890 7135    64  786       0 24681 8666
20230626_CVD_2808_60s_20x20ptsdet_1_1_11  362190 7155    61  775       0 25207 8794
20230626_CVD_2808_60s_20x20ptsdet_1_1_12  362157 7143    85  844       0 24547 8659
