ROI net sum

Spectrum                                      Si    P   Ar   Ni    Zn    Ga   Rh
--------------------------------------------------------------------------------
20230626_CVD_2808_60s_20x20ptsdet_1_0_0   326533 7128  232 1180   313 20673 8737
20230626_CVD_2808_60s_20x20ptsdet_1_0_1   327822 7536  223 1087   296 20631 8842
20230626_CVD_2808_60s_20x20ptsdet_1_0_10  324529 7277  256 1018   315 20369 8800
20230626_CVD_2808_60s_20x20ptsdet_1_0_11  324863 7287  273  974   268 20509 8851
20230626_CVD_2808_60s_20x20ptsdet_1_0_12  324019 7209  243 1027   342 20510 8749
20230626_CVD_2808_60s_20x20ptsdet_1_0_13  324714 7155  224 1108   392 20383 8775
20230626_CVD_2808_60s_20x20ptsdet_1_0_14  324597 7398  270 1048   413 20671 8679
20230626_CVD_2808_60s_20x20ptsdet_1_0_15  328728 7308  241 1099   305 20481 8655
20230626_CVD_2808_60s_20x20ptsdet_1_0_16  328217 7427  217 1111   404 20838 8836
20230626_CVD_2808_60s_20x20ptsdet_1_0_17  326669 7348  231 1022   322 20732 8911
20230626_CVD_2808_60s_20x20ptsdet_1_0_18  329048 7417  272 1135   448 20942 8831
20230626_CVD_2808_60s_20x20ptsdet_1_0_19  328792 7390  282 1070   373 20781 8817
20230626_CVD_2808_60s_20x20ptsdet_1_0_2   326210 7306  257 1028   255 20580 8683
20230626_CVD_2808_60s_20x20ptsdet_1_0_3   326685 7248  283 1167   380 20501 8853
20230626_CVD_2808_60s_20x20ptsdet_1_0_4   326159 7377  249 1088   401 20701 8732
20230626_CVD_2808_60s_20x20ptsdet_1_0_5   325925 7348  262 1104   363 20650 8911
20230626_CVD_2808_60s_20x20ptsdet_1_0_6   326329 7439  257 1014   418 20784 8665
20230626_CVD_2808_60s_20x20ptsdet_1_0_7   325935 7353  259 1010   303 20472 8884
20230626_CVD_2808_60s_20x20ptsdet_1_0_8   326289 7274  260 1115   415 20447 8932
20230626_CVD_2808_60s_20x20ptsdet_1_0_9   325262 7301  239  993   329 20510 8680
20230626_CVD_2808_60s_20x20ptsdet_1_10_0  328823 7343  253  968   401 20460 9066
20230626_CVD_2808_60s_20x20ptsdet_1_10_1  327696 7390  265 1070   299 20498 8619
20230626_CVD_2808_60s_20x20ptsdet_1_10_10 328704 7595  252 1104   298 20571 8901
20230626_CVD_2808_60s_20x20ptsdet_1_10_11 328451 7297  276 1062   272 20437 8595
20230626_CVD_2808_60s_20x20ptsdet_1_10_12 327833 7423  274 1123   440 20640 8764
20230626_CVD_2808_60s_20x20ptsdet_1_10_13 327850 7393  265 1043   291 20687 8854
20230626_CVD_2808_60s_20x20ptsdet_1_10_14 328630 7392  261 1126   412 20787 8770
20230626_CVD_2808_60s_20x20ptsdet_1_10_15 328700 7351  270 1047   371 20826 8989
20230626_CVD_2808_60s_20x20ptsdet_1_10_16 328258 7498  244 1075   400 20405 8870
20230626_CVD_2808_60s_20x20ptsdet_1_10_17 328681 7334  245 1057   384 20645 8915
20230626_CVD_2808_60s_20x20ptsdet_1_10_18 326949 7276  226  987   328 20778 9043
20230626_CVD_2808_60s_20x20ptsdet_1_10_19 327832 7238  245 1057   308 20984 8575
20230626_CVD_2808_60s_20x20ptsdet_1_10_2  327998 7355  282 1040   413 20485 8718
20230626_CVD_2808_60s_20x20ptsdet_1_10_3  328143 7353  231  984   319 20679 8983
20230626_CVD_2808_60s_20x20ptsdet_1_10_4  327228 7265  256 1148   414 20824 8740
