Net counts

Spectrum                                      Si     P    Ar   Ni      Zn     Ga   Rh
-------------------------------------------------------------------------------------
20230627_CVD_2546_60s_20x20ptsdet_1_0_0   238140 29745   112  825       0 110612 7366
20230627_CVD_2546_60s_20x20ptsdet_1_0_1   238180 29593    49  786       0 110997 8057
20230627_CVD_2546_60s_20x20ptsdet_1_0_10  238822 30003    67  882       0 110841 7466
20230627_CVD_2546_60s_20x20ptsdet_1_0_11  237863 30203   121  925       0 110014 7519
20230627_CVD_2546_60s_20x20ptsdet_1_0_12  237810 30364   114  734       0 110426 7570
20230627_CVD_2546_60s_20x20ptsdet_1_0_13  238961 29990    13  852       0 110469 7347
20230627_CVD_2546_60s_20x20ptsdet_1_0_14  238089 29921   113  897       0 110367 7996
20230627_CVD_2546_60s_20x20ptsdet_1_0_15  238072 30003    45  779       0 112079 7407
20230627_CVD_2546_60s_20x20ptsdet_1_0_16  237738 30317    40  984       0 111148 7574
20230627_CVD_2546_60s_20x20ptsdet_1_0_17  237698 29987    48  815       0 111199 7678
20230627_CVD_2546_60s_20x20ptsdet_1_0_18  238038 29976   105  811       0 110365 6976
20230627_CVD_2546_60s_20x20ptsdet_1_0_19  237210 30302    32  773       0 110926 7542
20230627_CVD_2546_60s_20x20ptsdet_1_0_2   237493 30207    96  834       0 111009 7698
20230627_CVD_2546_60s_20x20ptsdet_1_0_3   237777 29955    63  826       0 110373 7391
20230627_CVD_2546_60s_20x20ptsdet_1_0_4   237680 30300    91  924       0 110466 8115
20230627_CVD_2546_60s_20x20ptsdet_1_0_5   237356 29710    36  748       0 110544 7504
20230627_CVD_2546_60s_20x20ptsdet_1_0_6   232039 29652    70  809       0 108481 7700
20230627_CVD_2546_60s_20x20ptsdet_1_0_7   238326 30094    48  818       0 111471 7768
20230627_CVD_2546_60s_20x20ptsdet_1_0_8   239084 29710    79  904       0 111374 7741
20230627_CVD_2546_60s_20x20ptsdet_1_0_9   237753 30265   108  777       0 110828 7740
20230627_CVD_2546_60s_20x20ptsdet_1_10_0  236456 29661    94  895       0 110067 7462
20230627_CVD_2546_60s_20x20ptsdet_1_10_1  235558 29454    36  854       0 109902 7773
20230627_CVD_2546_60s_20x20ptsdet_1_10_10 236416 29549   155  787       0 110342 7338
20230627_CVD_2546_60s_20x20ptsdet_1_10_11 235872 29635    70  759       0 109377 7128
20230627_CVD_2546_60s_20x20ptsdet_1_10_12 235898 29938    89  894       0 110393 7236
20230627_CVD_2546_60s_20x20ptsdet_1_10_13 235455 30009   102  938       0 110088 7848
20230627_CVD_2546_60s_20x20ptsdet_1_10_14 235907 29744    30  872       0 109713 7605
20230627_CVD_2546_60s_20x20ptsdet_1_10_15 235857 29637    52  786       0 110130 7801
20230627_CVD_2546_60s_20x20ptsdet_1_10_16 235707 29490    66  698       0 110370 7785
20230627_CVD_2546_60s_20x20ptsdet_1_10_17 235082 29672    58  831       0 110051 7704
20230627_CVD_2546_60s_20x20ptsdet_1_10_18 236644 29724    76  740       0 110383 7240
20230627_CVD_2546_60s_20x20ptsdet_1_10_19 235625 29808    83  777       0 110844 7407
20230627_CVD_2546_60s_20x20ptsdet_1_10_2  236389 29677    53  918       0 111332 7708
20230627_CVD_2546_60s_20x20ptsdet_1_10_3  237368 29556    57  926       7 110084 7201
20230627_CVD_2546_60s_20x20ptsdet_1_10_4  234834 29359    21  872       0 109348 7511
20230627_CVD_2546_60s_20x20ptsdet_1_10_5  235825 29590   149  844       0 110807 7761
20230627_CVD_2546_60s_20x20ptsdet_1_10_6  235240 29382    82  803       0 109404 7420
20230627_CVD_2546_60s_20x20ptsdet_1_10_7  235755 29108   140  853       0 109552 7939
20230627_CVD_2546_60s_20x20ptsdet_1_10_8  237214 29591    74  854       0 109898 7604
20230627_CVD_2546_60s_20x20ptsdet_1_10_9  236547 29785    91  825       0 110636 7741
20230627_CVD_2546_60s_20x20ptsdet_1_11_0  235748 29853    78  821       0 109999 7531
20230627_CVD_2546_60s_20x20ptsdet_1_11_1  236389 29569   113  854       0 110005 7634
20230627_CVD_2546_60s_20x20ptsdet_1_11_10 237337 29658   147  870       0 110919 7672
20230627_CVD_2546_60s_20x20ptsdet_1_11_11 236984 29507   142  801       0 111302 7170
20230627_CVD_2546_60s_20x20ptsdet_1_11_12 237680 29386    55  865       0 111255 7942
20230627_CVD_2546_60s_20x20ptsdet_1_11_13 238110 29861    60  830       0 110427 7852
20230627_CVD_2546_60s_20x20ptsdet_1_11_14 236026 30188    67  896       0 110733 7459
20230627_CVD_2546_60s_20x20ptsdet_1_11_15 235719 29891    36  837       0 111211 7307
20230627_CVD_2546_60s_20x20ptsdet_1_11_16 237461 29545    26  883       0 110373 7504
20230627_CVD_2546_60s_20x20ptsdet_1_11_17 236447 29753    96  737       0 110694 7790
20230627_CVD_2546_60s_20x20ptsdet_1_11_18 236171 29549    82  770       0 110740 7416
20230627_CVD_2546_60s_20x20ptsdet_1_11_19 237355 29875    43  763       0 110694 7134
20230627_CVD_2546_60s_20x20ptsdet_1_11_2  236912 29525     9  914       0 110341 7427
20230627_CVD_2546_60s_20x20ptsdet_1_11_3  237285 29562    80  946       0 111156 7754
20230627_CVD_2546_60s_20x20ptsdet_1_11_4  236557 29451    90  754       0 110006 7358
20230627_CVD_2546_60s_20x20ptsdet_1_11_5  236247 29868    74  804       0 110501 7688
20230627_CVD_2546_60s_20x20ptsdet_1_11_6  236670 29566   121  799       0 110342 7560
20230627_CVD_2546_60s_20x20ptsdet_1_11_7  236989 29742   101  898       0 109818 7595
