Net counts

Spectrum                                      Si     P    Ar    Ni     Zn     Ga    Rh
--------------------------------------------------------------------------------------
20230628_CVD_2546_60s_20x20ptsdet_1_0_0   236891 29820    73   188      1 113321  9446
20230628_CVD_2546_60s_20x20ptsdet_1_0_1   236399 30070    81   220      0 114453  9829
20230628_CVD_2546_60s_20x20ptsdet_1_0_10  237334 30127    52   298      0 113710  9447
20230628_CVD_2546_60s_20x20ptsdet_1_0_11  236849 29769   118   172      0 113249  9169
20230628_CVD_2546_60s_20x20ptsdet_1_0_12  235687 30054   141   187      0 113096  9372
20230628_CVD_2546_60s_20x20ptsdet_1_0_13  237257 29683    67   250      0 112972  9211
20230628_CVD_2546_60s_20x20ptsdet_1_0_14  236917 29591    53   146      0 113410  9407
20230628_CVD_2546_60s_20x20ptsdet_1_0_15  237557 29699    10   194     27 113299  9336
20230628_CVD_2546_60s_20x20ptsdet_1_0_16  237742 30005    95   127      0 112437  9222
20230628_CVD_2546_60s_20x20ptsdet_1_0_17  236765 29835    78   208      0 113340  9537
20230628_CVD_2546_60s_20x20ptsdet_1_0_18  236655 29685    36   233      0 113244  9027
20230628_CVD_2546_60s_20x20ptsdet_1_0_19  238473 29688    52   133      0 113375  9066
20230628_CVD_2546_60s_20x20ptsdet_1_0_2   236222 29558    68   117      0 113542  9293
20230628_CVD_2546_60s_20x20ptsdet_1_0_3   238171 30066    66   150      0 113717  9167
20230628_CVD_2546_60s_20x20ptsdet_1_0_4   237131 29745    30   137      0 113254  9123
20230628_CVD_2546_60s_20x20ptsdet_1_0_5   236898 30057    54   218      0 113558  9519
20230628_CVD_2546_60s_20x20ptsdet_1_0_6   237423 30095    80   117      0 113244  9499
20230628_CVD_2546_60s_20x20ptsdet_1_0_7   236439 29951    27   138      0 113666  9314
20230628_CVD_2546_60s_20x20ptsdet_1_0_8   236028 29801    68   202      0 113339  9315
20230628_CVD_2546_60s_20x20ptsdet_1_0_9   235547 29770    49   161      0 113525  9173
20230628_CVD_2546_60s_20x20ptsdet_1_10_0  233961 29327    31   111      0 112248  9070
