ROI backgr, sum

Spectrum                                       Si       P     Ar      Ni       Zn       Ga       Rh
---------------------------------------------------------------------------------------------------
20230628_CVD_2546_60s_20x20ptsdet_1_0_0      -265    -230    -91    -907    -1680    -2223    -4891
20230628_CVD_2546_60s_20x20ptsdet_1_0_1      -264    -223    -75    -836    -1732    -2296    -4910
20230628_CVD_2546_60s_20x20ptsdet_1_0_10     -259    -195    -61    -985    -1692    -2239    -4869
20230628_CVD_2546_60s_20x20ptsdet_1_0_11     -242    -189    -77    -916    -1657    -2190    -4915
20230628_CVD_2546_60s_20x20ptsdet_1_0_12     -231    -192    -74    -924    -1710    -2241    -4867
20230628_CVD_2546_60s_20x20ptsdet_1_0_13     -269    -224    -73    -929    -1748    -2264    -4918
20230628_CVD_2546_60s_20x20ptsdet_1_0_14     -259    -218    -71    -960    -1802    -2315    -4863
20230628_CVD_2546_60s_20x20ptsdet_1_0_15     -262    -217    -49    -897    -1683    -2200    -4919
20230628_CVD_2546_60s_20x20ptsdet_1_0_16     -275    -240    -96    -849    -1716    -2269    -4871
20230628_CVD_2546_60s_20x20ptsdet_1_0_17     -261    -220    -96    -907    -1635    -2174    -4871
20230628_CVD_2546_60s_20x20ptsdet_1_0_18     -269    -230   -101    -923    -1605    -2163    -4964
20230628_CVD_2546_60s_20x20ptsdet_1_0_19     -268    -217    -93    -994    -1740    -2264    -4865
20230628_CVD_2546_60s_20x20ptsdet_1_0_2      -249    -212    -82    -974    -1756    -2274    -4773
20230628_CVD_2546_60s_20x20ptsdet_1_0_3      -276    -231    -77    -945    -1693    -2236    -4955
20230628_CVD_2546_60s_20x20ptsdet_1_0_4      -248    -209    -81    -871    -1702    -2264    -4887
20230628_CVD_2546_60s_20x20ptsdet_1_0_5      -267    -216    -57    -926    -1755    -2244    -4846
20230628_CVD_2546_60s_20x20ptsdet_1_0_6      -261    -211    -63    -858    -1716    -2253    -4907
20230628_CVD_2546_60s_20x20ptsdet_1_0_7      -257    -211    -84    -919    -1663    -2216    -4778
20230628_CVD_2546_60s_20x20ptsdet_1_0_8      -263    -216    -71    -915    -1706    -2235    -4806
20230628_CVD_2546_60s_20x20ptsdet_1_0_9      -250    -195    -68    -864    -1674    -2245    -4985
20230628_CVD_2546_60s_20x20ptsdet_1_10_0     -264    -218    -84    -894    -1538    -2147    -4770
20230628_CVD_2546_60s_20x20ptsdet_1_10_1     -244    -187    -74    -957    -1707    -2216    -4868
20230628_CVD_2546_60s_20x20ptsdet_1_10_10    -272    -229    -88    -836    -1663    -2207    -4844
20230628_CVD_2546_60s_20x20ptsdet_1_10_11    -262    -215    -68    -903    -1571    -2111    -4851
20230628_CVD_2546_60s_20x20ptsdet_1_10_12    -240    -189    -73    -917    -1631    -2184    -4856
20230628_CVD_2546_60s_20x20ptsdet_1_10_13    -254    -212    -62    -906    -1628    -2188    -4822
20230628_CVD_2546_60s_20x20ptsdet_1_10_14    -231    -180    -73    -924    -1683    -2198    -4842
20230628_CVD_2546_60s_20x20ptsdet_1_10_15    -236    -198    -73    -936    -1658    -2199    -4817
20230628_CVD_2546_60s_20x20ptsdet_1_10_16    -258    -213    -94    -953    -1619    -2186    -4827
20230628_CVD_2546_60s_20x20ptsdet_1_10_17    -273    -230    -97    -920    -1740    -2277    -4681
20230628_CVD_2546_60s_20x20ptsdet_1_10_18    -255    -217    -87    -996    -1740    -2241    -4894
20230628_CVD_2546_60s_20x20ptsdet_1_10_19    -272    -233    -97    -974    -1655    -2210    -4899
20230628_CVD_2546_60s_20x20ptsdet_1_10_2     -254    -214    -71    -918    -1715    -2235    -4763
20230628_CVD_2546_60s_20x20ptsdet_1_10_3     -245    -205   -102    -900    -1735    -2254    -4847
