ROI net sum

Spectrum                                      Si     P   Ar    Ni    Zn    Ga   Rh
----------------------------------------------------------------------------------
20230628_CVD_2546_60s_20x20ptsdet_1_0_0   215121 27288  224   630   495 92795 9255
20230628_CVD_2546_60s_20x20ptsdet_1_0_1   214948 27471  255   738   471 93483 9486
20230628_CVD_2546_60s_20x20ptsdet_1_0_10  215428 27468  229   668   533 93224 9453
20230628_CVD_2546_60s_20x20ptsdet_1_0_11  215404 27220  246   603   562 93000 9144
20230628_CVD_2546_60s_20x20ptsdet_1_0_12  214165 27382  223   592   548 92974 9235
20230628_CVD_2546_60s_20x20ptsdet_1_0_13  215884 27169  235   660   462 92617 9164
20230628_CVD_2546_60s_20x20ptsdet_1_0_14  215030 27090  252   570   403 92828 9309
20230628_CVD_2546_60s_20x20ptsdet_1_0_15  216022 27156  228   656   677 92907 9386
20230628_CVD_2546_60s_20x20ptsdet_1_0_16  215695 27376  199   661   552 91885 9420
20230628_CVD_2546_60s_20x20ptsdet_1_0_17  215002 27206  233   656   553 92380 9414
20230628_CVD_2546_60s_20x20ptsdet_1_0_18  214460 27202  218   650   590 92667 9174
20230628_CVD_2546_60s_20x20ptsdet_1_0_19  216386 27091  194   554   491 92728 9200
20230628_CVD_2546_60s_20x20ptsdet_1_0_2   214897 26973  218   563   396 93223 9320
20230628_CVD_2546_60s_20x20ptsdet_1_0_3   216218 27487  263   568   513 92897 9157
20230628_CVD_2546_60s_20x20ptsdet_1_0_4   215327 27236  253   667   530 92629 9216
20230628_CVD_2546_60s_20x20ptsdet_1_0_5   215344 27447  266   652   524 92684 9253
20230628_CVD_2546_60s_20x20ptsdet_1_0_6   215228 27478  266   610   459 92702 9347
20230628_CVD_2546_60s_20x20ptsdet_1_0_7   214774 27446  236   570   498 93020 9287
20230628_CVD_2546_60s_20x20ptsdet_1_0_8   214597 27313  258   586   432 92748 9252
20230628_CVD_2546_60s_20x20ptsdet_1_0_9   214024 27257  204   645   576 92622 9190
20230628_CVD_2546_60s_20x20ptsdet_1_10_0  212552 26904  201   587   684 92054 9278
20230628_CVD_2546_60s_20x20ptsdet_1_10_1  212693 26799  259   575   513 92573 9177
20230628_CVD_2546_60s_20x20ptsdet_1_10_10 212408 26921  226   724   429 91853 9299
20230628_CVD_2546_60s_20x20ptsdet_1_10_11 212516 26871  248   630   631 92311 9396
20230628_CVD_2546_60s_20x20ptsdet_1_10_12 212126 26751  232   622   589 91158 9206
20230628_CVD_2546_60s_20x20ptsdet_1_10_13 211882 26885  230   649   590 91506 9048
20230628_CVD_2546_60s_20x20ptsdet_1_10_14 212735 26974  255   667   535 92203 9375
20230628_CVD_2546_60s_20x20ptsdet_1_10_15 212242 26749  230   658   501 91869 9273
20230628_CVD_2546_60s_20x20ptsdet_1_10_16 212163 26822  230   623   599 92045 9142
20230628_CVD_2546_60s_20x20ptsdet_1_10_17 212947 26902  225   580   504 92140 9381
20230628_CVD_2546_60s_20x20ptsdet_1_10_18 213669 26603  218   542   511 92286 9237
20230628_CVD_2546_60s_20x20ptsdet_1_10_19 213871 26656  225   559   503 92119 9186
20230628_CVD_2546_60s_20x20ptsdet_1_10_2  212302 27123  234   581   462 92309 9271
20230628_CVD_2546_60s_20x20ptsdet_1_10_3  213212 26990  206   606   453 91898 9322
20230628_CVD_2546_60s_20x20ptsdet_1_10_4  212998 26851  209   693   548 92004 9318
20230628_CVD_2546_60s_20x20ptsdet_1_10_5  212346 26921  238   716   478 92051 9163
20230628_CVD_2546_60s_20x20ptsdet_1_10_6  213049 26637  225   581   556 91895 9174
20230628_CVD_2546_60s_20x20ptsdet_1_10_7  212387 26656  208   587   603 91377 9283
20230628_CVD_2546_60s_20x20ptsdet_1_10_8  212501 26498  255   642   476 92659 9322
20230628_CVD_2546_60s_20x20ptsdet_1_10_9  213211 26959  245   617   595 92059 9313
20230628_CVD_2546_60s_20x20ptsdet_1_11_0  213267 26893  221   627   516 92422 9182
20230628_CVD_2546_60s_20x20ptsdet_1_11_1  214448 27066  248   584   398 91872 9217
20230628_CVD_2546_60s_20x20ptsdet_1_11_10 214309 27056  230   564   490 92887 9232
20230628_CVD_2546_60s_20x20ptsdet_1_11_11 214043 27005  210   654   602 92737 9396
20230628_CVD_2546_60s_20x20ptsdet_1_11_12 213753 27078  217   556   382 92197 9543
20230628_CVD_2546_60s_20x20ptsdet_1_11_13 213608 26877  218   562   652 92550 9151
20230628_CVD_2546_60s_20x20ptsdet_1_11_14 213146 26683  211   613   511 91935 9258
20230628_CVD_2546_60s_20x20ptsdet_1_11_15 214273 27260  227   702   511 92640 9314
20230628_CVD_2546_60s_20x20ptsdet_1_11_16 214180 26955  231   632   432 92298 9250
20230628_CVD_2546_60s_20x20ptsdet_1_11_17 214291 27071  209   658   537 92660 8975
20230628_CVD_2546_60s_20x20ptsdet_1_11_18 214109 26989  196   700   485 92411 9126
20230628_CVD_2546_60s_20x20ptsdet_1_11_19 214061 26679  222   513   596 92732 9452
20230628_CVD_2546_60s_20x20ptsdet_1_11_2  213147 26841  218   707   501 92503 9212
20230628_CVD_2546_60s_20x20ptsdet_1_11_3  214067 27350  261   625   462 91956 9328
20230628_CVD_2546_60s_20x20ptsdet_1_11_4  213030 27124  248   607   600 92897 9277
20230628_CVD_2546_60s_20x20ptsdet_1_11_5  213343 27047  256   557   542 92523 9150
20230628_CVD_2546_60s_20x20ptsdet_1_11_6  214122 27040  257   644   530 92619 9197
20230628_CVD_2546_60s_20x20ptsdet_1_11_7  213994 27198  250   667   631 92956 9433
20230628_CVD_2546_60s_20x20ptsdet_1_11_8  213740 27023  232   644   511 92811 9297
20230628_CVD_2546_60s_20x20ptsdet_1_11_9  214331 27190  250   577   490 92888 9327
20230628_CVD_2546_60s_20x20ptsdet_1_12_0  212933 27065  238   611   494 92906 9347
20230628_CVD_2546_60s_20x20ptsdet_1_12_1  212846 27215  240   527   565 92667 9018
20230628_CVD_2546_60s_20x20ptsdet_1_12_10 214217 26938  232   588   472 92781 8983
20230628_CVD_2546_60s_20x20ptsdet_1_12_11 215033 27291  223   674   446 93167 9480
20230628_CVD_2546_60s_20x20ptsdet_1_12_12 213078 27210  210   652   627 92675 9329
20230628_CVD_2546_60s_20x20ptsdet_1_12_13 214431 27014  236   625   537 92671 9065
20230628_CVD_2546_60s_20x20ptsdet_1_12_14 214412 27012  227   605   468 92627 9207
20230628_CVD_2546_60s_20x20ptsdet_1_12_15 212836 27002  238   639   541 92233 9211
20230628_CVD_2546_60s_20x20ptsdet_1_12_16 213538 26821  238   621   560 92597 9100
20230628_CVD_2546_60s_20x20ptsdet_1_12_17 213297 27242  233   527   477 92310 9412
20230628_CVD_2546_60s_20x20ptsdet_1_12_18 212782 26971  234   554   579 92429 9336
20230628_CVD_2546_60s_20x20ptsdet_1_12_19 213819 27008  252   653   491 92420 9234
20230628_CVD_2546_60s_20x20ptsdet_1_12_2  212619 26968  240   695   576 91998 9215
20230628_CVD_2546_60s_20x20ptsdet_1_12_3  212453 27266  208   596   538 92847 9263
20230628_CVD_2546_60s_20x20ptsdet_1_12_4  213034 27191  226   684   584 92423 9045
20230628_CVD_2546_60s_20x20ptsdet_1_12_5  213587 27109  254   597   436 92206 9173
20230628_CVD_2546_60s_20x20ptsdet_1_12_6  213668 27275  248   651   466 92374 9340
20230628_CVD_2546_60s_20x20ptsdet_1_12_7  213127 26997  270   533   508 92297 9531
20230628_CVD_2546_60s_20x20ptsdet_1_12_8  213714 26907  248   513   490 92367 9100
20230628_CVD_2546_60s_20x20ptsdet_1_12_9  214225 27164  234   535   484 92225 9465
20230628_CVD_2546_60s_20x20ptsdet_1_13_0  213868 27290  235   700   464 92965 9149
20230628_CVD_2546_60s_20x20ptsdet_1_13_1  213617 26972  258   590   509 92936 9284
20230628_CVD_2546_60s_20x20ptsdet_1_13_10 213420 26957  196   616   522 92592 9197
20230628_CVD_2546_60s_20x20ptsdet_1_13_11 214379 27035  229   654   526 92810 9303
20230628_CVD_2546_60s_20x20ptsdet_1_13_12 213932 27020  256   489   589 93129 9226
20230628_CVD_2546_60s_20x20ptsdet_1_13_13 214687 27235  221   601   525 92444 9439
20230628_CVD_2546_60s_20x20ptsdet_1_13_14 214788 26988  206   668   557 93288 9402
20230628_CVD_2546_60s_20x20ptsdet_1_13_15 213676 27135  270   694   532 92410 9233
20230628_CVD_2546_60s_20x20ptsdet_1_13_16 214277 26837  238   589   451 92638 9532
20230628_CVD_2546_60s_20x20ptsdet_1_13_17 214764 27099  225   626   611 92795 9077
20230628_CVD_2546_60s_20x20ptsdet_1_13_18 214347 27098  168   689   497 92795 9258
20230628_CVD_2546_60s_20x20ptsdet_1_13_19 214276 26932  190   564   536 92899 9163
20230628_CVD_2546_60s_20x20ptsdet_1_13_2  214124 27182  217   641   433 92073 8828
20230628_CVD_2546_60s_20x20ptsdet_1_13_3  213495 26892  278   593   453 92357 9273
20230628_CVD_2546_60s_20x20ptsdet_1_13_4  214498 26982  223   608   529 92552 9452
20230628_CVD_2546_60s_20x20ptsdet_1_13_5  213451 27039  226   641   502 92395 9369
20230628_CVD_2546_60s_20x20ptsdet_1_13_6  213739 26964  246   641   506 92425 9111
20230628_CVD_2546_60s_20x20ptsdet_1_13_7  214128 26982  233   653   648 92151 9291
20230628_CVD_2546_60s_20x20ptsdet_1_13_8  213393 26828  213   673   464 92542 9082
20230628_CVD_2546_60s_20x20ptsdet_1_13_9  213906 26935  251   607   435 92787 9192
20230628_CVD_2546_60s_20x20ptsdet_1_14_0  213627 26934  219   548   559 91845 9134
20230628_CVD_2546_60s_20x20ptsdet_1_14_1  213725 26850  251   630   496 92089 9342
20230628_CVD_2546_60s_20x20ptsdet_1_14_10 214078 27029  249   616   389 92518 9151
20230628_CVD_2546_60s_20x20ptsdet_1_14_11 213228 26998  267   555   631 92393 9315
20230628_CVD_2546_60s_20x20ptsdet_1_14_12 213687 26989  219   629   437 92957 9177
20230628_CVD_2546_60s_20x20ptsdet_1_14_13 213586 26994  222   659   553 92548 9384
20230628_CVD_2546_60s_20x20ptsdet_1_14_14 212825 27138  251   593   634 92583 9366
20230628_CVD_2546_60s_20x20ptsdet_1_14_15 214015 27159  241   553   459 92530 9194
20230628_CVD_2546_60s_20x20ptsdet_1_14_16 213718 26690  235   622   393 92330 9084
