"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;361754;15023;4727.27;275.261;1091.93;333.354;14276.4;1941.44;3.4394;287.777;395.045;103.079;189.73;327.152;701.047;266.565;73.6735;26.3014;46.359;41.7287;130.464;74.874;35.1997;73.5979;72.8291;23.6104;22.6262;23.7194;2.17564
1;0;362338;15167.2;4687.59;261.527;1043.56;337.188;14196.5;1969.43;2.70024;223.257;511.201;78.7048;221.858;410.147;684.265;268.094;73.3236;25.5362;45.6015;42.0715;130.552;73.612;37.008;73.8807;73.1214;22.084;22.0768;24.863;2.21736
2;0;363768;14437.9;4832.85;285.986;962.435;311.415;14302.4;2032.26;13.5372;223.244;357.147;100.698;144.008;323.229;681.614;265.018;74.483;26.5929;45.2216;41.6119;131.101;74.5294;37.334;71.4326;70.1909;22.2625;20.38;23.4299;2.19724
3;0;363567;15252;4785.6;330.878;1038.75;377.248;14315.6;1870.96;84.7578;176.024;525.881;100.579;198.253;430.387;682.1;270.144;74.2029;27.0857;45.4971;42.6084;133.424;73.6989;36.6938;74.1798;73.2349;23.0592;22.3771;25.7509;2.40308
4;0;363807;14964.1;4656.11;285.004;1038.37;338.048;14306.3;2016;2.51185;208.528;447.461;87.5055;183.442;326.253;671.224;263.964;73.2327;26.487;45.9481;42.7629;131.112;74.6897;34.2245;72.7132;71.943;22.4761;22.045;23.9972;2.23471
5;0;364419;15104;4614;301.565;971.209;339.274;14191.4;2026.84;0.56446;278.203;363.551;82.6432;175.805;338.2;685.013;268.165;72.7627;26.4198;44.9605;42.3494;130.288;73.8881;36.4221;74.3943;72.4761;23.5487;22.5504;24.3279;2.22503
6;0;363947;14907.1;4775.46;322.566;973.574;339.02;13998.4;1874.76;2.55494;264.319;318.251;49.6238;198.503;305.408;681.41;264.852;73.9337;26.6035;45.1203;41.9161;130.076;73.2232;36.1593;73.3413;70.3809;21.3641;21.8744;23.1258;2.14501
7;0;364100;15234.9;4766.76;286.405;977.707;340.888;14607.3;2081.16;13.8655;226.625;381.579;125.857;141.448;345.912;687.218;267.971;73.7076;26.0611;45.4797;42.7172;132.171;74.4708;37.0865;70.9881;69.4239;23.1065;21.1791;23.9982;2.10701
8;0;363090;14857.7;4642.59;318.439;1023.26;320.782;14273.7;2115;2.01932;266.143;425.11;158.296;177.25;341.327;685.07;265.069;73.0876;27.0426;45.6484;42.2929;130.651;74.616;37.0779;72.8863;71.5402;24.7958;22.3722;23.9105;2.15564
9;0;363284;15696.3;4716.99;367.875;1009.98;326.396;14519;1988.66;10.4526;280.351;320.202;83.6213;132.746;367.189;692.275;268.252;73.5166;27.7359;45.7318;42.1555;131.688;74.7679;35.5615;70.3571;68.7593;23.2699;20.9939;24.3813;2.16602
10;0;361577;15168.1;4744.29;279.302;1092.99;378.726;14585.3;1999.19;4.33911;144.675;370.692;33.1069;172.287;316.649;674.013;268.078;74.13;26.3317;46.6543;42.0442;131.504;75.0253;38.6513;73.9911;72.5953;22.1979;22.1443;24.2127;2.21553
11;0;360434;15587;4678.57;276.026;928.207;304.533;14352.5;2146.07;7.66415;285.582;410.15;61.6753;214.92;350.932;699.099;268.725;73.4618;26.5028;45.3808;43.0981;130.894;75.1378;36.1486;73.5192;72.3864;22.0987;22.6753;24.2749;2.07123
12;0;360647;14871.9;4743.24;344.18;983.92;205.628;13998;2094.7;5.81593;230.178;464.804;72.0829;203.602;351.632;673.927;264.522;73.9251;27.5759;45.4638;41.0141;131.055;74.8324;34.3059;73.5865;73.4577;22.1314;22.5065;23.8797;1.94849
13;0;360133;15633.4;4595.71;335.546;1100.12;396.02;14326;2188.51;3.54884;205.571;414.54;136.191;200.188;345.178;675.381;269.446;73.0096;27.4745;47.1488;43.1935;131.053;75.4233;38.1184;73.7951;72.8643;23.5992;22.8074;24.2511;2.08371
14;0;360372;14803.1;4600.43;350.12;1017.16;320.284;14341.1;1933.24;0.995721;199.603;373.734;60.2996;130.53;373.247;679.408;265.918;72.8241;27.6678;45.8704;42.1793;130.902;74.6967;37.3338;72.8634;71.5901;22.2889;21.0366;24.9651;2.00542
15;0;359364;14834.3;4558.94;340.716;992.386;314.615;14152.7;1945.88;4.62892;181.801;372.679;134.116;171.195;334.475;666.825;264.619;72.5683;27.4972;45.2171;40.9702;129.795;74.0908;33.8742;71.0533;70.103;23.7017;22.777;24.2543;2.2379
16;0;359414;15080;4710.26;296.525;939.813;379.936;14252.6;2031.22;62.5264;316.272;276.273;129.378;148.011;375.296;681.696;266.682;73.6241;26.7473;44.9333;43.08;130.524;74.4636;37.4926;74.144;71.1311;24.3291;22.3289;24.807;2.21302
17;0;359636;15354.3;4572.19;349.62;1109.59;404.164;14272.5;1947.12;4.07627;390.981;231.655;43.8373;263.86;322.648;694.289;266.937;72.7025;27.4244;46.7017;43.2248;130.214;74.0916;36.2889;73.2569;70.8374;21.5213;23.3255;23.6482;2.2147
18;0;359723;14758.4;4618.25;327.962;996.257;459.276;14192.6;2066.62;26.7743;264.878;354.129;107.554;167.978;364.579;673.97;266.581;73.2663;27.4515;45.7204;43.2911;130.126;73.9688;38.1993;75.0326;73.0127;24.8294;22.795;25.0039;2.22738
19;0;360653;14942.4;4703.57;296.52;1000.46;331.787;14044.8;1951.7;1.69371;251.53;349.499;97.1348;194.541;377.821;689.026;267.82;73.7032;26.8719;45.3012;42.4767;130.113;74.4;37.7712;73.0732;71.8485;23.1273;22.165;24.2875;2.01066
20;0;360690;15409.8;4710.97;330.51;1036.54;310.08;14011.4;1890.35;4.55659;134.418;470.162;97.4052;200.762;326.906;689.306;267.938;73.637;27.6584;46.0355;42.0442;129.603;73.9658;37.9445;73.563;73.7147;23.0538;23.4383;24.3718;2.24637
21;0;362360;15105;4601.21;302.156;959.932;373.184;14073.3;1976.31;5.63165;294.664;343.125;73.0771;184.026;379.601;687.622;266.713;73.0522;27.4188;45.1998;42.8254;129.794;73.7252;38.0974;76.186;73.825;22.4037;22.6968;24.9436;1.96984
22;0;362318;14942.5;4604.86;283.912;1110.09;261.265;14359.3;2164.54;94.8291;126.872;470.576;68.0421;148.826;377.022;652.797;264.811;73.0204;26.4195;47.1835;41.7519;135.637;75.4439;31.1604;73.0091;73.448;21.7252;21.084;24.4903;2.19863
23;0;362035;15072.1;4694.55;340.892;969.765;248.859;14047.2;2037.91;6.39786;116.112;529.582;119.036;192.277;390.074;676.012;266.167;73.4697;27.2803;45.534;41.7468;130.185;73.8058;32.1306;72.8139;73.0082;24.3141;23.0729;25.2714;1.9176
24;0;362731;14610.6;4730.74;309.645;1008.95;505.829;14439.5;2092.93;25.6019;313.098;358.147;113.872;195.505;342.567;695.881;265.497;73.7528;26.9028;45.3025;43.4304;130.705;73.621;37.2005;73.9025;72.1719;23.8692;22.7693;24.1013;2.25248
25;0;361053;14716.5;4733.73;365.914;987.317;315.691;14296.1;1915.6;8.72923;172.421;386.88;122.95;146.004;332.76;687.997;266.665;73.9547;27.9967;45.151;41.6602;131.137;73.5814;38.1069;73.1372;73.093;23.5754;21.7017;24.307;2.21167
26;0;361533;15014.3;4580.85;332.136;1022.88;323.495;14139.8;2204.51;72.2219;224.967;382.532;93.6842;175.839;381.42;683.723;267.079;73.0785;27.6927;46.0839;42.7775;130.622;75.2675;37.8355;74.6085;73.5657;24.054;22.3972;25.1689;2.08595
27;0;361900;14571;4583.11;280.159;1016.44;385.585;14301.6;2050.54;14.1532;269.719;385.26;2.35842;211.196;391.164;689.782;263.807;73.093;26.5921;45.8817;43.2396;129.672;74.3885;37.9322;74.2815;72.3581;20.7387;22.7223;25.5769;2.01495
28;0;362211;15137.7;4660.66;316.975;1057.08;350.05;14290.1;2089.69;17.213;280.446;353.611;84.5619;184.246;353.693;681.002;269.314;73.34;26.9506;46.2761;42.7643;130.507;75.3673;38.3746;75.7182;74.3661;23.3705;22.3877;24.4275;2.22861
29;0;361178;15286.9;4617.03;309.053;974.52;281.839;13928.4;1894.55;12.4769;194.451;430.072;61.9071;173.291;427.498;689.468;270.686;73.0454;26.9994;45.1046;41.5135;129.678;74.1269;38.5739;73.5177;72.0858;21.6084;21.2736;25.0614;2.14195
30;0;360709;15132.6;4624.48;348.12;1042.19;337.688;14236.3;2158.58;2.10988;151.065;445.916;91.5025;216.681;347.904;684.168;270.261;73.438;27.9246;46.0664;42.0607;130.487;75.3825;38.0185;74.4749;73.9396;24.4649;23.4655;24.4073;2.39725
31;0;362441;15087.9;4681.38;331.704;1007.41;341.876;14152.8;1989.92;22.3431;271.114;385.39;101.815;198.63;311.362;689.281;267.744;73.4981;27.3752;45.8067;42.6903;131.782;74.9503;37.1103;74.6009;73.4149;22.9123;22.5142;23.5132;2.3108
32;0;363047;14997.1;4633.55;367.343;1056.74;250.154;14223.4;1876.65;0.725798;311.329;328.017;23.7574;201.036;312.606;676.553;267.529;73.2765;28.352;46.4969;41.8212;130.863;73.8782;38.2928;76.7501;73.3894;21.8502;22.6217;23.9229;2.09079
