"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;362088;15003.9;4756.17;286.316;1194.39;391.674;14325.9;1901.4;6.83606;274.215;417.465;93.563;183.175;316.742;690.627;267.956;73.8034;26.3568;46.5641;41.9106;130.716;75.1447;36.6183;74.0061;72.8673;23.6891;22.6978;23.7801;2.43224
1;0;362578;15245.3;4724.09;282.264;1093.47;381.692;14172.6;1935.63;44.8747;231.601;512.784;75.7109;211.342;399.784;660.989;267.577;73.3159;25.553;45.62;42.0805;130.468;75.2221;30.9998;72.9602;73.1689;22.0908;22.0813;24.8678;2.31416
2;0;364025;14479.1;4862.94;296.464;1064.81;381.779;14290.2;2005.4;16.0522;224.188;376.147;97.5212;137.222;316.248;675.121;265.258;74.5136;26.6128;45.3082;41.6803;131.108;74.611;37.2325;71.0652;70.2754;22.2893;20.4028;23.4465;2.44275
3;0;363497;15396.6;4811.82;346.488;1146.03;450.614;14334.5;1894.42;1.63763;225.284;542.491;101.103;195.506;426.097;689.301;270.033;74.1328;27.0606;45.7993;42.8314;130.799;74.185;36.0118;73.5252;72.6731;23.1135;22.4155;25.7643;2.53854
4;0;364114;14940;4671.56;293.307;1141.55;392.987;14300;1967.32;147.525;199.806;454.874;85.775;177.77;317.568;655.335;266.335;73.25;26.4953;45.8544;42.6294;133.2;74.4644;27.8742;72.0395;72.3005;22.4409;22.0144;23.9799;2.61433
5;0;364676;15091.4;4634.67;307.634;1051.56;394.319;14225.4;1981.82;20.0096;276.329;388.32;91.8583;181.701;343.16;681.291;267.481;72.8028;26.4433;45.0582;42.4326;130.307;73.9859;36.5526;74.4903;72.5106;23.5862;22.5836;24.3546;2.40751
6;0;364210;14964.3;4812.56;340.754;1073.99;372.021;14001.2;1838.65;3.40321;259.889;329.188;47.9047;193.07;296.869;667.024;263.721;73.9622;26.6253;45.2197;42.4401;130.064;73.3193;33.8283;72.9729;70.3985;21.3924;21.9014;23.1469;2.35611
7;0;364223;15268.4;4795.39;300.005;1101.62;439.104;14624.8;2076.86;2.95832;249.362;384.778;124.446;131.384;330.136;679.572;267.448;73.7213;26.0717;45.7989;43.0208;133.043;74.9343;34.9557;70.0978;69.0093;23.2214;21.2702;24.0528;2.3832
8;0;363340;14849.1;4663.15;330.899;1145.07;439.144;14257.1;2117.89;8.37822;269.436;437.614;154.121;167.267;331.267;685.603;264.956;73.142;27.0743;45.7773;42.4024;130.71;74.732;37.4835;73.0933;71.5689;24.8391;22.4134;23.938;2.42154
9;0;363550;15656.8;4734.31;377.925;1121.29;413.512;14501;1944.7;1.08205;260.788;327.386;81.7116;127.283;359.231;677.957;268.794;73.6212;27.7849;45.8879;42.2914;131.826;74.9512;36.4121;70.7732;68.9261;23.3266;21.0461;24.4316;2.43272
10;0;361704;15182.9;4762.4;288.86;1176.63;443.045;14614.9;2024.77;23.4302;148.407;383.665;30.9575;167.928;312.754;674.72;268.341;74.1596;26.3553;46.765;42.165;131.527;75.2081;38.9361;73.9714;72.5081;22.239;22.183;24.2416;2.41871
11;0;360584;15607.8;4701.24;289.667;1039.74;426.458;14438.9;2125.52;8.51817;288.277;422.249;59.1485;204.192;341.938;696.349;268.405;73.4941;26.5347;45.62;43.3294;131.04;75.4785;36.9809;73.2837;72.0926;22.1559;22.7345;24.3138;2.36275
12;0;360834;14892.1;4768.72;356.729;1051.85;254.104;13991;1992.26;7.09458;228.36;479.65;71.2826;201.165;349.106;683.102;263.112;73.9614;27.5861;45.4668;41.0094;130.035;74.7498;38.5154;74.2538;73.5977;22.1315;22.5091;23.8846;2.11084
13;0;360359;15638.8;4618.95;345.992;1195.55;456.434;14337.3;2129.46;1.90327;200.305;421.646;139.026;200.115;342.414;670.426;269.507;73.0328;27.4862;47.1569;43.1882;131.046;75.3725;38.0863;73.9666;73.0483;23.6018;22.8095;24.2558;2.29635
14;0;360494;14852.4;4622.58;359.431;1156.04;451.692;14357.2;1879.24;15.728;229.94;367.295;59.869;126.388;368.51;680.628;265.447;72.8314;27.6806;46.0177;42.3116;130.947;74.8471;37.2046;72.6388;71.3991;22.3183;21.0688;24.9852;2.35734
15;0;359624;14820.6;4586.7;351.242;1091.44;383.709;14164;1958.73;3.603;196.715;387.507;133.8;171.521;335.474;674.571;264.96;72.6565;27.5553;45.5949;41.3615;130.206;74.1174;38.17;70.9724;69.7557;23.8358;22.9051;24.3405;2.42839
16;0;359503;15124.5;4728.93;306.531;1053.13;470.017;14254.9;1983.33;4.4286;339.086;292.371;126.521;139.623;368.46;686.765;266.946;73.6128;26.7431;44.9063;43.1055;129.566;74.3065;37.2745;73.9939;71.03;24.3432;22.3378;24.8085;2.47932
17;0;360060;15333.3;4599.29;362.052;1220.64;494.204;14323.5;1968.38;14.9928;370.05;245.659;41.9225;252.247;308.074;667.139;267.966;72.8445;27.5127;46.949;43.4588;130.606;74.4401;35.6076;73.346;70.9696;21.585;23.4137;23.724;2.53528
18;0;359938;14785.4;4640.59;341.528;1168.72;608.904;14211.9;1994.64;28.9047;254.261;381.8;106.204;163.331;358.918;668.598;266.386;73.304;27.4787;45.931;43.5058;131.19;74.2499;37.6771;74.7454;72.8291;24.8894;22.8573;25.043;2.66671
19;0;360891;14949.2;4730.29;310.842;1090.23;384.843;14052.9;1889.16;6.78468;248.815;362.815;94.5729;183.303;367.75;682.246;263.983;73.7615;26.8996;45.3925;42.6073;129.698;74.4669;38.2179;73.1322;71.7823;23.1734;22.2122;24.3243;2.21578
20;0;361244;15323.3;4739.62;340.282;1125.87;372.868;14024.1;1900.96;29.8779;98.91;495.934;96.7202;196.463;323.734;675.914;268.945;73.8201;27.7701;46.2402;42.2361;129.901;74.2523;38.7278;74.1387;74.0457;23.129;23.5256;24.4612;2.43533
21;0;362711;15151.4;4635;328.587;1074.64;444.065;14089.8;1990.29;92.2373;271.973;353.954;73.7222;183.02;381.14;679.309;267.54;73.1349;27.4662;45.4187;43.024;129.935;74.0639;38.6083;76.3756;73.7807;22.4786;22.7666;24.9991;2.28538
22;0;362208;15026.4;4626.33;300.351;1188.37;319.316;14360.4;2045.09;0.156884;177.822;490.976;68.0837;148.785;376.125;681.577;266.643;72.8808;26.3313;46.8601;41.3682;130.913;74.8703;38.1698;74.2385;73.7333;21.5973;20.9444;24.3776;2.37703
23;0;362290;15056.1;4723.19;356.246;1044.55;294.883;14036.5;2029.09;20.3967;108.507;542.374;116.046;190.183;387.335;677.799;266.892;73.5398;27.3126;45.6318;41.8314;130.287;73.9274;37.6697;73.3684;73.0927;24.3555;23.1094;25.3028;2.03643
24;0;362846;14656;4763.05;331.232;1115.86;594.045;14420.2;2072.87;11.7922;324.659;368.646;113.284;187.948;327.716;706.982;261.825;73.7218;26.9015;45.3651;43.5738;129.519;73.5826;37.323;73.4758;71.7069;23.9071;22.7994;24.1159;2.49471
25;0;361314;14735.5;4763.9;380.765;1084.35;417.079;14264.5;1867.31;13.1328;165.415;411.671;122.646;143.303;330.596;681.395;267.099;74.0031;28.0253;45.2419;41.7343;131.194;73.6623;38.4415;72.6224;73.4069;23.6028;21.7284;24.3296;2.4655
26;0;361733;15035.2;4609.82;346.431;1129.23;409.623;14104.3;2208.64;16.7884;230.167;408.297;90.8919;169.274;374.511;679.036;267.638;73.0984;27.703;46.0794;42.7501;130.573;75.2099;37.9897;74.8635;73.7588;24.054;22.3921;25.1685;2.31187
27;0;361969;14689.6;4608.83;292.035;1114.37;464.166;14302;1981.77;3.09873;294.632;395.843;0.530236;211.405;392.067;683.31;267.065;73.0372;26.5738;45.9992;43.2573;130.86;74.6167;37.8912;74.1431;72.2625;20.7311;22.7071;25.5607;2.20918
28;0;362521;15193.9;4708.84;343.604;1206.43;479.379;14432;2069.06;19.5232;286.983;365.643;83.1667;174.983;344.077;673.353;267.891;73.405;26.9904;46.6044;43.0839;130.668;75.8086;38.3952;75.3991;74.08;23.476;22.4855;24.4969;2.63284
29;0;361322;15315;4636.79;321.83;1040.41;307.393;13909;1855.01;16.7443;191.665;442.577;59.437;170.156;422.632;683.906;270.609;73.0603;27.0085;45.1508;41.5323;130.491;74.1534;38.9089;73.6926;72.1226;21.6179;21.2807;25.0686;2.31546
30;0;360904;15178.7;4662.34;373.107;1135.12;435.002;14178.1;2122.33;5.83599;153.162;444.673;91.0738;219.967;351.074;671.275;270.191;73.4448;27.9337;46.065;42.0399;130.473;75.3185;35.6223;74.4343;74.0771;24.4598;23.4594;24.4069;2.64524
31;0;362626;15142.8;4702.31;344.704;1148.31;458.271;14100.6;1982.64;5.18714;276.092;409.161;100.412;193.865;304.614;687.579;267.12;73.5253;27.3851;45.8526;42.7041;130.217;74.9682;38.7434;75.1806;73.474;22.9208;22.5176;23.5176;2.67936
32;0;363086;15096.3;4659.54;377.022;1137.87;308.037;14242.4;1814;4.7171;352.114;339.68;19.253;198.179;308.436;684.92;265.107;73.204;28.3196;46.5105;41.8256;130.735;73.838;38.1062;76.4735;73.1529;21.8465;22.6086;23.9006;2.21153
33;0;362818;14787;4822.35;321.975;1114.74;393.587;14318.7;1972.23;5.18799;187.534;434.852;98.6916;178.067;375.648;671.165;264.543;74.1145;26.2748;45.9795;42.6058;131.55;74.7498;36.4284;72.8536;72.3188;23.6541;23.3101;25.3359;2.30672
34;0;362226;15166.6;4778.94;342.06;1146.47;536.059;14184.7;2012.85;13.5366;223.047;426.424;97.9994;175.355;356.302;679.105;267.874;73.8922;27.1183;46.3542;43.8965;130.279;75.3193;37.8811;73.4313;72.4688;24.3017;22.8728;24.4889;2.4161
35;0;362803;14914.2;4777.57;385.18;1108.35;400.196;14488.8;1776.51;10.682;126.774;461.874;98.3314;180.929;370.716;677.99;267.495;73.824;27.7686;45.6711;41.8194;131.275;71.9885;38.9572;71.2051;71.9687;23.6011;22.7368;25.0962;2.44486
36;0;362951;15415.3;4852.5;377.629;1082.19;414.475;14508.9;1908.64;73.1427;175.248;499.744;5.26169;232.7;358.57;663.414;269.695;74.4014;27.2978;45.8696;42.3893;131.23;74.4785;34.87;74.4146;74.2404;20.3432;23.0632;24.7599;2.43851
37;0;361978;15693.9;4702.8;325.223;1193.1;345.209;14068.6;1912.32;2.75933;169.239;439.72;79.0519;200.284;355.265;689.123;269.548;73.334;26.4592;46.4532;41.4474;130.275;73.8322;38.1675;72.4025;72.2675;22.8084;22.5834;24.0337;2.51106
38;0;362116;15346.9;4639.1;285.809;1088.95;613.306;14432.2;1987.59;2.25343;277.145;412.275;85.2065;190.837;339.979;689.348;266.3;72.7492;25.764;44.538;43.1214;129.545;73.9529;37.3509;74.6049;73.6327;23.367;22.4984;24.122;2.72579
39;0;362203;15194.2;4687.23;322.732;1081.71;433.942;14330.3;2008.88;5.54123;139.744;459.118;33.9084;213.354;313.568;662.466;268.071;73.6853;27.7319;45.6111;42.784;132.845;74.2006;35.0086;71.6163;72.4027;22.0505;22.9181;23.6384;2.44176
40;0;363401;15253.9;4868.01;329.039;1184.07;476.979;14148;2019.35;8.49609;3.54121;512.884;107.84;154.174;334.237;666.88;268.746;74.8843;27.5417;45.8692;41.9901;130.409;74.3489;41.4558;77.3769;77.529;23.6311;22.3547;24.8158;2.53648
41;0;362380;15448.6;4811.73;302.35;1060.67;443.628;14207.4;1995.94;17.0451;159.665;507.425;84.6911;158.475;333.203;675.579;270.359;74.1729;26.2488;45.2131;42.6058;130.487;74.0173;38.0733;76.4353;75.119;22.8729;21.4712;23.8318;2.35503
42;0;362729;15120.3;4856.06;293.392;959.909;361.726;14191.2;1843.8;11.6497;262.02;334.137;115.229;207.725;364.617;687.315;267.446;74.683;26.2848;44.2384;42.2381;130.899;74.0916;39.2325;73.7343;71.6725;25.0548;23.7969;25.0206;2.22856
43;0;362813;15339.4;4796.58;318.902;1151.73;467.7;14359.1;1768.94;35.2831;208.603;370.87;90.1885;181.457;318.722;664.293;271.239;74.1324;27.2674;46.2737;42.9487;131.164;73.7783;35.4104;73.5989;71.8679;23.8022;22.9707;23.9422;2.48415
44;0;362914;15199.9;4908.49;302.524;1078.31;413.794;14209;1898.47;11.7317;183.843;452.421;165.235;134.151;337.66;685.86;267.835;74.6158;26.2863;45.7135;42.671;131.069;74.0565;38.4933;71.4783;71.2148;24.6424;21.7322;24.5321;2.09276
45;0;363140;14746.6;4804.07;267.825;1113.31;387.201;14185.3;1923.11;16.2719;102.85;493.188;106.746;193.822;348.969;678.201;269.108;74.1439;25.6002;45.3548;42.2186;130.829;74.3946;38.8884;73.8024;73.4552;23.5902;22.4008;24.1377;2.48985
46;0;361956;15493.1;4652.02;355.127;1084.79;515.395;14418.4;1852.02;123.078;182.887;424.696;137.57;178.903;355.39;677.788;271.273;73.1435;27.7488;44.6875;42.5807;131.022;74.5025;37.7488;75.0702;74.1519;25.0234;23.2703;24.9993;2.79007
