"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;361987;15044.8;4741.91;258.121;949.15;52.2046;13482.3;2070.23;18.44;294.322;385.07;94.5173;155.894;268.293;695.37;267.529;73.9712;27.4065;46.98;43.7763;135.506;87.8518;36.8414;75.3965;74.8851;23.8787;23.4726;25.2099;1.82025
1;0;362341;15257;4702.53;257.561;896.123;81.0929;13496;1961.82;28.6258;252.316;458.458;64.5994;181.416;339.354;688.703;267.974;73.5444;26.599;46.2369;44.0945;134.779;85.8068;37.5612;75.4111;74.8113;22.4839;22.794;26.2363;1.87382
2;0;364005;14492.8;4853.12;275.015;809.677;1.95729;13520.2;2031.96;60.1415;232.276;346.605;80.0064;98.3513;256.672;661.99;265.972;74.663;27.762;45.7462;43.5125;134.402;86.5947;33.1064;72.2607;72.0898;22.6541;21.1438;25.1248;1.73379
3;0;363582;15380.4;4802.61;315.646;898.129;120.963;13541;1972.72;73.7799;206.458;505.51;88.8007;162.772;379.485;686.406;268.468;74.382;28.0741;46.1698;44.6719;135.106;86.2507;37.6227;75.4136;74.6444;23.3626;23.1023;27.1047;1.92971
4;0;364049;15025.2;4670.99;269.827;895.759;87.716;13597.8;2087.55;117.804;224.862;442.651;74.3067;153.015;276.356;684.504;267.29;73.5159;27.6504;46.6233;44.9097;135.903;87.5343;36.9009;74.5886;73.6388;22.9608;22.7733;25.5312;1.9747
5;0;364585;15132.1;4618.25;272.487;837.427;112.748;13439.2;1948.72;104.387;289.052;350.148;93.1593;166.603;305.008;687.292;267.417;72.9838;27.6405;45.416;44.1974;134.504;85.8525;37.3434;76.1076;74.3707;23.8323;23.1178;25.7307;1.9277
6;0;364188;14965.2;4783.19;290.863;848.052;65.974;13342.3;1918.54;130.283;272.045;305.388;42.3078;174.134;263.649;680.854;266.153;74.2031;27.6864;45.7821;43.9304;134.507;85.5695;37.2288;75.4587;72.1944;22.0186;22.5477;24.6067;1.9748
7;0;364150;15264.8;4758.05;245.74;848.18;79.0079;13852.3;2061.27;45.2542;237.867;369.243;106.982;92.3525;278.436;687.43;267.104;73.9506;27.3111;46.0573;44.7499;136.63;86.7757;38.1604;72.4369;71.1251;23.4938;22.1525;25.5145;1.82996
8;0;363219;14908.9;4651.95;301.337;863.799;69.8855;13484.9;2090.43;32.2761;279.883;411.041;130.187;137.484;275.265;685.7;266.443;73.332;28.1276;46.1327;44.2067;135.063;86.8789;38.4045;74.6417;73.3613;25.1803;22.9648;25.483;1.65091
9;0;363605;15714.1;4732.26;336.909;889.301;72.7578;13757.7;2075.86;106.675;277.888;302.171;85.2815;114.001;327.261;687.833;267.436;73.7981;28.9242;46.3591;44.1798;136.058;87.7975;37.1113;71.3647;70.7552;23.6808;21.6353;25.7832;1.91576
