"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;361726;15016.4;4719;259.944;819.824;57.0022;13588.7;1859.84;12.9294;292.125;367.906;78.5332;160.318;290.969;704.624;269.17;73.851;27.3417;46.9065;43.7573;135.284;87.5315;33.9204;74.6369;74.6162;23.8502;23.4443;25.1742;1.45565
1;0;362106;15218.3;4670.16;240.945;788.392;20.5227;13608.6;1832.93;0.830811;246.625;456.489;59.7063;193.851;368.704;684.11;268.592;73.4935;26.5685;46.1788;44.122;134.818;85.7575;34.6365;74.4097;74.5822;22.4894;22.7945;26.3999;1.50354
2;0;363600;14508.5;4827.74;274.626;697.289;64.4142;13554.4;1907.53;47.6763;248.849;328.361;70.5663;115.848;288.212;698.982;265.021;74.5552;27.6842;45.6828;43.4789;135.236;86.6077;36.3507;72.2516;71.7665;22.6028;21.0953;25.0752;1.47092
3;0;363161;15403.7;4778.39;316.889;771.399;38.605;13700.1;1799.82;20.6619;235.382;493.511;83.0986;170.352;389.93;679.25;269.057;74.1992;27.9926;46.2243;44.7832;134.982;86.4585;33.2158;73.8053;74.1693;23.3743;23.1009;27.0765;1.58183
4;0;363722;15015.1;4638.09;263.317;768.66;14.6653;13696.5;1959.97;155.24;219.191;416.338;66.4754;157.086;287;698.221;263.066;73.4168;27.5914;46.6648;45.0195;136.329;87.7014;34.927;73.5705;73.2492;22.9756;22.7799;25.5206;1.65033
5;0;364301;15133.1;4607.1;287.854;734.195;26.6685;13581.6;1880.53;85.1067;299.704;332.568;62.4673;155.93;308.751;703.964;267.622;72.8643;27.5738;45.4857;44.3108;134.47;86.1606;35.2958;75.0265;73.8926;23.8461;23.1208;25.7159;1.60358
6;0;363875;14959.6;4762.96;301.919;725.935;0.324159;13415.7;1815.93;162.992;271.058;288.237;26.9782;172.748;270.118;693.448;263.086;74.0678;27.606;45.713;43.9156;133.768;85.422;35.545;73.9175;71.6739;22.0007;22.5218;24.5718;1.64181
7;0;363952;15246.7;4742.23;254.621;736.435;32.0444;14004.3;1960.83;60.9335;232.618;351.318;96.2674;97.3313;289.741;693.579;268.163;73.9261;27.2982;46.1013;44.843;136.683;86.9128;37.4809;72.0401;70.9356;23.5093;22.1701;25.5233;1.4707
8;0;362502;15071.8;4596.08;276.791;749.496;22.5553;13541.4;1884.77;4.55673;291.703;374.565;116.359;129.415;269.37;702.987;266.353;73.1665;28.0387;46.0299;44.1297;134.873;86.5719;35.9138;73.5768;73.0334;25.1211;22.914;25.4254;1.53958
9;0;363462;15661.5;4716.78;355.911;758.757;15.8213;13867;1952.16;99.4964;279.043;293.817;59.1316;105.667;328.984;729.541;272.427;73.6686;28.8559;46.1882;44.1343;132.721;86.7894;35.0891;71.2385;70.2966;23.6676;21.618;25.75;1.53208
10;0;361283;15179.2;4707.6;236.132;772.442;28.417;13780.1;1764.37;6.77001;153.091;343.947;7.11471;137.736;261.038;686.814;269.602;74.3635;27.5818;47.0762;43.8516;135.944;87.1853;39.5583;75.6554;74.6058;22.6708;22.7074;25.7298;1.50152
11;0;360235;15659.4;4667.57;260.849;701.659;14.4212;13732.7;1923.09;15.6542;301.991;378.859;23.2651;185.192;309.657;714.16;267.838;73.6099;27.6659;46.1106;45.3817;135.602;88.3623;35.6013;74.0936;73.7856;22.9576;23.2779;25.7946;1.374
12;0;360418;14904.8;4720.97;311.029;740.269;95.7315;13420.1;1950.68;4.85605;245.959;430.646;41.5094;171.596;298.948;691.606;264.285;74.0659;28.5305;45.9987;43.0675;134.29;87.0056;34.7064;74.7448;74.9859;22.7114;23.0688;25.3782;1.40735
13;0;360094;15653.9;4584.64;316.698;842.932;53.3338;13652.1;2034.62;109.809;213.659;400.091;110.563;163.502;303.853;688.432;269.806;73.1569;28.5682;47.6321;45.0526;135.412;87.7904;38.2589;75.3318;74.7054;23.7623;23.9247;25.7017;1.54365
14;0;360373;14796.8;4601.33;347.798;767.992;1.31783;13586.8;1878.28;82.2344;215.744;355.618;34.0899;112.449;349.214;688.2;267.792;72.8845;28.6525;45.5632;43.23;132.937;85.1203;33.8989;74.6668;74.2556;22.6802;21.4992;26.1312;1.45448
15;0;359153;14892.6;4547.72;323.01;703.452;80.8987;13387.7;1845.29;63.9666;213.862;335.44;104.021;141.059;293.043;694.739;264.802;72.6751;28.5192;45.6304;42.7252;134.158;85.1551;37.3066;72.1665;71.7135;24.1254;23.4697;25.6545;1.42713
16;0;359221;15164.5;4708.81;294.939;692.89;42.8814;13610.9;1874.6;47.3676;340.22;251.263;117.653;136.61;358.64;697.549;265.639;73.7468;27.7557;45.5353;45.1691;134.913;87.0172;36.8173;74.8213;72.5562;24.6012;23.2826;26.1381;1.53276
17;0;359529;15321.1;4539.38;306.457;820.895;63.2282;13656;1815.35;50.974;384.447;199.363;12.8984;232.046;271.628;691.7;267.104;72.9234;28.4625;47.207;45.1218;134.614;86.6466;34.864;74.3445;72.6071;22.4235;23.7662;25.4139;1.47678
18;0;359699;14841.2;4616.11;317.131;738.418;104.703;13462.5;1791.2;133.066;263.635;328.741;86.316;140.877;324.233;677.538;268.125;73.4971;28.5346;46.2214;45.0348;136.098;85.737;39.8518;76.8549;74.7964;25.1648;23.3227;26.5092;1.54504
19;0;360338;14913.8;4655;249.296;746.069;5.05054;13469.6;1833;12.1823;250.362;296.868;59.8154;147.113;306.859;699.281;267.254;73.9342;27.9118;46.0687;44.7535;134.674;87.1389;37.3053;73.9109;73.2661;23.6974;22.8671;25.7592;1.55495
20;0;360866;15333.5;4699.13;310.419;779.558;16.5936;13386;1790.47;131.339;97.9341;434.995;73.6378;175.845;291.536;690.663;268.262;73.951;28.8;46.7648;44.1384;134.185;86.4166;38.758;75.0243;75.4954;23.5936;24.2887;25.9438;1.61205
21;0;362235;15136.3;4576.46;274.244;731.582;56.8758;13472.6;1826.59;67.1192;300.432;311.271;45.4461;150.102;324.667;696.096;267.979;73.3356;28.602;45.8855;44.9874;134.237;85.9733;38.0375;77.1511;75.3487;22.931;23.4661;26.509;1.39405
22;0;361852;14955.7;4585.01;261.443;829.174;92.6302;13754;1964.89;72.0365;153.079;460.13;39.8525;110.785;328.409;694.128;263.322;73.1259;27.3906;47.2633;43.4563;133.102;86.4184;36.1906;75.4151;75.4887;22.0615;21.9506;25.7502;1.52283
23;0;361938;15074;4679.09;313.784;742.772;35.6262;13508.6;1952.39;106.929;116.032;514.115;87.0675;156.489;341.181;702.021;265.671;73.5742;28.3482;46.1044;43.8035;134.469;86.3023;36.0332;73.5046;74.3851;24.5414;23.7289;26.6105;1.4455
24;0;362584;14659.9;4723.61;301.007;753.024;128.61;13670;1925.66;10.4826;338.489;337.428;87.6388;156.859;297.705;706.568;264.217;73.8411;27.9037;45.7907;45.2456;134.92;85.5224;36.374;74.4845;73.544;23.9964;23.6482;25.7625;1.50718
