"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;366514;11774.7;4080.78;41.5677;1192.55;375.218;14472.9;1952.63;87.8557;304.408;381.707;76.8561;136.023;240.454;671.206;276.682;78.1418;28.4819;47.4716;42.7126;133.672;76.6574;28.3282;74.8322;75.0631;24.1744;23.2353;24.4283;2.99042
1;0;366920;11963.3;4023.18;37.5536;1121.3;384.452;14335.2;1977.89;133.282;289.393;488.151;48.8194;169.507;320.752;670.863;277.245;77.7506;27.6341;46.5568;42.9294;133.509;75.1489;28.2894;74.4919;75.2261;22.5527;22.6174;25.5447;3.07017
2;0;368660;11169.5;4112.77;63.6309;1057.57;364.817;14467.9;2041.23;90.5161;283.611;336.997;68.8534;88.6101;220.805;671.644;274.275;78.8368;28.739;46.1607;42.4469;134.013;76.0644;28.3904;72.0213;72.1428;22.7388;20.8734;24.0985;3.04553
3;0;367901;12112.5;4144.15;40.711;1127.67;430.34;14448.2;1883.16;122.517;270.941;513.118;75.9202;144.43;341.274;671.893;278.381;78.4186;29.1183;46.5882;43.5523;133.721;75.5086;27.6333;74.0327;74.871;23.5457;22.9031;26.4173;3.27566
4;0;368394;11722.4;3988.41;47.2358;1128.64;380.851;14451.1;2024.01;32.9312;272.56;426.917;57.0703;133.361;238.867;672.271;275.537;77.6578;28.628;46.8813;43.5994;134.242;76.2067;26.4588;73.4567;73.9598;22.9217;22.5595;24.6306;3.11507
5;0;369363;11682.5;3891.11;60.6079;1029.84;368.464;14328.6;2032.66;58.6306;337.444;346.751;53.0054;122.809;243.063;672.896;277.265;77.1922;28.6598;45.8476;43.1594;133.271;75.3459;27.3479;75.3405;74.8051;24.0578;23.0902;24.9933;3.11185
6;0;368903;11440.6;4052.72;28.2018;1054.76;363.296;14119.3;1879.72;26.7363;340.931;292.085;12.4253;145.355;212.157;671.362;273.8;78.4003;28.7412;46.0169;42.7109;133.06;74.6717;26.7484;73.8141;72.5819;21.8352;22.3955;23.7795;3.13378
7;0;368778;11950.2;4094.66;49.1182;1073.26;405.455;14736.8;2089.38;110.772;283.644;359.19;100.651;84.4125;256.033;672.386;275.834;77.9675;28.2379;46.3786;43.537;135.115;75.9408;28.2936;71.4192;71.3801;23.5776;21.6681;24.6307;2.98367
8;0;367544;11715.9;4006.95;32.6628;1127.87;398.981;14408;2123.93;135.024;329.142;410.88;128.471;128.024;251.442;671.177;274.783;77.3935;29.1347;46.5664;43.1149;133.529;76.0748;28.4266;73.4425;73.5014;25.303;22.8785;24.5589;3.03643
9;0;367918;12471.7;4072.59;51.3923;1118.12;395.656;14674.7;1999.85;65.0763;327.356;296.525;55.1248;82.4348;279.769;671.677;277.851;77.9601;29.977;46.7626;43.0801;134.787;76.4447;27.3739;71.2749;70.8921;23.8137;21.5307;25.0789;3.12949
