All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
211.576874	1.806929	1.456421	1.123567	0.003440	2.974797	3.022594	
213.164581	1.801366	1.467900	1.145748	0.002967	3.022759	3.055785	
214.752319	1.796011	1.477083	1.168772	0.002497	3.082881	3.089487	
216.340134	1.790912	1.492700	1.192738	0.002132	3.154786	3.123678	
217.928055	1.786005	1.517434	1.217744	0.001848	3.231505	3.158371	
219.516022	1.781151	1.547289	1.243896	0.001397	3.310326	3.193607	
221.104050	1.776367	1.579502	1.271268	0.001173	3.395373	3.229531	
222.692169	1.771816	1.617858	1.300082	0.000950	3.490791	3.266649	
224.280350	1.767480	1.667311	1.331440	0.000729	3.597672	3.306002	
225.868576	1.763291	1.734123	1.368742	0.000510	3.715590	3.347950	
227.456879	1.759150	1.825401	1.417031	0.000293	3.840715	3.388365	
229.045258	1.755276	1.946469	1.476103	0.000079	3.964364	3.417338	
230.633713	1.751450	2.096997	1.535902	0.000000	4.077479	3.427399	
232.222244	1.747662	2.276617	1.583465	0.000000	4.172170	3.422007	
233.810822	1.743917	2.480748	1.613059	0.000000	4.236353	3.412525	
235.399445	1.740412	2.697542	1.628942	0.000000	4.263288	3.408360	
236.988159	1.736960	2.915143	1.637225	0.000000	4.252255	3.412519	
238.576935	1.733552	3.124448	1.642134	0.000000	4.206617	3.424280	
240.165741	1.730382	3.318298	1.645569	0.000000	4.129684	3.442288	
241.754639	1.727244	3.488232	1.648309	0.000000	4.027136	3.465570	
243.343597	1.724156	3.630525	1.650725	0.000000	3.909386	3.493745	
244.932617	1.721282	3.745692	1.653081	0.000000	3.784023	3.526508	
246.521698	1.718439	3.833978	1.655635	0.000000	3.657944	3.563881	
248.110840	1.715615	3.898599	1.658714	0.000000	3.539772	3.606118	
249.700027	1.712840	3.946889	1.662727	0.000000	3.435787	3.653296	
251.289276	1.710177	3.989579	1.668192	0.000000	3.348010	3.705624	
252.878616	1.707630	4.034921	1.675715	0.000000	3.270092	3.763267	
254.467972	1.705125	4.084597	1.685985	0.000000	3.195841	3.826319	
256.057404	1.702677	4.139008	1.699746	0.000000	3.120591	3.894793	
257.646881	1.700397	4.197318	1.717770	0.000000	3.038692	3.968604	
259.236420	1.698043	4.255054	1.740836	0.000000	2.945076	4.047571	
