ROI backgr, sum

Spectrum                                     Si       P     Ar       Ni       Zn       Ga       Rh
--------------------------------------------------------------------------------------------------
20230607_CVD_2546_60s_10x10ptsdet_1_0_0    -241    -192    -93     -974    -1660    -2021    -5062
20230607_CVD_2546_60s_10x10ptsdet_1_0_1    -246    -210    -78    -1000    -1639    -1956    -4546
20230607_CVD_2546_60s_10x10ptsdet_1_0_2    -264    -218    -67     -997    -1602    -1999    -4570
20230607_CVD_2546_60s_10x10ptsdet_1_0_3    -238    -186    -71     -998    -1694    -2120    -4607
20230607_CVD_2546_60s_10x10ptsdet_1_0_4    -228    -186    -77    -1024    -1618    -2105    -4484
20230607_CVD_2546_60s_10x10ptsdet_1_0_5    -229    -186    -66    -1019    -1678    -2043    -4557
20230607_CVD_2546_60s_10x10ptsdet_1_0_6    -244    -201    -79     -933    -1531    -1860    -4614
20230607_CVD_2546_60s_10x10ptsdet_1_0_7    -237    -189    -70     -916    -1515    -2004    -4464
20230607_CVD_2546_60s_10x10ptsdet_1_0_8    -246    -208    -76     -902    -1515    -2034    -4543
20230607_CVD_2546_60s_10x10ptsdet_1_0_9    -246    -206    -67     -979    -1537    -1959    -4590
20230607_CVD_2546_60s_10x10ptsdet_1_1_0    -244    -194    -87     -887    -1540    -1952    -4921
20230607_CVD_2546_60s_10x10ptsdet_1_1_1    -223    -177    -72     -943    -1580    -2069    -4563
20230607_CVD_2546_60s_10x10ptsdet_1_1_2    -229    -188    -79     -936    -1525    -1971    -4483
20230607_CVD_2546_60s_10x10ptsdet_1_1_3    -244    -202    -70    -1001    -1709    -2160    -4557
20230607_CVD_2546_60s_10x10ptsdet_1_1_4    -243    -196    -66    -1007    -1644    -2036    -4603
20230607_CVD_2546_60s_10x10ptsdet_1_1_5    -238    -191    -75     -986    -1544    -2030    -4608
20230607_CVD_2546_60s_10x10ptsdet_1_1_6    -243    -203    -85     -995    -1664    -2141    -4645
20230607_CVD_2546_60s_10x10ptsdet_1_1_7    -233    -192    -69    -1024    -1654    -2023    -4620
20230607_CVD_2546_60s_10x10ptsdet_1_1_8    -258    -229    -94     -968    -1609    -2039    -4591
20230607_CVD_2546_60s_10x10ptsdet_1_1_9    -230    -186    -48    -1030    -1630    -2097    -4625
20230607_CVD_2546_60s_10x10ptsdet_1_2_0    -265    -212    -85     -979    -1581    -2009    -5032
20230607_CVD_2546_60s_10x10ptsdet_1_2_1    -248    -202    -92     -996    -1662    -2073    -4619
20230607_CVD_2546_60s_10x10ptsdet_1_2_2    -242    -196    -81     -959    -1634    -2070    -4632
20230607_CVD_2546_60s_10x10ptsdet_1_2_3    -244    -195    -65     -995    -1682    -2078    -4658
20230607_CVD_2546_60s_10x10ptsdet_1_2_4    -242    -187    -88     -930    -1581    -2030    -4613
20230607_CVD_2546_60s_10x10ptsdet_1_2_5    -259    -225   -100     -988    -1686    -2150    -4594
20230607_CVD_2546_60s_10x10ptsdet_1_2_6    -237    -180    -75     -960    -1682    -2106    -4625
20230607_CVD_2546_60s_10x10ptsdet_1_2_7    -251    -214    -88     -951    -1600    -2082    -4646
20230607_CVD_2546_60s_10x10ptsdet_1_2_8    -228    -186    -55     -993    -1560    -2032    -4609
20230607_CVD_2546_60s_10x10ptsdet_1_2_9    -256    -216    -83     -998    -1716    -2107    -4628
20230607_CVD_2546_60s_10x10ptsdet_1_3_0    -248    -208   -102     -990    -1617    -2073    -4910
20230607_CVD_2546_60s_10x10ptsdet_1_3_1    -239    -201    -69     -989    -1653    -2092    -4703
20230607_CVD_2546_60s_10x10ptsdet_1_3_2    -241    -186    -54     -960    -1632    -2053    -4663
20230607_CVD_2546_60s_10x10ptsdet_1_3_3    -245    -190    -71    -1020    -1676    -2070    -4624
20230607_CVD_2546_60s_10x10ptsdet_1_3_4    -244    -202    -54     -970    -1557    -2047    -4425
20230607_CVD_2546_60s_10x10ptsdet_1_3_5    -237    -197    -76     -981    -1674    -2160    -4580
20230607_CVD_2546_60s_10x10ptsdet_1_3_6    -230    -187    -62     -937    -1324    -1900    -4579
20230607_CVD_2546_60s_10x10ptsdet_1_3_7    -247    -203    -48     -980    -1649    -2067    -4667
20230607_CVD_2546_60s_10x10ptsdet_1_3_8    -249    -210    -55     -960    -1635    -2061    -4527
20230607_CVD_2546_60s_10x10ptsdet_1_3_9    -236    -204    -94     -994    -1649    -2120    -4612
20230607_CVD_2546_60s_10x10ptsdet_1_4_0    -230    -185    -76    -1031    -1645    -2069    -4921
20230607_CVD_2546_60s_10x10ptsdet_1_4_1    -232    -180    -68     -947    -1592    -1999    -4717
20230607_CVD_2546_60s_10x10ptsdet_1_4_2    -232    -191    -64     -992    -1632    -2099    -4561
20230607_CVD_2546_60s_10x10ptsdet_1_4_3    -245    -206   -101     -966    -1534    -1943    -4524
20230607_CVD_2546_60s_10x10ptsdet_1_4_4    -238    -194    -82    -1003    -1648    -2073    -4439
