"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;221496;8798.27;27523.5;1973.17;1045.21;274.108;96707.2;12750.6;33.1474;1159.66;2021.36;55.7488;226.342;310.171;557.188;219.803;173.383;57.7993;47.042;41.5592;322.442;128.873;28.1184;115.429;118.387;20.6161;23.0902;23.724;2.04554
1;0;219380;8974.51;27080.7;1824.84;893.933;226.553;95396.9;12601.3;22.093;1057.97;2098.71;96.8172;237.207;328.208;526.69;222.527;171.274;57.0965;45.6482;41.6539;316.616;128.516;31.4794;114.321;117.023;21.6939;23.3405;23.5634;2.047
2;0;218507;8818.98;26786.5;1911.51;949.887;207.461;95782;13068.7;10.6793;1065.36;2018.22;58.2705;232.337;347.571;531.643;220.238;170.77;57.5402;46.3081;41.0541;320.52;129.815;32.9177;115.028;116.943;19.9154;22.6486;24.0928;1.91278
3;0;219600;8981.59;27329.7;1979.72;961.011;225.45;95583.8;12804.4;48.5838;1145.01;2133.8;53.4841;242.863;318.156;518.459;221.156;171.341;58.136;46.2417;40.8748;323.397;129.074;23.9418;113.155;116.775;20.1354;23.0635;22.9198;1.96686
4;0;218112;8668.33;27273.6;1864.5;945.249;256.993;95917.6;12745.8;15.0545;1227.31;2124.33;71.9038;160.933;384.615;543.413;219.573;172.31;57.1835;45.9673;41.2597;320.536;129.156;30.5173;115.828;118.44;21.5514;21.5844;25.1658;2.03001
5;0;219745;8803.95;27225.8;1857.85;972.48;221.067;96150.6;12933.1;0.0758879;1209.68;2148.93;74.0536;213.085;345.056;552.523;220.618;172.197;56.6436;46.2006;41.1022;321.3;129.06;28.6193;115.363;118.48;20.208;22.2939;24.1424;2.08907
6;0;218536;9068.21;27128;1916.15;947.66;210.644;96118.7;13309.2;4.06205;1205.79;2058.36;103.242;179.141;377.056;529.309;220.988;171.402;57.4785;46.2272;40.6253;321.634;130.373;27.2373;113.545;116.192;21.6269;21.8722;25.0894;2.12876
7;0;219529;8817.77;27268.1;1862.67;903.841;335.063;95738.8;12883.2;2.46367;1287.67;2006.6;69.6239;204.305;364.69;541.761;220.045;172.293;56.8366;45.4516;41.7009;319.696;129.873;30.367;116.278;118.035;20.9557;21.9934;24.3607;1.87882
8;0;218510;9089.58;27109.8;1819.41;953.07;238.693;95667.2;12531.6;3.27603;1243.44;2086.28;93.4403;278.01;376.179;535.987;221.194;171.392;56.3086;45.6325;40.8346;318.876;128.412;29.463;116.063;118.141;20.8706;24.1991;24.9841;2.05163
9;0;220288;8832;27574.5;1809.96;996.114;241.04;96165.2;12872.3;7.94123;1077.05;2084.89;74.3837;174.477;371.277;539.274;220.995;173.062;56.617;46.6035;41.053;319.908;129.413;30.7243;114.721;117.46;20.6192;21.2572;24.5225;1.91269
