ROI backgr, sum

Spectrum                                     Si       P     Ar      Ni       Zn       Ga       Rh
-------------------------------------------------------------------------------------------------
20230613_CVD_2808_60s_10x10ptsdet_1_0_0    -311    -265    -97   -1006    -1650    -2094    -6466
20230613_CVD_2808_60s_10x10ptsdet_1_0_1    -264    -211    -75    -983    -1616    -1991    -5886
20230613_CVD_2808_60s_10x10ptsdet_1_0_2    -279    -230    -69    -947    -1616    -2071    -5590
20230613_CVD_2808_60s_10x10ptsdet_1_0_3    -264    -213    -75    -980    -1619    -2009    -5508
20230613_CVD_2808_60s_10x10ptsdet_1_0_4    -253    -193    -60    -891    -1571    -2033    -5438
20230613_CVD_2808_60s_10x10ptsdet_1_0_5    -256    -200    -67    -963    -1602    -1977    -5413
20230613_CVD_2808_60s_10x10ptsdet_1_0_6    -263    -216    -80    -991    -1661    -1964    -5260
20230613_CVD_2808_60s_10x10ptsdet_1_0_7    -249    -197    -67    -967    -1639    -2005    -5179
20230613_CVD_2808_60s_10x10ptsdet_1_0_8    -261    -216    -67    -955    -1624    -2038    -5320
20230613_CVD_2808_60s_10x10ptsdet_1_0_9    -269    -224    -74    -971    -1624    -1965    -5397
20230613_CVD_2808_60s_10x10ptsdet_1_1_0    -295    -247    -95    -953    -1689    -2082    -6354
20230613_CVD_2808_60s_10x10ptsdet_1_1_1    -269    -214   -103    -986    -1566    -2015    -5904
20230613_CVD_2808_60s_10x10ptsdet_1_1_2    -265    -211    -87    -964    -1577    -1845    -5559
20230613_CVD_2808_60s_10x10ptsdet_1_1_3    -259    -212    -51    -999    -1667    -2038    -5427
20230613_CVD_2808_60s_10x10ptsdet_1_1_4    -259    -196    -52    -881    -1605    -1994    -5214
20230613_CVD_2808_60s_10x10ptsdet_1_1_5    -266    -215    -90    -927    -1551    -1800    -5296
20230613_CVD_2808_60s_10x10ptsdet_1_1_6    -265    -224    -84    -973    -1614    -2048    -5272
20230613_CVD_2808_60s_10x10ptsdet_1_1_7    -240    -185    -79    -961    -1583    -1847    -5156
20230613_CVD_2808_60s_10x10ptsdet_1_1_8    -277    -224    -66   -1001    -1695    -2101    -5331
20230613_CVD_2808_60s_10x10ptsdet_1_1_9    -256    -201    -81    -902    -1533    -1996    -5341
20230613_CVD_2808_60s_10x10ptsdet_1_2_0    -278    -227    -69    -990    -1624    -2144    -6490
20230613_CVD_2808_60s_10x10ptsdet_1_2_1    -262    -203    -78    -983    -1589    -1949    -5817
20230613_CVD_2808_60s_10x10ptsdet_1_2_2    -248    -203    -83    -989    -1676    -2039    -5586
20230613_CVD_2808_60s_10x10ptsdet_1_2_3    -260    -212    -57    -974    -1556    -1931    -5488
20230613_CVD_2808_60s_10x10ptsdet_1_2_4    -260    -200    -55    -987    -1678    -2028    -5443
20230613_CVD_2808_60s_10x10ptsdet_1_2_5    -255    -202    -66    -958    -1525    -1915    -5466
20230613_CVD_2808_60s_10x10ptsdet_1_2_6    -272    -233    -81    -954    -1515    -1897    -5420
20230613_CVD_2808_60s_10x10ptsdet_1_2_7    -264    -210    -63    -989    -1660    -2010    -5262
