ROI net sum

Spectrum                                    Si     P   Ar   Ni    Zn    Ga   Rh
-------------------------------------------------------------------------------
20230621_CVD_2566_60s_10x10ptsdet_1_0_0 227566 22827  275 1145   530 75305 7394
20230621_CVD_2566_60s_10x10ptsdet_1_0_1 228100 23258  258 1071   343 74482 7226
20230621_CVD_2566_60s_10x10ptsdet_1_0_2 227818 23040  226 1067   456 75027 7065
20230621_CVD_2566_60s_10x10ptsdet_1_0_3 227799 23044  237 1183   278 75310 7145
20230621_CVD_2566_60s_10x10ptsdet_1_0_4 227606 23629  258 1004   458 75470 7092
20230621_CVD_2566_60s_10x10ptsdet_1_0_5 228492 23484  237  974   285 74736 7077
20230621_CVD_2566_60s_10x10ptsdet_1_0_6 227994 23203  272 1072   359 74892 6969
20230621_CVD_2566_60s_10x10ptsdet_1_0_7 228410 23147  244 1120   329 75064 7253
20230621_CVD_2566_60s_10x10ptsdet_1_0_8 227282 23040  215  999   326 74554 6981
20230621_CVD_2566_60s_10x10ptsdet_1_0_9 227795 23482  235 1007   372 75670 7181
20230621_CVD_2566_60s_10x10ptsdet_1_1_0 227757 23310  213 1005   415 74407 7154
20230621_CVD_2566_60s_10x10ptsdet_1_1_1 226795 23417  229  902   373 74577 7032
20230621_CVD_2566_60s_10x10ptsdet_1_1_2 227886 23213  231  958   319 74891 6959
20230621_CVD_2566_60s_10x10ptsdet_1_1_3 227187 23147  275 1035   411 75329 7223
20230621_CVD_2566_60s_10x10ptsdet_1_1_4 227124 23297  290  964   355 74860 7221
20230621_CVD_2566_60s_10x10ptsdet_1_1_5 224391 22912  202  994   349 74182 7081
20230621_CVD_2566_60s_10x10ptsdet_1_1_6 222584 22781  256 1035   310 72979 6802
20230621_CVD_2566_60s_10x10ptsdet_1_1_7 224359 22884  238 1014   304 74214 6920
20230621_CVD_2566_60s_10x10ptsdet_1_1_8 227146 23063  300 1073   338 74495 6984
20230621_CVD_2566_60s_10x10ptsdet_1_1_9 226206 23090  271 1057   347 75323 6984
20230621_CVD_2566_60s_10x10ptsdet_1_2_0 220194 22398  254 1014   436 71665 6921
20230621_CVD_2566_60s_10x10ptsdet_1_2_1 219025 22428  256 1000   291 72179 6842
20230621_CVD_2566_60s_10x10ptsdet_1_2_2 219981 22276  249 1050   475 72498 6865
20230621_CVD_2566_60s_10x10ptsdet_1_2_3 219969 22453  275 1065   387 72331 6730
20230621_CVD_2566_60s_10x10ptsdet_1_2_4 219754 22488  238  921   343 72363 6867
20230621_CVD_2566_60s_10x10ptsdet_1_2_5 219511 22570  250 1034   347 72035 6804
20230621_CVD_2566_60s_10x10ptsdet_1_2_6 220483 22288  262  954   329 72797 7020
20230621_CVD_2566_60s_10x10ptsdet_1_2_7 219496 22463  226  962   370 72669 6590
20230621_CVD_2566_60s_10x10ptsdet_1_2_8 218710 22282  228  921   373 72183 6763
20230621_CVD_2566_60s_10x10ptsdet_1_2_9 224228 22783  219  993   326 73835 6879
20230621_CVD_2566_60s_10x10ptsdet_1_3_0 225352 22850  237 1147   542 73851 7046
20230621_CVD_2566_60s_10x10ptsdet_1_3_1 227676 23386  248 1036   341 74940 6976
20230621_CVD_2566_60s_10x10ptsdet_1_3_2 226992 23134  178 1108   358 75061 7024
20230621_CVD_2566_60s_10x10ptsdet_1_3_3 227932 23234  240 1048   391 75007 6942
20230621_CVD_2566_60s_10x10ptsdet_1_3_4 228338 23356  257 1080   397 75259 7085
20230621_CVD_2566_60s_10x10ptsdet_1_3_5 227969 23445  232 1015   404 75509 6977
20230621_CVD_2566_60s_10x10ptsdet_1_3_6 228443 23055  240 1008   278 74721 7106
20230621_CVD_2566_60s_10x10ptsdet_1_3_7 227487 23387  218 1092   360 75002 6957
20230621_CVD_2566_60s_10x10ptsdet_1_3_8 229602 23129  220 1118   360 75362 6942
20230621_CVD_2566_60s_10x10ptsdet_1_3_9 229519 23177  244 1097   359 75661 7065
20230621_CVD_2566_60s_10x10ptsdet_1_4_0 229490 23379  241 1063   355 75195 7231
20230621_CVD_2566_60s_10x10ptsdet_1_4_1 228993 23156  223 1095   519 75388 7138
20230621_CVD_2566_60s_10x10ptsdet_1_4_2 229253 23168  248 1021   312 75765 6959
20230621_CVD_2566_60s_10x10ptsdet_1_4_3 230426 23306  253 1048   365 75575 7106
20230621_CVD_2566_60s_10x10ptsdet_1_4_4 229666 23546  214  977   352 75338 6952
20230621_CVD_2566_60s_10x10ptsdet_1_4_5 229626 23580  271 1037   460 76013 7050
20230621_CVD_2566_60s_10x10ptsdet_1_4_6 228403 23549  231 1040   336 75932 7108
20230621_CVD_2566_60s_10x10ptsdet_1_4_7 229142 23367  244 1018   387 75626 7199
20230621_CVD_2566_60s_10x10ptsdet_1_4_8 229774 23287  265 1147   370 75360 7192
20230621_CVD_2566_60s_10x10ptsdet_1_4_9 228073 23235  205  979   317 74654 7198
20230621_CVD_2566_60s_10x10ptsdet_1_5_0 227731 23142  266 1103   397 75046 7149
20230621_CVD_2566_60s_10x10ptsdet_1_5_1 227959 23119  239 1017   340 74878 7005
20230621_CVD_2566_60s_10x10ptsdet_1_5_2 228486 23150  260 1051   356 75292 7384
20230621_CVD_2566_60s_10x10ptsdet_1_5_3 228126 23390  265 1051   410 75149 6929
20230621_CVD_2566_60s_10x10ptsdet_1_5_4 228210 23371  224 1145   357 75659 6956
20230621_CVD_2566_60s_10x10ptsdet_1_5_5 229784 23395  260 1006   351 75132 6993
20230621_CVD_2566_60s_10x10ptsdet_1_5_6 228635 23165  221 1102   348 75065 6916
20230621_CVD_2566_60s_10x10ptsdet_1_5_7 228712 23252  218 1165   353 75132 6943
20230621_CVD_2566_60s_10x10ptsdet_1_5_8 228906 23115  260  971   362 74298 7105
20230621_CVD_2566_60s_10x10ptsdet_1_5_9 228678 23175  272 1052   463 75791 7182
20230621_CVD_2566_60s_10x10ptsdet_1_6_0 228707 23261  238 1183   551 74993 7042
20230621_CVD_2566_60s_10x10ptsdet_1_6_1 228016 23245  236 1041   347 75372 7079
20230621_CVD_2566_60s_10x10ptsdet_1_6_2 229062 23398  256 1014   325 75790 7343
20230621_CVD_2566_60s_10x10ptsdet_1_6_3 227573 23285  243 1039   441 75109 6981
20230621_CVD_2566_60s_10x10ptsdet_1_6_4 224864 22846  281  973   283 74338 6962
