Net counts

Spectrum                                      Si    P    Ar   Ni      Zn    Ga   Rh
-----------------------------------------------------------------------------------
20230621_CVD_2808_60s_20x20ptsdet_1_0_0   350174 6921     0  782       0 23682 7690
20230621_CVD_2808_60s_20x20ptsdet_1_0_1   349569 7044   103  803       0 24022 8063
20230621_CVD_2808_60s_20x20ptsdet_1_0_10  353165 7030    78  756       0 24330 8252
20230621_CVD_2808_60s_20x20ptsdet_1_0_11  352480 7196    49  775       0 23908 8001
20230621_CVD_2808_60s_20x20ptsdet_1_0_12  350916 7049    85  763       0 23995 7705
20230621_CVD_2808_60s_20x20ptsdet_1_0_13  351472 7104    42  812       0 24200 7749
20230621_CVD_2808_60s_20x20ptsdet_1_0_14  352712 6901    24  900       0 23947 7747
20230621_CVD_2808_60s_20x20ptsdet_1_0_15  352945 6984    70  743       0 23980 7868
20230621_CVD_2808_60s_20x20ptsdet_1_0_16  354026 6913    67  808       0 24085 8110
20230621_CVD_2808_60s_20x20ptsdet_1_0_17  352305 6885    77  755       0 24266 7771
20230621_CVD_2808_60s_20x20ptsdet_1_0_18  351553 6940    56  744       0 24587 7870
20230621_CVD_2808_60s_20x20ptsdet_1_0_19  352598 7167    74  841       0 24234 7499
20230621_CVD_2808_60s_20x20ptsdet_1_0_2   349294 6807    33  751       0 23820 8026
20230621_CVD_2808_60s_20x20ptsdet_1_0_3   349213 6979    87  785       0 23724 7782
20230621_CVD_2808_60s_20x20ptsdet_1_0_4   350203 6871    46  682       0 23666 7983
20230621_CVD_2808_60s_20x20ptsdet_1_0_5   350600 7101    55  706       0 23955 7513
20230621_CVD_2808_60s_20x20ptsdet_1_0_6   351864 7029    31  904       0 23978 7947
20230621_CVD_2808_60s_20x20ptsdet_1_0_7   351534 7101    93  817       0 24199 8054
20230621_CVD_2808_60s_20x20ptsdet_1_0_8   350355 7035    81  673       0 23742 7933
20230621_CVD_2808_60s_20x20ptsdet_1_0_9   350668 6950    77  685       0 24043 8024
20230621_CVD_2808_60s_20x20ptsdet_1_10_0  353439 6974     7  760       0 24206 7998
20230621_CVD_2808_60s_20x20ptsdet_1_10_1  353592 7255    84  692       0 24313 7922
20230621_CVD_2808_60s_20x20ptsdet_1_10_10 353534 7222    30  826       0 23616 8004
20230621_CVD_2808_60s_20x20ptsdet_1_10_11 352726 7107     9  738       0 24450 8088
20230621_CVD_2808_60s_20x20ptsdet_1_10_12 354608 7115    48  825       0 24464 8194
20230621_CVD_2808_60s_20x20ptsdet_1_10_13 353569 7212    75  677       0 24341 8062
20230621_CVD_2808_60s_20x20ptsdet_1_10_14 351758 6994    30  761       0 24053 8123
20230621_CVD_2808_60s_20x20ptsdet_1_10_15 353702 7085    23  828       0 24030 7529
20230621_CVD_2808_60s_20x20ptsdet_1_10_16 352370 7078    28  751       0 24422 7674
20230621_CVD_2808_60s_20x20ptsdet_1_10_17 353369 7054    29  886       0 24019 7815
20230621_CVD_2808_60s_20x20ptsdet_1_10_18 354470 6997    53  666       0 24229 8013
20230621_CVD_2808_60s_20x20ptsdet_1_10_19 353671 6864    70  796      24 24357 8147
20230621_CVD_2808_60s_20x20ptsdet_1_10_2  353208 7141    57  750       0 24105 7781
20230621_CVD_2808_60s_20x20ptsdet_1_10_3  352983 7066    71  777       0 24255 8017
20230621_CVD_2808_60s_20x20ptsdet_1_10_4  353539 7026   137  721       0 24198 8058
20230621_CVD_2808_60s_20x20ptsdet_1_10_5  354502 6883    67  780       0 24474 7917
20230621_CVD_2808_60s_20x20ptsdet_1_10_6  354440 6952    82  705       0 24047 7804
20230621_CVD_2808_60s_20x20ptsdet_1_10_7  354670 7054    99  829       0 24286 7730
20230621_CVD_2808_60s_20x20ptsdet_1_10_8  352594 6936    49  742       0 24140 7769
20230621_CVD_2808_60s_20x20ptsdet_1_10_9  353288 7034    97  748       0 24191 7664
20230621_CVD_2808_60s_20x20ptsdet_1_11_0  353688 7051    47  727       0 23991 8054
20230621_CVD_2808_60s_20x20ptsdet_1_11_1  352293 7132    16  723       0 23996 8202
20230621_CVD_2808_60s_20x20ptsdet_1_11_10 351203 7034    96  870       0 24113 7626
20230621_CVD_2808_60s_20x20ptsdet_1_11_11 354716 7033    37  813       0 24383 7747
