ROI net sum

Spectrum                                      Si    P   Ar   Ni    Zn    Ga   Rh
--------------------------------------------------------------------------------
20230621_CVD_2808_60s_20x20ptsdet_1_0_0   317612 7138  226 1006   365 19738 7924
20230621_CVD_2808_60s_20x20ptsdet_1_0_1   317504 7218  268  987   296 20047 8342
20230621_CVD_2808_60s_20x20ptsdet_1_0_10  320591 7236  261 1037   341 20337 8265
20230621_CVD_2808_60s_20x20ptsdet_1_0_11  319723 7359  239  997   368 19984 7947
20230621_CVD_2808_60s_20x20ptsdet_1_0_12  318909 7250  259 1028   290 19827 7943
20230621_CVD_2808_60s_20x20ptsdet_1_0_13  318862 7263  226 1021   224 20066 8059
20230621_CVD_2808_60s_20x20ptsdet_1_0_14  319744 7087  234 1138   335 19961 8065
20230621_CVD_2808_60s_20x20ptsdet_1_0_15  320596 7154  230  952   319 20038 8093
20230621_CVD_2808_60s_20x20ptsdet_1_0_16  320901 7108  271 1006   283 20080 8256
20230621_CVD_2808_60s_20x20ptsdet_1_0_17  319700 7120  271 1017   377 20224 7977
20230621_CVD_2808_60s_20x20ptsdet_1_0_18  319099 7129  240 1026   474 20398 7988
20230621_CVD_2808_60s_20x20ptsdet_1_0_19  320195 7268  247 1059   412 20313 8112
20230621_CVD_2808_60s_20x20ptsdet_1_0_2   316994 7032  223 1014   371 19865 8038
20230621_CVD_2808_60s_20x20ptsdet_1_0_3   316861 7122  252 1117   387 19797 7903
20230621_CVD_2808_60s_20x20ptsdet_1_0_4   317987 7065  256 1010   384 19927 8153
20230621_CVD_2808_60s_20x20ptsdet_1_0_5   318394 7345  218  952   328 20162 7927
20230621_CVD_2808_60s_20x20ptsdet_1_0_6   319039 7197  197 1076   457 19828 8088
20230621_CVD_2808_60s_20x20ptsdet_1_0_7   319216 7298  222 1043   334 20187 8255
20230621_CVD_2808_60s_20x20ptsdet_1_0_8   317855 7226  317  901   435 19890 8143
20230621_CVD_2808_60s_20x20ptsdet_1_0_9   318538 7155  209  954   427 20017 8237
20230621_CVD_2808_60s_20x20ptsdet_1_10_0  321049 7194  238 1080   422 20231 8175
20230621_CVD_2808_60s_20x20ptsdet_1_10_1  320915 7437  245  954   329 20227 8211
20230621_CVD_2808_60s_20x20ptsdet_1_10_10 320726 7379  257 1046   301 19871 8145
20230621_CVD_2808_60s_20x20ptsdet_1_10_11 320248 7255  225  932   340 20297 8424
20230621_CVD_2808_60s_20x20ptsdet_1_10_12 322320 7286  258 1027   231 20259 8174
20230621_CVD_2808_60s_20x20ptsdet_1_10_13 320904 7424  279  902   251 20185 8135
20230621_CVD_2808_60s_20x20ptsdet_1_10_14 319427 7195  227  982   273 20209 8241
20230621_CVD_2808_60s_20x20ptsdet_1_10_15 320978 7269  261 1018   295 19996 7824
20230621_CVD_2808_60s_20x20ptsdet_1_10_16 319998 7262  241 1046   313 20243 8007
20230621_CVD_2808_60s_20x20ptsdet_1_10_17 320436 7204  214 1126   382 20003 7980
20230621_CVD_2808_60s_20x20ptsdet_1_10_18 321573 7118  245  946   350 20115 8157
20230621_CVD_2808_60s_20x20ptsdet_1_10_19 321252 7068  269 1078   394 20266 8233
20230621_CVD_2808_60s_20x20ptsdet_1_10_2  320561 7344  253  983   306 20113 8089
20230621_CVD_2808_60s_20x20ptsdet_1_10_3  320761 7288  248 1009   388 20247 8237
20230621_CVD_2808_60s_20x20ptsdet_1_10_4  321168 7224  264  955   238 20174 8299
20230621_CVD_2808_60s_20x20ptsdet_1_10_5  321939 7200  238  948   297 20408 8222
20230621_CVD_2808_60s_20x20ptsdet_1_10_6  321575 7143  259  991   396 20018 8113
20230621_CVD_2808_60s_20x20ptsdet_1_10_7  321383 7189  238 1048   392 20150 8074
20230621_CVD_2808_60s_20x20ptsdet_1_10_8  320061 7114  270  934   333 20187 8035
20230621_CVD_2808_60s_20x20ptsdet_1_10_9  320947 7199  257  969   310 20259 7836
20230621_CVD_2808_60s_20x20ptsdet_1_11_0  321141 7237  210 1047   450 20137 8245
20230621_CVD_2808_60s_20x20ptsdet_1_11_1  319496 7328  259  998   457 19935 8405
20230621_CVD_2808_60s_20x20ptsdet_1_11_10 319382 7255  312 1159   359 20015 7890
20230621_CVD_2808_60s_20x20ptsdet_1_11_11 321788 7186  207 1124   518 20318 8100
20230621_CVD_2808_60s_20x20ptsdet_1_11_12 322163 7251  244 1027   246 19972 8169
20230621_CVD_2808_60s_20x20ptsdet_1_11_13 320593 7354  266 1050   338 20105 7962
20230621_CVD_2808_60s_20x20ptsdet_1_11_14 321780 7119  227 1022   361 20210 8016
20230621_CVD_2808_60s_20x20ptsdet_1_11_15 321017 7112  260  961   347 20082 8203
20230621_CVD_2808_60s_20x20ptsdet_1_11_16 321118 7230  237 1004   332 20058 8176
20230621_CVD_2808_60s_20x20ptsdet_1_11_17 321690 7209  271  938   365 20216 8061
20230621_CVD_2808_60s_20x20ptsdet_1_11_18 321478 7234  238 1094   307 20426 8306
20230621_CVD_2808_60s_20x20ptsdet_1_11_19 322087 7320  244  959   335 20472 8140
20230621_CVD_2808_60s_20x20ptsdet_1_11_2  320143 7225  251  974   263 20170 8214
20230621_CVD_2808_60s_20x20ptsdet_1_11_3  320514 7232  243  999   254 20034 8037
20230621_CVD_2808_60s_20x20ptsdet_1_11_4  321088 7229  255 1033   265 20213 8006
20230621_CVD_2808_60s_20x20ptsdet_1_11_5  320392 7174  264  995   399 20260 7988
20230621_CVD_2808_60s_20x20ptsdet_1_11_6  320571 7433  224  976   321 20443 8227
20230621_CVD_2808_60s_20x20ptsdet_1_11_7  319973 7145  244 1015   428 19858 8281
20230621_CVD_2808_60s_20x20ptsdet_1_11_8  320681 7144  250  952   283 20141 8002
20230621_CVD_2808_60s_20x20ptsdet_1_11_9  320522 7092  307  958   395 20490 8024
20230621_CVD_2808_60s_20x20ptsdet_1_12_0  322777 7235  268 1004   334 20246 8056
20230621_CVD_2808_60s_20x20ptsdet_1_12_1  321296 7242  232 1024   444 20286 8173
20230621_CVD_2808_60s_20x20ptsdet_1_12_10 321955 7316  258  923   369 20405 8295
20230621_CVD_2808_60s_20x20ptsdet_1_12_11 320781 7263  244 1076   307 20072 8195
20230621_CVD_2808_60s_20x20ptsdet_1_12_12 321185 7265  243 1085   442 20260 8026
20230621_CVD_2808_60s_20x20ptsdet_1_12_13 320968 7255  260  886   295 20106 8060
20230621_CVD_2808_60s_20x20ptsdet_1_12_14 321868 7221  280 1001   384 20277 8157
20230621_CVD_2808_60s_20x20ptsdet_1_12_15 321677 7288  257  948   358 20259 8282
20230621_CVD_2808_60s_20x20ptsdet_1_12_16 322347 7136  234 1071   292 20355 8171
20230621_CVD_2808_60s_20x20ptsdet_1_12_17 321659 7249  247 1078   371 20116 8033
20230621_CVD_2808_60s_20x20ptsdet_1_12_18 321818 7258  232  918   372 20314 8218
20230621_CVD_2808_60s_20x20ptsdet_1_12_19 321853 7167  222  922   262 20098 7917
20230621_CVD_2808_60s_20x20ptsdet_1_12_2  320578 7349  242  976   384 20269 8127
20230621_CVD_2808_60s_20x20ptsdet_1_12_3  321566 7320  231 1015   372 20290 8063
20230621_CVD_2808_60s_20x20ptsdet_1_12_4  321136 7139  254 1044   430 20608 8123
20230621_CVD_2808_60s_20x20ptsdet_1_12_5  322654 7155  214 1044   472 20351 8333
20230621_CVD_2808_60s_20x20ptsdet_1_12_6  320480 7148  231 1023   301 19991 8040
20230621_CVD_2808_60s_20x20ptsdet_1_12_7  322400 7195  229  942   269 20160 8158
20230621_CVD_2808_60s_20x20ptsdet_1_12_8  320996 7071  235 1082   436 20386 7925
20230621_CVD_2808_60s_20x20ptsdet_1_12_9  321014 7184  234 1023   338 20608 8150
20230621_CVD_2808_60s_20x20ptsdet_1_13_0  322234 7315  259 1076   330 20428 8056
20230621_CVD_2808_60s_20x20ptsdet_1_13_1  321298 7286  243 1030   307 20189 8178
20230621_CVD_2808_60s_20x20ptsdet_1_13_10 322516 7340  235 1017   358 20414 7995
20230621_CVD_2808_60s_20x20ptsdet_1_13_11 321088 7222  250 1034   473 20322 8177
20230621_CVD_2808_60s_20x20ptsdet_1_13_12 321704 7174  244 1072   413 20205 8166
20230621_CVD_2808_60s_20x20ptsdet_1_13_13 322715 7239  247  957   455 20317 7819
20230621_CVD_2808_60s_20x20ptsdet_1_13_14 321409 7368  213 1106   383 20257 8016
20230621_CVD_2808_60s_20x20ptsdet_1_13_15 321841 7376  265 1015   256 20482 8255
20230621_CVD_2808_60s_20x20ptsdet_1_13_16 321221 7278  251 1090   427 20270 8255
