"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;337800;13904.8;7119.8;501.144;1067.73;404.816;21407.1;2896.96;11.335;316.101;499.726;142.623;153.374;310.919;651.595;259.162;89.0541;31.5638;45.3455;42.2226;154.885;80.4181;34.3578;78.1304;77.2967;24.4614;22.0254;23.6093;2.29567
1;0;338729;13604.5;7311.22;528.326;1062.93;476.559;21801;2931.08;33.9961;236.839;739.62;79.3994;195.876;397.507;660.575;260.537;90.0707;31.5293;45.3702;43.4389;157.239;80.9446;37.9324;78.1092;78.695;21.9153;22.7225;24.9269;2.44068
2;0;337447;14279.4;7012.78;473.823;1045.47;452.291;21612.9;2799.67;5.2189;353.833;559.107;135.673;146.31;361.583;655.676;262.066;88.4068;31.2283;45.1213;43.1246;156.113;79.9999;36.7198;80.2287;79.2807;22.7843;21.352;24.4288;2.41536
3;0;337339;14455.7;7163.26;570.285;1083.33;412.859;21535.5;3014.59;25.8338;294.483;568.349;133.269;177.874;414.883;647.173;263.188;89.3345;32.3319;45.4667;42.7056;156.11;80.3738;36.9111;78.5985;78.2558;23.4055;22.2993;25.2873;2.34345
4;0;338600;14216.6;7041.65;608.005;992.506;424.131;21621;2803.23;15.3601;378.682;523.601;68.2705;197.546;334.344;651.697;261.79;88.6911;33.5543;44.4784;43.1014;156.472;80.5121;37.6279;79.7848;78.1284;22.6119;22.7671;24.056;2.46215
5;0;338771;14445.5;7323.8;537.726;948.521;412.783;21692.6;2752.02;11.2079;245.387;578.302;82.7052;161.934;347.326;654.012;260.534;90.1978;32.0296;44.1796;43.2238;156.525;79.7022;37.9408;77.0283;75.9109;22.6839;21.6175;24.0228;2.25995
6;0;339684;14543.1;7243.69;517.909;1172.5;658.809;21594.2;3061.95;1.6795;237.995;673.166;83.4791;182.952;364.851;650.825;262.703;89.5041;30.6417;46.3428;45.404;156.517;81.8943;37.7986;77.8362;77.6624;22.2854;21.797;24.2073;2.41314
7;0;339478;14622.1;7299.2;578.464;1103.97;428.718;21954;2965.02;5.75257;134.309;786.793;72.0828;204.477;376.911;653.231;261.77;89.9282;32.1862;45.8607;43.0636;157.016;81.4926;37.1181;75.9089;78.3731;21.8598;22.4122;24.4347;2.31824
8;0;338722;14068.9;7233.93;483.983;949.162;500.381;21464.7;2887.6;5.3146;419.748;529.647;71.956;199.354;380.231;645.611;254.374;90.0807;31.3537;43.6036;43.516;157.237;79.6216;32.1498;80.8088;80.1131;21.8682;21.9813;24.1593;2.53354
9;0;338931;13892.2;7179.59;518.387;1023.83;542.38;21758.7;2779.31;64.2552;433.274;449.269;59.2251;188.064;384.679;669.101;257.568;89.2457;31.4673;44.5298;43.0805;156.289;80.5105;35.9965;78.4528;76.7797;20.9819;21.6875;24.6572;2.56469
