ROI backgr, sum

Spectrum                                       Si       P     Ar      Ni       Zn       Ga       Rh
---------------------------------------------------------------------------------------------------
20230626_CVD_2808_60s_20x20ptsdet_1_0_0      -270    -226    -72    -924    -1707    -2069    -5547
20230626_CVD_2808_60s_20x20ptsdet_1_0_1      -256    -194    -92    -998    -1705    -2141    -5643
20230626_CVD_2808_60s_20x20ptsdet_1_0_10     -263    -212    -73    -970    -1642    -1993    -5636
20230626_CVD_2808_60s_20x20ptsdet_1_0_11     -262    -204    -67   -1010    -1750    -2150    -5522
20230626_CVD_2808_60s_20x20ptsdet_1_0_12     -268    -224    -91    -979    -1664    -2093    -5607
20230626_CVD_2808_60s_20x20ptsdet_1_0_13     -258    -200    -82    -962    -1554    -2078    -5417
20230626_CVD_2808_60s_20x20ptsdet_1_0_14     -254    -196    -66    -948    -1529    -2068    -5689
20230626_CVD_2808_60s_20x20ptsdet_1_0_15     -269    -217    -52   -1006    -1764    -2176    -5745
20230626_CVD_2808_60s_20x20ptsdet_1_0_16     -270    -218    -79   -1016    -1684    -2091    -5755
20230626_CVD_2808_60s_20x20ptsdet_1_0_17     -271    -217    -74    -998    -1696    -2094    -5711
20230626_CVD_2808_60s_20x20ptsdet_1_0_18     -287    -236    -62    -957    -1601    -1982    -5593
20230626_CVD_2808_60s_20x20ptsdet_1_0_19     -281    -230    -70    -969    -1604    -2086    -5546
20230626_CVD_2808_60s_20x20ptsdet_1_0_2      -274    -215    -74   -1042    -1764    -2214    -5653
20230626_CVD_2808_60s_20x20ptsdet_1_0_3      -278    -233    -69    -970    -1687    -2136    -5622
20230626_CVD_2808_60s_20x20ptsdet_1_0_4      -258    -203    -76    -979    -1604    -2058    -5671
20230626_CVD_2808_60s_20x20ptsdet_1_0_5      -259    -205    -66    -962    -1593    -2075    -5466
20230626_CVD_2808_60s_20x20ptsdet_1_0_6      -261    -216    -76    -988    -1653    -2136    -5716
20230626_CVD_2808_60s_20x20ptsdet_1_0_7      -283    -234    -69   -1000    -1670    -2115    -5649
20230626_CVD_2808_60s_20x20ptsdet_1_0_8      -272    -221    -61    -949    -1650    -2086    -5663
