"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;347196;14518.9;7125.01;511.431;1229.18;377.971;22447.5;3346.94;2.07538;347.902;597.941;53.5665;166.754;373.764;654.925;262.4;89.1017;31.9135;46.6529;42.6248;158.696;83.9352;33.8595;77.9704;77.4288;20.9732;21.2886;24.5358;2.7085
0;1;829.252;720.842;606.196;381.253;136.991;154.461;43.1041;14.7426;819.323;538.802;558.383;32.7217;54.0887;91.0794;87.151;65.9121;49.2485;36.812;41.611;49.2066;53.572;64.9834;49.8059;150.667;173.451;28.2822;25.2932;23.2193;2.71417
1;0;348938;14260.1;7537.84;551.657;1141.58;492.777;22338.7;3267.6;1.06372;246.309;689.87;72.1;190.282;367.325;665.391;263.186;91.5452;32.4224;46.0149;43.9075;158.914;82.2444;36.9702;79.8406;80.3937;21.6123;21.6354;24.6802;2.43607
1;1;839.587;728.201;608.174;373.418;117.901;87.8001;3.05439;13.7429;873.902;574.068;588.823;29.2838;57.9483;86.1861;89.2315;69.2002;48.2444;37.0638;41.8975;47.7341;54.1351;65.3616;51.1564;169.148;188.674;27.1088;24.6184;22.8958;2.66423
2;0;345690;14253.3;7340.1;489.029;1059.66;421.863;22183.1;3164.78;23.2801;281.161;649.705;121.522;195.882;362.492;657.737;261.833;90.0184;30.5015;45.2347;43.315;157.985;82.9022;37.0223;79.3648;78.8378;24.1789;22.8687;24.2133;2.61446
2;1;855.706;741.133;620.794;385.777;124.014;90.3661;1.19123;16.1978;862.559;555.043;567.223;30.9866;44.3214;72.3751;88.5022;71.9545;48.7729;40.4763;41.6532;47.3701;53.888;65.765;50.6675;152.993;176.932;27.7078;24.2736;21.8985;2.6857
3;0;345862;14470.1;7286.35;547.207;1053.51;425.716;22312.2;3198.45;17.9745;361.993;628.128;140.817;197.137;387.016;657.29;263.364;89.8923;31.2212;45.7685;43.8325;158.715;82.4135;36.4073;80.1074;79.0201;23.3009;21.9364;23.9852;2.44638
3;1;846.428;738.173;631.174;413.836;129.195;90.5698;1.43837;9.31419;844.295;535.933;547.838;15.1905;33.1232;65.0264;81.3683;66.7932;46.0801;39.7687;41.6898;47.1432;53.3552;64.818;46.4857;163.334;180.195;26.5848;23.246;20.6166;2.62435
4;0;344787;14714.9;7222.53;521.994;1071.12;364.621;22148.6;3290.2;0.902862;393.958;539.473;84.6414;179.125;369.952;666.743;262.815;89.4803;31.4041;45.7161;42.4881;158.028;81.7048;36.1146;78.1768;77.6515;23.0192;22.3927;24.9064;2.29429
4;1;858.548;749.787;639.125;414.63;107.75;53.8477;2.62888;9.86538;854.493;547.196;558.951;37.0846;50.4246;84.7426;93.3143;75.9975;52.0575;43.8452;41.1857;46.196;53.8202;64.6004;52.9951;139.483;166.245;29.2309;25.6039;23.1338;2.63689
