ROI backgr, sum

Spectrum                                       Si       P     Ar       Ni       Zn       Ga       Rh
----------------------------------------------------------------------------------------------------
20230627_CVD_2546_60s_20x20ptsdet_1_0_0      -296    -251    -96    -1067    -1872    -2331    -5347
20230627_CVD_2546_60s_20x20ptsdet_1_0_1      -283    -234    -71    -1026    -1799    -2235    -5371
20230627_CVD_2546_60s_20x20ptsdet_1_0_10     -250    -206   -102    -1055    -1714    -2186    -5345
20230627_CVD_2546_60s_20x20ptsdet_1_0_11     -268    -214    -90    -1050    -1772    -2126    -5279
20230627_CVD_2546_60s_20x20ptsdet_1_0_12     -265    -223    -90     -960    -1701    -2219    -5098
20230627_CVD_2546_60s_20x20ptsdet_1_0_13     -268    -239    -92    -1035    -1866    -2304    -5287
20230627_CVD_2546_60s_20x20ptsdet_1_0_14     -265    -225    -96    -1028    -1762    -2150    -5199
20230627_CVD_2546_60s_20x20ptsdet_1_0_15     -249    -204    -75    -1037    -1652    -2085    -5225
20230627_CVD_2546_60s_20x20ptsdet_1_0_16     -264    -221    -68     -982    -1711    -2111    -5153
20230627_CVD_2546_60s_20x20ptsdet_1_0_17     -268    -223    -70    -1058    -1899    -2342    -5244
20230627_CVD_2546_60s_20x20ptsdet_1_0_18     -261    -207    -87    -1054    -1828    -2222    -5160
20230627_CVD_2546_60s_20x20ptsdet_1_0_19     -273    -214    -82    -1020    -1791    -2233    -5244
20230627_CVD_2546_60s_20x20ptsdet_1_0_2      -282    -241    -89    -1059    -1819    -2212    -5246
20230627_CVD_2546_60s_20x20ptsdet_1_0_3      -262    -212    -65    -1052    -1860    -2330    -5329
20230627_CVD_2546_60s_20x20ptsdet_1_0_4      -269    -219    -79     -999    -1665    -2178    -5205
20230627_CVD_2546_60s_20x20ptsdet_1_0_5      -274    -233    -75    -1107    -1897    -2287    -5211
20230627_CVD_2546_60s_20x20ptsdet_1_0_6      -264    -211    -86     -990    -1737    -2118    -5255
20230627_CVD_2546_60s_20x20ptsdet_1_0_7      -262    -218    -72    -1023    -1751    -2135    -5253
20230627_CVD_2546_60s_20x20ptsdet_1_0_8      -271    -229    -78    -1006    -1806    -2222    -5201
20230627_CVD_2546_60s_20x20ptsdet_1_0_9      -262    -223    -71    -1076    -1802    -2253    -5352
20230627_CVD_2546_60s_20x20ptsdet_1_10_0     -258    -220    -86    -1025    -1745    -2151    -5363
20230627_CVD_2546_60s_20x20ptsdet_1_10_1     -274    -236    -93     -952    -1740    -2177    -5224
20230627_CVD_2546_60s_20x20ptsdet_1_10_10    -276    -229    -82    -1045    -1831    -2244    -5293
20230627_CVD_2546_60s_20x20ptsdet_1_10_11    -262    -218    -77    -1012    -1793    -2157    -5285
20230627_CVD_2546_60s_20x20ptsdet_1_10_12    -274    -223    -67     -988    -1664    -2184    -5283
20230627_CVD_2546_60s_20x20ptsdet_1_10_13    -265    -227    -66     -970    -1671    -2159    -5193
20230627_CVD_2546_60s_20x20ptsdet_1_10_14    -238    -189    -52     -969    -1722    -2065    -5220
20230627_CVD_2546_60s_20x20ptsdet_1_10_15    -245    -186    -84    -1076    -1804    -2334    -5145
20230627_CVD_2546_60s_20x20ptsdet_1_10_16    -255    -195    -80     -967    -1731    -2121    -4896
20230627_CVD_2546_60s_20x20ptsdet_1_10_17    -257    -201    -73    -1003    -1772    -2131    -5182
20230627_CVD_2546_60s_20x20ptsdet_1_10_18    -274    -236    -55    -1058    -1797    -2245    -5168
20230627_CVD_2546_60s_20x20ptsdet_1_10_19    -278    -246   -105    -1031    -1852    -2306    -5238
20230627_CVD_2546_60s_20x20ptsdet_1_10_2     -262    -213    -94    -1045    -1771    -2130    -5462
20230627_CVD_2546_60s_20x20ptsdet_1_10_3     -277    -234   -102    -1001    -1716    -2027    -5386
20230627_CVD_2546_60s_20x20ptsdet_1_10_4     -253    -212    -75    -1029    -1798    -2235    -5282
20230627_CVD_2546_60s_20x20ptsdet_1_10_5     -281    -240    -87    -1019    -1812    -2309    -5331
20230627_CVD_2546_60s_20x20ptsdet_1_10_6     -250    -197    -67    -1082    -1820    -2267    -5291
20230627_CVD_2546_60s_20x20ptsdet_1_10_7     -262    -220    -70    -1062    -1848    -2213    -5208
20230627_CVD_2546_60s_20x20ptsdet_1_10_8     -264    -223    -65    -1016    -1640    -1980    -5275
20230627_CVD_2546_60s_20x20ptsdet_1_10_9     -268    -229    -89    -1058    -1838    -2248    -5336
20230627_CVD_2546_60s_20x20ptsdet_1_11_0     -285    -246    -96    -1027    -1689    -2012    -5262
20230627_CVD_2546_60s_20x20ptsdet_1_11_1     -252    -204    -84    -1022    -1676    -2234    -5398
20230627_CVD_2546_60s_20x20ptsdet_1_11_10    -248    -206    -84    -1026    -1711    -2120    -5154
20230627_CVD_2546_60s_20x20ptsdet_1_11_11    -271    -222    -85     -969    -1772    -2190    -5275
20230627_CVD_2546_60s_20x20ptsdet_1_11_12    -274    -227    -98    -1022    -1729    -2180    -5195
20230627_CVD_2546_60s_20x20ptsdet_1_11_13    -252    -199    -76    -1036    -1791    -2295    -5093
20230627_CVD_2546_60s_20x20ptsdet_1_11_14    -254    -203    -82    -1062    -1858    -2261    -5196
20230627_CVD_2546_60s_20x20ptsdet_1_11_15    -279    -247    -99    -1026    -1778    -2260    -5272
20230627_CVD_2546_60s_20x20ptsdet_1_11_16    -273    -244    -91    -1025    -1774    -2145    -5155
20230627_CVD_2546_60s_20x20ptsdet_1_11_17    -267    -222    -79     -922    -1592    -2120    -5069
20230627_CVD_2546_60s_20x20ptsdet_1_11_18    -259    -215    -91    -1039    -1756    -2119    -5281
20230627_CVD_2546_60s_20x20ptsdet_1_11_19    -283    -246    -70    -1035    -1817    -2240    -5116
20230627_CVD_2546_60s_20x20ptsdet_1_11_2     -246    -206    -81    -1039    -1775    -2261    -5289
