Net counts

Spectrum                                      Si     P    Ar   Ni      Zn     Ga   Rh
-------------------------------------------------------------------------------------
20230711_CVD_2546_60s_20x20ptsdet_1_0_0   223248 27977    72  637       0 104522 2408
20230711_CVD_2546_60s_20x20ptsdet_1_0_1   226414 28466   106  597       0 104466 2216
20230711_CVD_2546_60s_20x20ptsdet_1_0_10  224453 28184    85  681       0 104489 2352
20230711_CVD_2546_60s_20x20ptsdet_1_0_11  225314 27783   110  619       0 104806 2347
20230711_CVD_2546_60s_20x20ptsdet_1_0_12  222556 27880   110  705       0 103213 2376
20230711_CVD_2546_60s_20x20ptsdet_1_0_13  223472 27753   129  622       0 103435 2403
20230711_CVD_2546_60s_20x20ptsdet_1_0_14  223981 27929    73  643       0 103634 2284
20230711_CVD_2546_60s_20x20ptsdet_1_0_15  224119 27795    83  682       0 103614 2517
20230711_CVD_2546_60s_20x20ptsdet_1_0_16  225480 28131   110  742       0 104477 2344
20230711_CVD_2546_60s_20x20ptsdet_1_0_17  224029 27821    83  784       0 103432 2346
20230711_CVD_2546_60s_20x20ptsdet_1_0_18  224101 27713    78  689       0 103385 2356
20230711_CVD_2546_60s_20x20ptsdet_1_0_19  225353 28045    36  598       0 103650 2421
20230711_CVD_2546_60s_20x20ptsdet_1_0_2   224723 28105   121  726       0 103898 2389
20230711_CVD_2546_60s_20x20ptsdet_1_0_3   224228 27976    68  550       0 104586 2361
20230711_CVD_2546_60s_20x20ptsdet_1_0_4   224738 27655   117  693       0 104506 2372
20230711_CVD_2546_60s_20x20ptsdet_1_0_5   226778 28289    96  666       0 104949 2414
20230711_CVD_2546_60s_20x20ptsdet_1_0_6   226199 28196    85  624       0 105352 2390
20230711_CVD_2546_60s_20x20ptsdet_1_0_7   226316 27917   122  596       0 105068 2526
20230711_CVD_2546_60s_20x20ptsdet_1_0_8   226737 28240   131  684       0 105602 2346
20230711_CVD_2546_60s_20x20ptsdet_1_0_9   226568 28303    73  673       0 104912 2397
20230711_CVD_2546_60s_20x20ptsdet_1_10_0  223095 27512    73  548       0 104341 2423
20230711_CVD_2546_60s_20x20ptsdet_1_10_1  224354 27596   116  612       0 104605 2493
20230711_CVD_2546_60s_20x20ptsdet_1_10_10 223544 27591    88  710       0 103508 2435
20230711_CVD_2546_60s_20x20ptsdet_1_10_11 224319 27678    99  702       0 103864 2507
20230711_CVD_2546_60s_20x20ptsdet_1_10_12 223795 27461    99  640       0 104195 2517
20230711_CVD_2546_60s_20x20ptsdet_1_10_13 224871 27804   113  637       0 104995 2454
20230711_CVD_2546_60s_20x20ptsdet_1_10_14 222319 27495   148  552       0 103848 2498
20230711_CVD_2546_60s_20x20ptsdet_1_10_15 223331 27528    53  679       0 103066 2416
20230711_CVD_2546_60s_20x20ptsdet_1_10_16 222879 27117   119  638       0 102817 2460
20230711_CVD_2546_60s_20x20ptsdet_1_10_17 223703 27785   115  608       0 103837 2396
20230711_CVD_2546_60s_20x20ptsdet_1_10_18 223975 27816    92  717       0 104348 2333
20230711_CVD_2546_60s_20x20ptsdet_1_10_19 223443 27257   168  687       0 104908 2488
20230711_CVD_2546_60s_20x20ptsdet_1_10_2  223712 27524    60  709       0 104110 2570
20230711_CVD_2546_60s_20x20ptsdet_1_10_3  223253 27691    52  557       0 103734 2562
20230711_CVD_2546_60s_20x20ptsdet_1_10_4  222994 27488    40  675       0 103992 2411
20230711_CVD_2546_60s_20x20ptsdet_1_10_5  223226 27388    60  746       0 104122 2423
20230711_CVD_2546_60s_20x20ptsdet_1_10_6  221131 27198   155  729       0 102481 2393
20230711_CVD_2546_60s_20x20ptsdet_1_10_7  222993 27700   115  701       0 103767 2528
20230711_CVD_2546_60s_20x20ptsdet_1_10_8  223791 27548    55  668       0 104012 2555
20230711_CVD_2546_60s_20x20ptsdet_1_10_9  223216 27727    61  815       0 103662 2353
20230711_CVD_2546_60s_20x20ptsdet_1_11_0  224117 27503    93  689       0 103915 2504
20230711_CVD_2546_60s_20x20ptsdet_1_11_1  223681 27912    85  629       0 104072 2431
20230711_CVD_2546_60s_20x20ptsdet_1_11_10 225699 27732    87  622       0 105095 2565
20230711_CVD_2546_60s_20x20ptsdet_1_11_11 226040 27955   107  703       0 105743 2250
20230711_CVD_2546_60s_20x20ptsdet_1_11_12 227140 28090    88  772       0 105356 2577
20230711_CVD_2546_60s_20x20ptsdet_1_11_13 227252 28076    76  643       0 105685 2424
20230711_CVD_2546_60s_20x20ptsdet_1_11_14 225906 27807   110  724       0 105131 2464
20230711_CVD_2546_60s_20x20ptsdet_1_11_15 227542 28419   155  648       0 106455 2570
20230711_CVD_2546_60s_20x20ptsdet_1_11_16 225206 27841   123  593       0 104454 2412
20230711_CVD_2546_60s_20x20ptsdet_1_11_17 224861 28007    50  651       0 104730 2443
20230711_CVD_2546_60s_20x20ptsdet_1_11_18 225265 27772    82  574       0 105141 2378
20230711_CVD_2546_60s_20x20ptsdet_1_11_19 225500 27818   101  702       0 105031 2613
