ROI backgr, sum

Spectrum                                       Si       P     Ar      Ni       Zn       Ga      Rh
--------------------------------------------------------------------------------------------------
20230711_CVD_2546_60s_20x20ptsdet_1_0_0      -138    -106    -42    -929    -1670    -2021    -771
20230711_CVD_2546_60s_20x20ptsdet_1_0_1      -127     -99    -25    -956    -1686    -2062    -762
20230711_CVD_2546_60s_20x20ptsdet_1_0_10     -132    -103    -37    -985    -1698    -2027    -742
20230711_CVD_2546_60s_20x20ptsdet_1_0_11     -120     -84    -24    -904    -1620    -1989    -790
20230711_CVD_2546_60s_20x20ptsdet_1_0_12     -123     -98    -37    -910    -1664    -2013    -801
20230711_CVD_2546_60s_20x20ptsdet_1_0_13     -136    -107    -27    -931    -1677    -2025    -760
20230711_CVD_2546_60s_20x20ptsdet_1_0_14     -135    -107    -21    -976    -1654    -2035    -819
20230711_CVD_2546_60s_20x20ptsdet_1_0_15     -138    -115    -21    -995    -1742    -2116    -718
20230711_CVD_2546_60s_20x20ptsdet_1_0_16     -134    -102    -14    -971    -1654    -2065    -745
20230711_CVD_2546_60s_20x20ptsdet_1_0_17     -124     -89    -23    -938    -1596    -1923    -699
20230711_CVD_2546_60s_20x20ptsdet_1_0_18     -140    -108    -43    -966    -1737    -2104    -796
20230711_CVD_2546_60s_20x20ptsdet_1_0_19     -136    -105    -24   -1018    -1785    -2155    -760
20230711_CVD_2546_60s_20x20ptsdet_1_0_2      -122     -88    -15   -1017    -1699    -2036    -756
20230711_CVD_2546_60s_20x20ptsdet_1_0_3      -146    -113    -37    -946    -1641    -2021    -767
20230711_CVD_2546_60s_20x20ptsdet_1_0_4      -128    -100    -42    -933    -1599    -2011    -716
20230711_CVD_2546_60s_20x20ptsdet_1_0_5      -137    -108    -31    -954    -1686    -2049    -843
20230711_CVD_2546_60s_20x20ptsdet_1_0_6      -137    -110    -28    -998    -1761    -2149    -813
20230711_CVD_2546_60s_20x20ptsdet_1_0_7      -139    -107    -24    -983    -1698    -2046    -720
20230711_CVD_2546_60s_20x20ptsdet_1_0_8      -128    -101    -22    -962    -1648    -1974    -795
20230711_CVD_2546_60s_20x20ptsdet_1_0_9      -128    -100    -47    -968    -1695    -2053    -824
20230711_CVD_2546_60s_20x20ptsdet_1_10_0     -122     -96    -33    -974    -1682    -2020    -771
20230711_CVD_2546_60s_20x20ptsdet_1_10_1     -155    -118    -34    -998    -1678    -2006    -758
20230711_CVD_2546_60s_20x20ptsdet_1_10_10    -141    -110    -28   -1020    -1769    -2142    -805
20230711_CVD_2546_60s_20x20ptsdet_1_10_11    -133     -99    -29   -1001    -1749    -2143    -787
20230711_CVD_2546_60s_20x20ptsdet_1_10_12    -137    -106    -34   -1001    -1670    -2032    -746
20230711_CVD_2546_60s_20x20ptsdet_1_10_13    -135    -107    -31   -1031    -1751    -2100    -788
20230711_CVD_2546_60s_20x20ptsdet_1_10_14    -136    -102    -37    -985    -1686    -2096    -764
20230711_CVD_2546_60s_20x20ptsdet_1_10_15    -127     -92    -16    -976    -1656    -1948    -819
20230711_CVD_2546_60s_20x20ptsdet_1_10_16    -136    -107    -28    -907    -1683    -2081    -841
20230711_CVD_2546_60s_20x20ptsdet_1_10_17    -124     -93    -31    -989    -1626    -2007    -724
20230711_CVD_2546_60s_20x20ptsdet_1_10_18    -139    -111    -41    -975    -1707    -2103    -761
20230711_CVD_2546_60s_20x20ptsdet_1_10_19    -127    -103    -36    -977    -1712    -2109    -792
20230711_CVD_2546_60s_20x20ptsdet_1_10_2     -137    -105    -25    -968    -1719    -2103    -788
