ROI net sum

Spectrum                                      Si     P   Ar   Ni    Zn    Ga   Rh
---------------------------------------------------------------------------------
20230711_CVD_2546_60s_20x20ptsdet_1_0_0   202735 25535  229 1029   282 85562 2414
20230711_CVD_2546_60s_20x20ptsdet_1_0_1   205135 25939  263  991   404 85634 2334
20230711_CVD_2546_60s_20x20ptsdet_1_0_10  203615 25696  218 1013   421 85838 2434
20230711_CVD_2546_60s_20x20ptsdet_1_0_11  204223 25386  252  992   490 86133 2409
20230711_CVD_2546_60s_20x20ptsdet_1_0_12  201897 25422  247 1035   366 84646 2388
20230711_CVD_2546_60s_20x20ptsdet_1_0_13  202755 25353  252  994   397 84857 2420
20230711_CVD_2546_60s_20x20ptsdet_1_0_14  202988 25439  260  980   310 85327 2309
20230711_CVD_2546_60s_20x20ptsdet_1_0_15  203350 25311  255 1016   375 85156 2575
20230711_CVD_2546_60s_20x20ptsdet_1_0_16  204419 25588  278 1080   400 85599 2438
20230711_CVD_2546_60s_20x20ptsdet_1_0_17  202993 25283  256 1134   444 85165 2462
20230711_CVD_2546_60s_20x20ptsdet_1_0_18  202966 25344  241  998   331 85041 2429
20230711_CVD_2546_60s_20x20ptsdet_1_0_19  204318 25554  265  938   303 85137 2420
20230711_CVD_2546_60s_20x20ptsdet_1_0_2   203619 25629  252 1003   296 85254 2410
20230711_CVD_2546_60s_20x20ptsdet_1_0_3   203285 25514  239  961   412 85699 2382
20230711_CVD_2546_60s_20x20ptsdet_1_0_4   203852 25409  254 1050   342 85828 2407
20230711_CVD_2546_60s_20x20ptsdet_1_0_5   205568 25682  236 1013   346 86174 2386
20230711_CVD_2546_60s_20x20ptsdet_1_0_6   205030 25686  254  972   305 86341 2400
20230711_CVD_2546_60s_20x20ptsdet_1_0_7   205018 25555  256  963   460 86211 2551
20230711_CVD_2546_60s_20x20ptsdet_1_0_8   205278 25762  259 1035   424 86440 2376
20230711_CVD_2546_60s_20x20ptsdet_1_0_9   205619 25646  227 1020   328 85945 2399
20230711_CVD_2546_60s_20x20ptsdet_1_10_0  202194 25097  244  964   379 85646 2511
20230711_CVD_2546_60s_20x20ptsdet_1_10_1  203732 25206  232  942   381 85722 2557
20230711_CVD_2546_60s_20x20ptsdet_1_10_10 202544 25172  270 1039   349 85004 2450
20230711_CVD_2546_60s_20x20ptsdet_1_10_11 203280 25292  264 1014   374 85494 2487
20230711_CVD_2546_60s_20x20ptsdet_1_10_12 203030 25191  262  971   444 85610 2622
20230711_CVD_2546_60s_20x20ptsdet_1_10_13 204057 25389  251  970   307 86006 2551
20230711_CVD_2546_60s_20x20ptsdet_1_10_14 201744 25012  272  950   374 85203 2563
20230711_CVD_2546_60s_20x20ptsdet_1_10_15 202325 25206  272 1024   444 84741 2452
20230711_CVD_2546_60s_20x20ptsdet_1_10_16 202099 24765  280 1039   388 84461 2461
20230711_CVD_2546_60s_20x20ptsdet_1_10_17 202817 25307  253  939   457 85183 2511
20230711_CVD_2546_60s_20x20ptsdet_1_10_18 203055 25533  255 1058   425 85256 2452
20230711_CVD_2546_60s_20x20ptsdet_1_10_19 202573 24871  248 1065   315 86052 2485
20230711_CVD_2546_60s_20x20ptsdet_1_10_2  202951 25185  260 1065   363 85336 2601
20230711_CVD_2546_60s_20x20ptsdet_1_10_3  202234 25353  252  955   500 85231 2551
20230711_CVD_2546_60s_20x20ptsdet_1_10_4  202363 25101  241 1002   351 85321 2487
20230711_CVD_2546_60s_20x20ptsdet_1_10_5  202320 24988  249 1052   411 85206 2427
20230711_CVD_2546_60s_20x20ptsdet_1_10_6  200808 24803  274 1083   370 84259 2434
20230711_CVD_2546_60s_20x20ptsdet_1_10_7  202096 25281  238 1046   372 85202 2504
20230711_CVD_2546_60s_20x20ptsdet_1_10_8  202958 25206  269  990   440 85155 2508
